symbol,setup,tp_rr,sl_atr,max_hold,coverage_ok,coverage_reasons,cost_ok,fee_r,cost_reason,skip_reason,trades,net_r,pf,win_rate,folds_positive,min_fold_trades,preflight_go,preflight_reasons
XAUUSD,session_breakout_retest,2.0,1.5,6,True,,True,0.1055,,,13,3.012,1.526,0.615,3,3,False,too_few_total_13<30;thin_fold_2<5
XAUUSD,trend_pullback,2.0,1.5,6,True,,True,0.1055,,,18,-5.231,0.482,0.333,0,4,False,too_few_total_18<30;thin_fold_2<5
XAUUSD,round_level_sweep,2.0,1.5,6,True,,True,0.1055,,,17,-3.822,0.576,0.412,1,4,False,too_few_total_17<30;thin_fold_2<5
