event,horizon_h,group,regime,sign,n,n_weeks,raw_bps,raw_t,raw_median,hit,xs_bps,xs_t,btc_bps,btc_t,mfe_atr,mae_atr,move_atr,cost_bps,mfe_mae,excess_over_ALL
IMPULSE_UP,6,major,all,1,1959,132,-1.445476825099444,-0.11091949841239525,-17.914714813232422,0.46809596733027053,-5.272069956280097,-0.9547843320367554,-10.447867077484826,-1.0429512627506659,1.5282501199921037,1.4666258498519278,0.03132065177530737,17.0,1.042017717161059,-5.4183983623914855
IMPULSE_UP,6,major,bull,1,969,63,4.606640536118956,0.26429028624954126,-22.97654914855957,0.46439628482972134,1.8639835346378655,0.2101505927492637,3.6960422658083734,0.24424308857906507,1.6213196206319158,1.5997403032705582,0.0401768752013733,17.0,1.0134892627992433,-15.360824672249556
IMPULSE_UP,6,major,bear,1,137,17,14.328727112199267,0.36664761526141154,9.221354484558105,0.5401459854014599,-18.20540207232872,-1.2140223222660462,-22.4376480046415,-0.947039826317416,1.14315597369304,1.026953917332578,0.07468552626286992,17.0,1.1131521623309901,-3.965076200740132
IMPULSE_UP,6,major,flat,1,853,94,-10.854114178476411,-0.49480752933117117,-18.95076560974121,0.46072684642438455,-11.301342327676164,-1.523850624546236,-24.58954136427339,-1.5901616469103121,1.4843738619885793,1.3860246181901434,0.014295249307952215,17.0,1.0709577900043792,-3.156859761847315
IMPULSE_UP,6,alt,all,1,4382,137,9.486808789219827,0.6113834843314261,-1.0002158880233765,0.478776814240073,6.285940689870017,1.1462973251158277,0.4992357219417636,0.0439140544478446,1.781327906630235,1.50683712422426,0.093179494441433,17.0,1.1821635384430063,6.356873354148627
IMPULSE_UP,6,alt,bull,1,1780,68,23.362125898412103,1.0339838050924273,1.2969085574150085,0.5078651685393258,11.207433683232646,1.1440479197573599,14.830812806167295,0.8413969503010906,1.7421558042162437,1.5986677819535753,0.13488752186959657,17.0,1.0897547469727111,8.238109451269047
IMPULSE_UP,6,alt,bear,1,319,24,-15.456317158888874,-0.4325206667490531,-13.04941177368164,0.4608150470219436,-21.08237863857544,-1.1835109074041716,-34.08232550598611,-2.207799231819703,1.4444617132960502,1.3063097376418031,-0.0019502829771454366,17.0,1.1057574414959532,-41.145723391561134
IMPULSE_UP,6,alt,flat,1,2283,103,2.1538226845699917,0.09139992811936985,-4.000271797180176,0.45860709592641263,6.272903606027978,0.8050912843082634,-5.8427218681644355,-0.3399017538144202,1.8589392329423284,1.4632583531167798,0.07395308628304292,17.0,1.2704108122688913,8.13026597410873
IMPULSE_UP,6,both,all,1,6341,137,6.1093687137662,0.42891547316467665,-2.999755382537842,0.4754770540924144,2.715187992218531,0.6090129441307951,-2.8827820014578087,-0.27930376648522903,1.703141597842331,1.4944141804464017,0.07406871179154495,17.0,1.139671732326295,2.7228098075918856
IMPULSE_UP,6,both,bull,1,2749,68,16.75097081799666,0.8638156638786123,0.0,0.4925427428155693,7.913943980072099,1.0950151995461836,10.905897326499126,0.7166478477506112,1.6995620385220953,1.5990458369394454,0.10150279410622502,17.0,1.0628601127376291,0.051575442377828296
IMPULSE_UP,6,both,bear,1,456,25,-6.507740261654059,-0.18538551223618868,-1.4988835752010345,0.48464912280701755,-20.218023836874124,-1.360839469514926,-30.583814940889155,-2.091162809641893,1.3539378397749706,1.2223804670664435,0.021074071991894205,17.0,1.1076239160007586,-29.798810358329202
IMPULSE_UP,6,both,flat,1,3136,104,-1.3843693256910359,-0.06219881722964852,-8.029285907745361,0.45918367346938777,1.4926638798004168,0.23919185466994863,-10.941904594625194,-0.687987851145737,1.7570564965190034,1.4422505801919008,0.05772600243745861,17.0,1.2182740784789392,5.0922254708790184
IMPULSE_UP,24,major,all,1,1959,132,34.056323594436044,1.2442191355064725,-14.378031730651855,0.48392036753445633,20.430625441945775,2.0895878276998743,17.888767958569733,0.9237265818498442,3.0401040088656472,2.680685119397386,0.26155356066361757,19.0,1.1340772502027607,32.192052063402045
IMPULSE_UP,24,major,bull,1,969,63,74.29771712148644,1.7004752571127097,-12.065295219421387,0.49019607843137253,28.767118388162185,1.876810388518529,55.95696711472559,1.6878874166761364,3.320908771198222,2.853790411863999,0.4561079641043144,19.0,1.1636834847409545,39.28605577347934
IMPULSE_UP,24,major,bear,1,137,17,10.72357531359596,0.14745909159542261,28.653779983520508,0.5547445255474452,-14.3676176071167,-0.7479831697413037,-22.911779459375534,-0.5107769960227476,2.1626404882923413,2.137166198782387,-0.11691843421811408,19.0,1.0119196576871128,-44.087817722803834
