case,symbols,days,end,offset_atr,validity_bars,maker_fee_bps,taker_fee_bps,exit_slippage_bps,generated_signals,placed_signals,unfilled,trades,unfilled_rate,net_r,profit_factor,winrate,max_drawdown_r,gross_profit_r,gross_loss_r
base_360,DOGEUSDT;ADAUSDT;SUIUSDT;1000PEPEUSDT;TAOUSDT,360,2026-07-05,0.4,24,1.0,6.0,2.0,1239,103,36,67,0.34951456310679613,11.7765,1.4903381340794684,0.5223880597014925,5.1767,35.7936,24.0171
stress_360,DOGEUSDT;ADAUSDT;SUIUSDT;1000PEPEUSDT;TAOUSDT,360,2026-07-05,0.4,24,2.0,10.0,5.0,1239,103,36,67,0.34951456310679613,10.1494,1.4096712345355102,0.5074626865671642,5.333800000000001,34.923899999999996,24.7745
fold_stress_1,DOGEUSDT;ADAUSDT;SUIUSDT;1000PEPEUSDT;TAOUSDT,90,2025-10-08,0.4,24,2.0,10.0,5.0,93,3,0,3,0.0,1.9495,inf,1.0,0.0,1.9495,0
fold_stress_2,DOGEUSDT;ADAUSDT;SUIUSDT;1000PEPEUSDT;TAOUSDT,90,2026-01-06,0.4,24,2.0,10.0,5.0,818,64,22,42,0.34375,-3.0105000000000004,0.8529339924964827,0.40476190476190477,9.4971,17.4599,20.4704
fold_stress_3,DOGEUSDT;ADAUSDT;SUIUSDT;1000PEPEUSDT;TAOUSDT,90,2026-04-06,0.4,24,2.0,10.0,5.0,416,40,17,23,0.425,4.3666,1.453451301702026,0.6086956521739131,5.365,13.9963,9.6297
fold_stress_4,DOGEUSDT;ADAUSDT;SUIUSDT;1000PEPEUSDT;TAOUSDT,90,2026-07-05,0.4,24,2.0,10.0,5.0,241,17,2,15,0.11764705882352941,4.2838,2.3578673766958285,0.4,1.6265999999999998,7.4386,3.1548000000000003
