trades,net_r,pf,win_rate,avg_r,tag,symbol
19,-11.3815,0.37417176665951846,0.3158,-0.599,choch_long_rr1.5_sl1.0_h12_b0.1,USDJPY
23,-17.0411,0.2551120319616739,0.2174,-0.7409,choch_long_rr1.5_sl1.0_h12_b0.1,EURUSD
13,-3.9083,0.5944274373475847,0.3077,-0.3006,choch_long_rr1.5_sl1.0_h12_b0.2,XAUUSD
14,-7.1181,0.4400575824798226,0.3571,-0.5084,choch_long_rr1.5_sl1.0_h12_b0.2,USDJPY
26,-11.337,0.4590119344725402,0.3846,-0.436,choch_long_rr1.5_sl1.0_h12_b0.2,GBPUSD
23,-17.0843,0.25410727149686746,0.2174,-0.7428,choch_long_rr1.5_sl1.0_h12_b0.2,EURUSD
26,-5.9282,0.6486597009441063,0.4615,-0.228,choch_long_rr1.5_sl1.0_h6_b0.1,GBPUSD
15,-6.2511,0.4297898347137593,0.2667,-0.4167,choch_long_rr1.5_sl1.0_h6_b0.1,XAUUSD
20,-12.5838,0.2286975176218204,0.3,-0.6292,choch_long_rr1.5_sl1.0_h6_b0.1,USDJPY
23,-17.5472,0.21006950696870388,0.1739,-0.7629,choch_long_rr1.5_sl1.0_h6_b0.1,EURUSD
13,-6.6048,0.33388466425963653,0.2308,-0.5081,choch_long_rr1.5_sl1.0_h6_b0.2,XAUUSD
15,-7.9988,0.3068030158592599,0.3333,-0.5333,choch_long_rr1.5_sl1.0_h6_b0.2,USDJPY
26,-10.0171,0.48532864754329985,0.3846,-0.3853,choch_long_rr1.5_sl1.0_h6_b0.2,GBPUSD
23,-17.1941,0.21346263809153496,0.1739,-0.7476,choch_long_rr1.5_sl1.0_h6_b0.2,EURUSD
15,-4.3185,0.6394850860276992,0.2667,-0.2879,choch_long_rr2.0_sl0.8_h12_b0.1,XAUUSD
28,-13.5698,0.46542758544617957,0.3571,-0.4846,choch_long_rr2.0_sl0.8_h12_b0.1,GBPUSD
23,-13.6605,0.4123960116656199,0.2609,-0.5939,choch_long_rr2.0_sl0.8_h12_b0.1,EURUSD
19,-16.1915,0.2734154834772307,0.2105,-0.8522,choch_long_rr2.0_sl0.8_h12_b0.1,USDJPY
13,-2.1357,0.7819802162129054,0.3077,-0.1643,choch_long_rr2.0_sl0.8_h12_b0.2,XAUUSD
14,-8.9871,0.4011274963849481,0.2857,-0.6419,choch_long_rr2.0_sl0.8_h12_b0.2,USDJPY
27,-13.6514,0.4593226581962636,0.3333,-0.5056,choch_long_rr2.0_sl0.8_h12_b0.2,GBPUSD
23,-16.7144,0.32369792509630013,0.2174,-0.7267,choch_long_rr2.0_sl0.8_h12_b0.2,EURUSD
15,-7.3079,0.37518489069005906,0.2,-0.4872,choch_long_rr2.0_sl0.8_h6_b0.1,XAUUSD
28,-12.1859,0.49263680307767893,0.3571,-0.4352,choch_long_rr2.0_sl0.8_h6_b0.1,GBPUSD
23,-14.8786,0.3496717456487722,0.2174,-0.6469,choch_long_rr2.0_sl0.8_h6_b0.1,EURUSD
20,-16.9295,0.19576732144129597,0.25,-0.8465,choch_long_rr2.0_sl0.8_h6_b0.1,USDJPY
13,-5.7564,0.4325651085306468,0.2308,-0.4428,choch_long_rr2.0_sl0.8_h6_b0.2,XAUUSD
15,-9.1981,0.37194614008494137,0.3333,-0.6132,choch_long_rr2.0_sl0.8_h6_b0.2,USDJPY
27,-12.5015,0.4765392087897364,0.3333,-0.463,choch_long_rr2.0_sl0.8_h6_b0.2,GBPUSD
23,-15.6077,0.33887248651922885,0.2174,-0.6786,choch_long_rr2.0_sl0.8_h6_b0.2,EURUSD
25,-0.2147,0.986440485287895,0.48,-0.0086,choch_long_rr2.0_sl1.0_h12_b0.1,GBPUSD
