symbol,passed,coverage,rows,expected_rows,max_gap_bars,first_ts,last_ts
DOGEUSDT,True,0.998852,103561,103680,0,1752105600000,1783173600000
ADAUSDT,False,0.988889,102528,103680,1033,1752105600000,1783173600000
SUIUSDT,False,0.988889,102528,103680,1033,1752105600000,1783173600000
1000PEPEUSDT,True,0.997222,103392,103680,0,1752105600000,1783122900000
TAOUSDT,True,0.997222,103392,103680,0,1752105600000,1783122900000
