run_id,tag,run_dir,passed,fail_reasons,score,trades,net_pnl,profit_factor,winrate,max_drawdown,negative_months,positive_months,max_negative_streak,worst_month_pnl,overrides_json,search_n_trials_planned,search_n_trials_scheduled,selection_n_trials_evaluated,n_trials_effective_independent
1,att1_live_major8_corrected_preholdout_v1_20260815_r001,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260815_073831_att1_live_major8_corrected_preholdout_v1_20260815_r001,True,,-27.244799999999998,557,-6.11,0.96,0.519,23.2868,8,11,3,-6.3139213,"{""ATT1_GEOMETRY_V2_ENABLE"": ""0""}",2,2,2,
2,att1_live_major8_corrected_preholdout_v1_20260815_r002,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260815_073831_att1_live_major8_corrected_preholdout_v1_20260815_r002,True,,-25.7163,402,-6.39,0.944,0.512,21.4223,9,10,3,-6.121377709999999,"{""ATT1_GEOMETRY_V2_ENABLE"": ""1""}",2,2,2,
