candidate,fold,train_start,train_end,oos_start,oos_end,picked,status,trades,net_pnl,profit_factor,winrate,max_drawdown,run_dir,error
td120_lb60_top3_s0.4_w1.5-8,3,2025-10-02,2026-01-30,2026-01-30,2026-04-30,XLMUSDT,ok,1,-0.36,0.0,0.0,0.3565,backtest_runs/portfolio_20260704_093902_ars1_dynamic_range_picker_td120_lb60_top3_s0.4_w1.5-8_f3_20260704_055013,
td120_lb60_top3_s0.4_w1.5-12,0,2025-01-05,2025-05-05,2025-05-05,2025-08-03,"1000PEPEUSDT,DOGEUSDT",ok,33,-5.9,0.26,0.152,6.7002,backtest_runs/portfolio_20260704_093905_ars1_dynamic_range_picker_td120_lb60_top3_s0.4_w1.5-12_f0_20260704_055013,
td120_lb60_top3_s0.4_w1.5-12,1,2025-04-05,2025-08-03,2025-08-03,2025-11-01,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top3_s0.4_w1.5-12,2,2025-07-04,2025-11-01,2025-11-01,2026-01-30,"TAOUSDT,1000PEPEUSDT",ok,17,1.06,1.287,0.294,2.013,backtest_runs/portfolio_20260704_093909_ars1_dynamic_range_picker_td120_lb60_top3_s0.4_w1.5-12_f2_20260704_055013,
td120_lb60_top3_s0.4_w1.5-12,3,2025-10-02,2026-01-30,2026-01-30,2026-04-30,XLMUSDT,ok,1,-0.36,0.0,0.0,0.3565,backtest_runs/portfolio_20260704_093913_ars1_dynamic_range_picker_td120_lb60_top3_s0.4_w1.5-12_f3_20260704_055013,
td120_lb60_top3_s0.4_w2-8,0,2025-01-05,2025-05-05,2025-05-05,2025-08-03,"1000PEPEUSDT,DOGEUSDT",ok,33,-5.9,0.26,0.152,6.7002,backtest_runs/portfolio_20260704_093916_ars1_dynamic_range_picker_td120_lb60_top3_s0.4_w2-8_f0_20260704_055013,
td120_lb60_top3_s0.4_w2-8,1,2025-04-05,2025-08-03,2025-08-03,2025-11-01,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top3_s0.4_w2-8,2,2025-07-04,2025-11-01,2025-11-01,2026-01-30,TAOUSDT,ok,10,0.35,1.17,0.3,1.9225,backtest_runs/portfolio_20260704_093920_ars1_dynamic_range_picker_td120_lb60_top3_s0.4_w2-8_f2_20260704_055013,
td120_lb60_top3_s0.4_w2-8,3,2025-10-02,2026-01-30,2026-01-30,2026-04-30,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top3_s0.4_w2-12,0,2025-01-05,2025-05-05,2025-05-05,2025-08-03,"1000PEPEUSDT,DOGEUSDT",ok,33,-5.9,0.26,0.152,6.7002,backtest_runs/portfolio_20260704_093923_ars1_dynamic_range_picker_td120_lb60_top3_s0.4_w2-12_f0_20260704_055013,
td120_lb60_top3_s0.4_w2-12,1,2025-04-05,2025-08-03,2025-08-03,2025-11-01,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top3_s0.4_w2-12,2,2025-07-04,2025-11-01,2025-11-01,2026-01-30,TAOUSDT,ok,10,0.35,1.17,0.3,1.9225,backtest_runs/portfolio_20260704_093928_ars1_dynamic_range_picker_td120_lb60_top3_s0.4_w2-12_f2_20260704_055013,
td120_lb60_top3_s0.4_w2-12,3,2025-10-02,2026-01-30,2026-01-30,2026-04-30,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top3_s0.5_w1.5-8,0,2025-01-05,2025-05-05,2025-05-05,2025-08-03,"1000PEPEUSDT,DOGEUSDT",ok,33,-5.9,0.26,0.152,6.7002,backtest_runs/portfolio_20260704_093931_ars1_dynamic_range_picker_td120_lb60_top3_s0.5_w1.5-8_f0_20260704_055013,
td120_lb60_top3_s0.5_w1.5-8,1,2025-04-05,2025-08-03,2025-08-03,2025-11-01,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top3_s0.5_w1.5-8,2,2025-07-04,2025-11-01,2025-11-01,2026-01-30,"TAOUSDT,1000PEPEUSDT",ok,17,1.06,1.287,0.294,2.013,backtest_runs/portfolio_20260704_093935_ars1_dynamic_range_picker_td120_lb60_top3_s0.5_w1.5-8_f2_20260704_055013,
td120_lb60_top3_s0.5_w1.5-8,3,2025-10-02,2026-01-30,2026-01-30,2026-04-30,XLMUSDT,ok,1,-0.36,0.0,0.0,0.3565,backtest_runs/portfolio_20260704_093939_ars1_dynamic_range_picker_td120_lb60_top3_s0.5_w1.5-8_f3_20260704_055013,
td120_lb60_top3_s0.5_w1.5-12,0,2025-01-05,2025-05-05,2025-05-05,2025-08-03,"1000PEPEUSDT,DOGEUSDT",ok,33,-5.9,0.26,0.152,6.7002,backtest_runs/portfolio_20260704_093942_ars1_dynamic_range_picker_td120_lb60_top3_s0.5_w1.5-12_f0_20260704_055013,
td120_lb60_top3_s0.5_w1.5-12,1,2025-04-05,2025-08-03,2025-08-03,2025-11-01,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top3_s0.5_w1.5-12,2,2025-07-04,2025-11-01,2025-11-01,2026-01-30,"TAOUSDT,1000PEPEUSDT",ok,17,1.06,1.287,0.294,2.013,backtest_runs/portfolio_20260704_093947_ars1_dynamic_range_picker_td120_lb60_top3_s0.5_w1.5-12_f2_20260704_055013,
td120_lb60_top3_s0.5_w1.5-12,3,2025-10-02,2026-01-30,2026-01-30,2026-04-30,XLMUSDT,ok,1,-0.36,0.0,0.0,0.3565,backtest_runs/portfolio_20260704_093950_ars1_dynamic_range_picker_td120_lb60_top3_s0.5_w1.5-12_f3_20260704_055013,
td120_lb60_top3_s0.5_w2-8,0,2025-01-05,2025-05-05,2025-05-05,2025-08-03,"1000PEPEUSDT,DOGEUSDT",ok,33,-5.9,0.26,0.152,6.7002,backtest_runs/portfolio_20260704_093953_ars1_dynamic_range_picker_td120_lb60_top3_s0.5_w2-8_f0_20260704_055013,
td120_lb60_top3_s0.5_w2-8,1,2025-04-05,2025-08-03,2025-08-03,2025-11-01,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top3_s0.5_w2-8,2,2025-07-04,2025-11-01,2025-11-01,2026-01-30,TAOUSDT,ok,10,0.35,1.17,0.3,1.9225,backtest_runs/portfolio_20260704_093958_ars1_dynamic_range_picker_td120_lb60_top3_s0.5_w2-8_f2_20260704_055013,
td120_lb60_top3_s0.5_w2-8,3,2025-10-02,2026-01-30,2026-01-30,2026-04-30,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top3_s0.5_w2-12,0,2025-01-05,2025-05-05,2025-05-05,2025-08-03,"1000PEPEUSDT,DOGEUSDT",ok,33,-5.9,0.26,0.152,6.7002,backtest_runs/portfolio_20260704_094001_ars1_dynamic_range_picker_td120_lb60_top3_s0.5_w2-12_f0_20260704_055013,
td120_lb60_top3_s0.5_w2-12,1,2025-04-05,2025-08-03,2025-08-03,2025-11-01,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top3_s0.5_w2-12,2,2025-07-04,2025-11-01,2025-11-01,2026-01-30,TAOUSDT,ok,10,0.35,1.17,0.3,1.9225,backtest_runs/portfolio_20260704_094005_ars1_dynamic_range_picker_td120_lb60_top3_s0.5_w2-12_f2_20260704_055013,
td120_lb60_top3_s0.5_w2-12,3,2025-10-02,2026-01-30,2026-01-30,2026-04-30,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top3_s0.6_w1.5-8,0,2025-01-05,2025-05-05,2025-05-05,2025-08-03,1000PEPEUSDT,ok,22,-2.78,0.427,0.227,3.8566,backtest_runs/portfolio_20260704_094008_ars1_dynamic_range_picker_td120_lb60_top3_s0.6_w1.5-8_f0_20260704_055013,
td120_lb60_top3_s0.6_w1.5-8,1,2025-04-05,2025-08-03,2025-08-03,2025-11-01,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top3_s0.6_w1.5-8,2,2025-07-04,2025-11-01,2025-11-01,2026-01-30,"TAOUSDT,1000PEPEUSDT",ok,17,1.06,1.287,0.294,2.013,backtest_runs/portfolio_20260704_094011_ars1_dynamic_range_picker_td120_lb60_top3_s0.6_w1.5-8_f2_20260704_055013,
td120_lb60_top3_s0.6_w1.5-8,3,2025-10-02,2026-01-30,2026-01-30,2026-04-30,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top3_s0.6_w1.5-12,0,2025-01-05,2025-05-05,2025-05-05,2025-08-03,1000PEPEUSDT,ok,22,-2.78,0.427,0.227,3.8566,backtest_runs/portfolio_20260704_094015_ars1_dynamic_range_picker_td120_lb60_top3_s0.6_w1.5-12_f0_20260704_055013,
td120_lb60_top3_s0.6_w1.5-12,1,2025-04-05,2025-08-03,2025-08-03,2025-11-01,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top3_s0.6_w1.5-12,2,2025-07-04,2025-11-01,2025-11-01,2026-01-30,"TAOUSDT,1000PEPEUSDT",ok,17,1.06,1.287,0.294,2.013,backtest_runs/portfolio_20260704_094018_ars1_dynamic_range_picker_td120_lb60_top3_s0.6_w1.5-12_f2_20260704_055013,
td120_lb60_top3_s0.6_w1.5-12,3,2025-10-02,2026-01-30,2026-01-30,2026-04-30,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top3_s0.6_w2-8,0,2025-01-05,2025-05-05,2025-05-05,2025-08-03,1000PEPEUSDT,ok,22,-2.78,0.427,0.227,3.8566,backtest_runs/portfolio_20260704_094022_ars1_dynamic_range_picker_td120_lb60_top3_s0.6_w2-8_f0_20260704_055013,
td120_lb60_top3_s0.6_w2-8,1,2025-04-05,2025-08-03,2025-08-03,2025-11-01,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top3_s0.6_w2-8,2,2025-07-04,2025-11-01,2025-11-01,2026-01-30,TAOUSDT,ok,10,0.35,1.17,0.3,1.9225,backtest_runs/portfolio_20260704_094025_ars1_dynamic_range_picker_td120_lb60_top3_s0.6_w2-8_f2_20260704_055013,
td120_lb60_top3_s0.6_w2-8,3,2025-10-02,2026-01-30,2026-01-30,2026-04-30,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top3_s0.6_w2-12,0,2025-01-05,2025-05-05,2025-05-05,2025-08-03,1000PEPEUSDT,ok,22,-2.78,0.427,0.227,3.8566,backtest_runs/portfolio_20260704_094027_ars1_dynamic_range_picker_td120_lb60_top3_s0.6_w2-12_f0_20260704_055013,
td120_lb60_top3_s0.6_w2-12,1,2025-04-05,2025-08-03,2025-08-03,2025-11-01,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top3_s0.6_w2-12,2,2025-07-04,2025-11-01,2025-11-01,2026-01-30,TAOUSDT,ok,10,0.35,1.17,0.3,1.9225,backtest_runs/portfolio_20260704_094030_ars1_dynamic_range_picker_td120_lb60_top3_s0.6_w2-12_f2_20260704_055013,
td120_lb60_top3_s0.6_w2-12,3,2025-10-02,2026-01-30,2026-01-30,2026-04-30,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top5_s0.4_w1.5-8,0,2025-01-05,2025-05-05,2025-05-05,2025-08-03,"1000PEPEUSDT,DOGEUSDT",ok,33,-5.9,0.26,0.152,6.7002,backtest_runs/portfolio_20260704_094033_ars1_dynamic_range_picker_td120_lb60_top5_s0.4_w1.5-8_f0_20260704_055013,
td120_lb60_top5_s0.4_w1.5-8,1,2025-04-05,2025-08-03,2025-08-03,2025-11-01,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top5_s0.4_w1.5-8,2,2025-07-04,2025-11-01,2025-11-01,2026-01-30,"TAOUSDT,1000PEPEUSDT",ok,17,1.06,1.287,0.294,2.013,backtest_runs/portfolio_20260704_094038_ars1_dynamic_range_picker_td120_lb60_top5_s0.4_w1.5-8_f2_20260704_055013,
td120_lb60_top5_s0.4_w1.5-8,3,2025-10-02,2026-01-30,2026-01-30,2026-04-30,XLMUSDT,ok,1,-0.36,0.0,0.0,0.3565,backtest_runs/portfolio_20260704_094042_ars1_dynamic_range_picker_td120_lb60_top5_s0.4_w1.5-8_f3_20260704_055013,
td120_lb60_top5_s0.4_w1.5-12,0,2025-01-05,2025-05-05,2025-05-05,2025-08-03,"1000PEPEUSDT,DOGEUSDT",ok,33,-5.9,0.26,0.152,6.7002,backtest_runs/portfolio_20260704_094045_ars1_dynamic_range_picker_td120_lb60_top5_s0.4_w1.5-12_f0_20260704_055013,
td120_lb60_top5_s0.4_w1.5-12,1,2025-04-05,2025-08-03,2025-08-03,2025-11-01,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top5_s0.4_w1.5-12,2,2025-07-04,2025-11-01,2025-11-01,2026-01-30,"TAOUSDT,1000PEPEUSDT",ok,17,1.06,1.287,0.294,2.013,backtest_runs/portfolio_20260704_094049_ars1_dynamic_range_picker_td120_lb60_top5_s0.4_w1.5-12_f2_20260704_055013,
td120_lb60_top5_s0.4_w1.5-12,3,2025-10-02,2026-01-30,2026-01-30,2026-04-30,XLMUSDT,ok,1,-0.36,0.0,0.0,0.3565,backtest_runs/portfolio_20260704_094053_ars1_dynamic_range_picker_td120_lb60_top5_s0.4_w1.5-12_f3_20260704_055013,
td120_lb60_top5_s0.4_w2-8,0,2025-01-05,2025-05-05,2025-05-05,2025-08-03,"1000PEPEUSDT,DOGEUSDT",ok,33,-5.9,0.26,0.152,6.7002,backtest_runs/portfolio_20260704_094056_ars1_dynamic_range_picker_td120_lb60_top5_s0.4_w2-8_f0_20260704_055013,
td120_lb60_top5_s0.4_w2-8,1,2025-04-05,2025-08-03,2025-08-03,2025-11-01,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top5_s0.4_w2-8,2,2025-07-04,2025-11-01,2025-11-01,2026-01-30,TAOUSDT,ok,10,0.35,1.17,0.3,1.9225,backtest_runs/portfolio_20260704_094100_ars1_dynamic_range_picker_td120_lb60_top5_s0.4_w2-8_f2_20260704_055013,
td120_lb60_top5_s0.4_w2-8,3,2025-10-02,2026-01-30,2026-01-30,2026-04-30,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top5_s0.4_w2-12,0,2025-01-05,2025-05-05,2025-05-05,2025-08-03,"1000PEPEUSDT,DOGEUSDT",ok,33,-5.9,0.26,0.152,6.7002,backtest_runs/portfolio_20260704_094103_ars1_dynamic_range_picker_td120_lb60_top5_s0.4_w2-12_f0_20260704_055013,
td120_lb60_top5_s0.4_w2-12,1,2025-04-05,2025-08-03,2025-08-03,2025-11-01,,no_picks,0,0.0,0.0,0.0,0.0,,
td120_lb60_top5_s0.4_w2-12,2,2025-07-04,2025-11-01,2025-11-01,2026-01-30,TAOUSDT,ok,10,0.35,1.17,0.3,1.9225,backtest_runs/portfolio_20260704_094108_ars1_dynamic_range_picker_td120_lb60_top5_s0.4_w2-12_f2_20260704_055013,
td120_lb60_top5_s0.4_w2-12,3,2025-10-02,2026-01-30,2026-01-30,2026-04-30,,no_picks,0,0.0,0.0,0.0,0.0,,
