candidate,fold,rank,symbol,score,tradeable,is_range,votes,regime,range_prob,width_atr,reason
td30_lb60_top3_s0.5_w1.5-8,2,5,SUIUSDT,0.4003,0,1,2,bull,0.261,1.49,below_bar
td30_lb60_top3_s0.5_w1.5-8,2,6,LTCUSDT,0.3958,0,0,1,range,0.45,3.47,below_bar
td30_lb60_top3_s0.5_w1.5-8,2,7,XLMUSDT,0.3763,0,1,2,bull,0.217,0.0,below_bar
td30_lb60_top3_s0.5_w1.5-8,2,8,ADAUSDT,0.212,0,0,1,bull,0.252,2.29,below_bar
td30_lb60_top3_s0.5_w1.5-8,2,9,BCHUSDT,0.2,0,0,0,high_vol,0.15,1.59,below_bar
td30_lb60_top3_s0.5_w1.5-8,2,10,XRPUSDT,0.1734,0,0,1,range,0.36,1.07,below_bar
td30_lb60_top3_s0.5_w1.5-8,2,11,ETHUSDT,0.1723,0,0,1,range,0.356,0.46,below_bar
td30_lb60_top3_s0.5_w1.5-8,2,12,ATOMUSDT,0.1353,0,0,0,range,0.541,1.06,below_bar
td30_lb60_top3_s0.5_w1.5-8,3,1,XLMUSDT,0.5636,1,1,2,bull,0.195,1.69,ok
td30_lb60_top3_s0.5_w1.5-8,3,2,BCHUSDT,0.3331,0,0,0,range,0.532,2.54,below_bar
