strategy,symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,pnl_pct_equity,fees,outcome,reason
inplay_breakout,ASTERUSDT,short,1763901600000,1763902800000,1.14347126,1.14874685,87.43551631,-0.58152637,-0.005815,0.12025276,sl,breakout_retest_short;runner+SL
inplay_breakout,TAOUSDT,long,1763902500000,1763903100000,287.59750800,285.55230669,0.25883531,-0.61838117,-0.006188,0.08901085,sl,breakout_retest_long;runner+SL
inplay_breakout,TAOUSDT,long,1763903700000,1763904000000,286.89736800,285.53573857,0.34862641,-0.59443916,-0.006019,0.11973918,sl,breakout_retest_long;runner+SL
inplay_breakout,ASTERUSDT,short,1763903100000,1763905800000,1.13937208,1.12111898,53.34778210,0.90140715,0.009124,0.07235531,tp,breakout_retest_short;runner+TP1+TP2+TP3
inplay_breakout,TAOUSDT,long,1763905200000,1763906400000,286.70733000,288.71613094,0.34885749,0.58034079,0.005901,0.12044447,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,TAOUSDT,long,1763907000000,1763909100000,287.05740000,287.93812432,0.34843206,0.18666446,0.001872,0.12020812,sl,breakout_retest_long;runner+TP1+TP2+TRAIL_SL
inplay_breakout,TAOUSDT,long,1763910600000,1763913300000,287.48748600,291.04702467,0.27446548,0.88169782,0.008828,0.09527265,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,AAVEUSDT,long,1763916000000,1763916900000,165.96318600,165.29550571,0.60266377,-0.52216929,-0.005183,0.11978257,sl,breakout_retest_long;runner+SL
inplay_breakout,AAVEUSDT,long,1763919600000,1763919900000,165.75314400,165.29664834,0.60342747,-0.39532074,-0.003944,0.11985872,sl,breakout_retest_long;runner+SL
inplay_breakout,AAVEUSDT,long,1763920800000,1763923200000,165.71313600,166.43219833,0.60357315,0.31372231,0.003142,0.12028440,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,AAVEUSDT,long,1763923500000,1763926200000,166.13322000,167.62129189,0.60204696,0.77532763,0.007742,0.12056153,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,AAVEUSDT,long,1763950200000,1763951400000,170.53410000,170.82642788,0.58651026,0.05132643,0.000508,0.12012687,sl,breakout_retest_long;runner+TP1+TP2+SL
inplay_breakout,AAVEUSDT,long,1763952900000,1763953500000,170.65412400,169.87658931,0.58609776,-0.57546191,-0.005681,0.11975057,sl,breakout_retest_long;runner+SL
inplay_breakout,1000PEPEUSDT,long,1763949900000,1763954400000,0.00424785,0.00428775,23546.03249352,0.81901378,0.008115,0.12058776,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,ENAUSDT,long,1763951100000,1763955600000,0.24384876,0.24469226,213.13838531,0.11730695,0.001156,0.06247611,sl,breakout_retest_long;runner+TP1+TRAIL_SL
inplay_breakout,AAVEUSDT,long,1763954100000,1763957700000,171.43428000,172.01071904,0.35538640,0.13162519,0.001307,0.07323341,sl,breakout_retest_long;runner+TP1+TRAIL_SL
inplay_breakout,OPUSDT,long,1764001500000,1764005100000,0.31446288,0.31687604,318.06615776,0.64706022,0.006379,0.12048453,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,AGLDUSDT,long,1764005400000,1764005700000,0.29605920,0.29520952,337.83783784,-0.40690659,-0.003951,0.11985177,sl,breakout_retest_long;runner+SL
inplay_breakout,SUIUSDT,long,1764001500000,1764006300000,1.42598514,1.45044054,40.90522742,0.92975717,0.009171,0.07059651,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,ARBUSDT,long,1764001200000,1764006900000,0.20874174,0.21219544,289.68105099,0.92730839,0.009139,0.07316251,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,AGLDUSDT,long,1764006300000,1764010800000,0.29635926,0.29830073,337.49578130,0.53482009,0.005191,0.12041714,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,BTCUSDT,long,1764007200000,1764013200000,88217.64000000,88435.49227551,0.00113379,0.12682585,0.001220,0.12017220,sl,breakout_retest_long;runner+TP1+TP2+TRAIL_SL
inplay_breakout,BTCUSDT,long,1764013500000,1764017400000,88282.05288000,88755.85842023,0.00113296,0.41645646,0.003990,0.12034608,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,ADAUSDT,long,1764005700000,1764018900000,0.42428484,0.42940202,145.10753034,0.66821620,0.006515,0.07432584,sl,breakout_retest_long;runner+TP1+TP2+TRAIL_SL
inplay_breakout,ENAUSDT,long,1764064800000,1764065700000,0.26725344,0.26561829,344.48724370,-0.67342735,-0.006394,0.11014051,sl,breakout_retest_long;runner+SL
inplay_breakout,ENAUSDT,long,1764066000000,1764068100000,0.26665332,0.26860090,375.09377344,0.61006193,0.005830,0.12046231,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,ENAUSDT,long,1764090900000,1764093900000,0.27575514,0.28181905,172.13998682,0.98625350,0.009370,0.05758849,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,TAOUSDT,long,1764105600000,1764105900000,306.16122000,303.67582411,0.22475306,-0.64083797,-0.006032,0.08223764,sl,breakout_retest_long;runner+SL
inplay_breakout,TAOUSDT,long,1764110100000,1764110400000,305.14101600,303.74209657,0.32778288,-0.57829071,-0.005476,0.11974887,sl,breakout_retest_long;runner+SL
inplay_breakout,KITEUSDT,long,1764110400000,1764111000000,0.10466093,0.10391236,742.85470629,-0.64904385,-0.006180,0.09296379,sl,breakout_retest_long;runner+SL
inplay_breakout,KITEUSDT,long,1764111000000,1764113100000,0.10478095,0.10579597,617.67476360,0.54890833,0.005259,0.07804083,sl,breakout_retest_long;runner+TP1+TP2+TRAIL_SL
inplay_breakout,KITEUSDT,long,1764114000000,1764114600000,0.10435087,0.10525257,958.49707658,0.74374176,0.007059,0.12054257,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,TAOUSDT,long,1764111300000,1764115500000,306.41127000,309.56859462,0.20019569,0.55809288,0.005349,0.07398991,sl,breakout_retest_long;runner+TP1+TP2+TRAIL_SL
inplay_breakout,KITEUSDT,long,1764114600000,1764119400000,0.10520104,0.10438504,403.39169653,-0.37989370,-0.003580,0.05072717,sl,breakout_retest_long;runner+TRAIL_SL
inplay_breakout,WLFIUSDT,long,1764116400000,1764119400000,0.16583316,0.16651855,259.91701918,0.12631398,0.001189,0.05183032,sl,breakout_retest_long;runner+TP1+TRAIL_SL
inplay_breakout,KITEUSDT,long,1764119400000,1764122700000,0.10469093,0.10615511,710.50369082,0.95041660,0.008969,0.08988413,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,WLFIUSDT,long,1764120000000,1764127200000,0.16503300,0.16758093,409.19064204,0.96092935,0.009072,0.08166151,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,TAOUSDT,long,1764138600000,1764139200000,314.54289600,318.00159839,0.30390586,0.93577953,0.008674,0.11534039,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,ASTERUSDT,short,1764149700000,1764153600000,1.09008194,1.07596682,54.79825407,0.70226668,0.006454,0.07121741,sl,breakout_retest_short;runner+TP1+TP2+TRAIL_SL
inplay_breakout,AAVEUSDT,long,1764178500000,1764183000000,182.48649000,185.43078642,0.36651922,0.99823197,0.009115,0.08090925,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,DOGEUSDT,long,1764179400000,1764187500000,0.15546109,0.15581410,643.37643955,0.10696298,0.000977,0.12016027,sl,breakout_retest_long;runner+TP1+TRAIL_SL
inplay_breakout,1000PEPEUSDT,long,1764181800000,1764189000000,0.00469194,0.00467977,12339.11279041,-0.21948381,-0.001994,0.06938317,sl,breakout_retest_long;runner+TRAIL_SL
inplay_breakout,HYPEUSDT,long,1764188700000,1764192300000,35.20203900,35.62534779,2.55311612,0.97225817,0.008792,0.10849833,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,VIRTUALUSDT,long,1764192900000,1764195000000,0.94738944,0.95576407,105.57432432,0.76359100,0.006856,0.12055449,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,ORCAUSDT,long,1764209400000,1764210300000,1.11322260,1.12304849,89.84725966,0.76227543,0.006798,0.12055370,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,OPUSDT,long,1764248100000,1764249900000,0.33046608,0.33249777,302.66343826,0.49452619,0.004380,0.12039295,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,TAOUSDT,short,1764283500000,1764289800000,300.93980000,298.31314459,0.30718271,0.69641505,0.006142,0.11044809,sl,breakout_retest_short;runner+TP1+TP2+TRAIL_SL
inplay_breakout,PIPPINUSDT,long,1764297300000,1764297600000,0.06884377,0.06754077,447.16407463,-0.61924259,-0.005428,0.03659176,sl,breakout_retest_long;runner+SL
inplay_breakout,PIPPINUSDT,long,1764300600000,1764301200000,0.06887377,0.07129340,468.22703323,1.09355782,0.009637,0.03937804,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,BTCUSDT,long,1764337800000,1764339900000,92096.61564000,92565.60083361,0.00108603,0.38900398,0.003395,0.12032960,tp,breakout_retest_long;runner+TP1+TP2+TP3
