symbol,setup,tp_rr,sl_atr,max_hold,coverage_ok,coverage_reasons,cost_ok,fee_r,cost_reason,skip_reason,trades,net_r,pf,win_rate,folds_positive,min_fold_trades,preflight_go,preflight_reasons
GBPUSD,trend_pullback,1.5,0.8,72,True,,False,0.5675,fee_r_0.57_exceeds_0.25,cost_infeasible,0,0.0,0.0,0.0,0,0,False,fee_r_0.57_exceeds_0.25
GBPUSD,trend_pullback,1.5,1.0,24,True,,False,0.454,fee_r_0.45_exceeds_0.25,cost_infeasible,0,0.0,0.0,0.0,0,0,False,fee_r_0.45_exceeds_0.25
GBPUSD,trend_pullback,1.5,1.0,72,True,,False,0.454,fee_r_0.45_exceeds_0.25,cost_infeasible,0,0.0,0.0,0.0,0,0,False,fee_r_0.45_exceeds_0.25
GBPUSD,trend_pullback,1.5,1.3,24,True,,False,0.3492,fee_r_0.35_exceeds_0.25,cost_infeasible,0,0.0,0.0,0.0,0,0,False,fee_r_0.35_exceeds_0.25
GBPUSD,trend_pullback,1.5,1.3,72,True,,False,0.3492,fee_r_0.35_exceeds_0.25,cost_infeasible,0,0.0,0.0,0.0,0,0,False,fee_r_0.35_exceeds_0.25
GBPUSD,trend_pullback,2.0,0.8,24,True,,False,0.5675,fee_r_0.57_exceeds_0.25,cost_infeasible,0,0.0,0.0,0.0,0,0,False,fee_r_0.57_exceeds_0.25
GBPUSD,trend_pullback,2.0,0.8,72,True,,False,0.5675,fee_r_0.57_exceeds_0.25,cost_infeasible,0,0.0,0.0,0.0,0,0,False,fee_r_0.57_exceeds_0.25
GBPUSD,trend_pullback,2.0,1.0,24,True,,False,0.454,fee_r_0.45_exceeds_0.25,cost_infeasible,0,0.0,0.0,0.0,0,0,False,fee_r_0.45_exceeds_0.25
GBPUSD,trend_pullback,2.0,1.0,72,True,,False,0.454,fee_r_0.45_exceeds_0.25,cost_infeasible,0,0.0,0.0,0.0,0,0,False,fee_r_0.45_exceeds_0.25
GBPUSD,trend_pullback,2.0,1.3,24,True,,False,0.3492,fee_r_0.35_exceeds_0.25,cost_infeasible,0,0.0,0.0,0.0,0,0,False,fee_r_0.35_exceeds_0.25
