market,event,side,tp_rr,sl_atr,max_hold,buffer_atr,cooldown_bars,trades,net_r,pf,win_rate,symbols,positive_symbols,top_symbol_frac,preflight_go,preflight_reasons
fx,bos,long,2.0,0.8,6,0.2,5,451,-66.052,0.785371033667945,0.3636,1,0,1.0,False,low_symbol_coverage_1<3;low_quality_pf_0.79<0.80
fx,bos,long,2.0,0.8,6,0.2,10,372,-53.9776,0.7875235592449076,0.3683,1,0,1.0,False,low_symbol_coverage_1<3;low_quality_pf_0.79<0.80
fx,bos,long,2.0,0.8,6,0.2,20,302,-47.6256,0.7703056861226353,0.3576,1,0,1.0,False,low_symbol_coverage_1<3;low_quality_pf_0.77<0.80
fx,bos,long,2.0,0.8,12,0.1,0,744,-132.8493,0.7617847250575996,0.3199,1,0,1.0,False,low_symbol_coverage_1<3;low_quality_pf_0.76<0.80
fx,bos,long,2.0,0.8,12,0.1,5,475,-71.5714,0.7958892319345398,0.3305,1,0,1.0,False,low_symbol_coverage_1<3;low_quality_pf_0.80<0.80
fx,bos,long,2.0,0.8,12,0.1,10,391,-70.4774,0.7588373395711266,0.3248,1,0,1.0,False,low_symbol_coverage_1<3;low_quality_pf_0.76<0.80
fx,bos,long,2.0,0.8,12,0.1,20,310,-57.8422,0.7509119745891647,0.3194,1,0,1.0,False,low_symbol_coverage_1<3;low_quality_pf_0.75<0.80
fx,bos,long,2.0,0.8,12,0.2,0,688,-104.3166,0.7950946029082115,0.3285,1,0,1.0,False,low_symbol_coverage_1<3;low_quality_pf_0.80<0.80
fx,bos,long,2.0,0.8,12,0.2,5,437,-51.8583,0.8367045224820467,0.341,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.0,0.8,12,0.2,10,366,-53.3597,0.8022965738500181,0.3333,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.0,0.8,12,0.2,20,298,-49.1706,0.7784614136935938,0.3221,1,0,1.0,False,low_symbol_coverage_1<3;low_quality_pf_0.78<0.80
fx,bos,long,2.0,1.0,6,0.1,0,713,-85.82,0.8032237191771807,0.3829,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.0,1.0,6,0.1,5,464,-39.3227,0.857376384427673,0.403,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.0,1.0,6,0.1,10,388,-44.6777,0.8106782457766956,0.3866,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.0,1.0,6,0.1,20,303,-28.9767,0.8413463117850737,0.3894,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.0,1.0,6,0.2,0,661,-72.958,0.8179405810240274,0.3933,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.0,1.0,6,0.2,5,432,-28.609,0.8877460814714919,0.4144,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.0,1.0,6,0.2,10,366,-42.9419,0.8078614050284929,0.3989,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.0,1.0,6,0.2,20,291,-20.2693,0.8820057503080937,0.4055,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.0,1.0,12,0.1,0,645,-62.1511,0.8594906666377289,0.3597,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.0,1.0,12,0.1,5,436,-15.4973,0.946389313909277,0.383,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.0,1.0,12,0.1,10,374,-24.8036,0.902027963796687,0.3717,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.0,1.0,12,0.1,20,295,-16.4736,0.9167952514461684,0.3729,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.0,1.0,12,0.2,0,599,-45.6221,0.8878401946308362,0.3656,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.0,1.0,12,0.2,5,410,-19.5863,0.9284376773182772,0.378,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.0,1.0,12,0.2,10,354,-23.4823,0.9018334199383217,0.3729,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.0,1.0,12,0.2,20,286,-18.4119,0.9049510685319321,0.3671,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,0.8,6,0.1,0,752,-104.8379,0.8012088126710115,0.3351,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,0.8,6,0.1,5,479,-54.3773,0.8362175890200698,0.3445,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,0.8,6,0.1,10,392,-42.4673,0.8432134463262654,0.3469,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,0.8,6,0.1,20,309,-46.7249,0.7868543234566122,0.3301,1,0,1.0,False,low_symbol_coverage_1<3;low_quality_pf_0.79<0.80
fx,bos,long,2.5,0.8,6,0.2,0,691,-72.2956,0.8481442326899621,0.3488,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,0.8,6,0.2,5,442,-30.4536,0.8982809338877509,0.3665,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,0.8,6,0.2,10,369,-39.3811,0.8454463680911001,0.3577,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,0.8,6,0.2,20,298,-32.6951,0.8417203461954421,0.3456,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,0.8,12,0.1,0,695,-89.0117,0.8332664925997849,0.3007,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,0.8,12,0.1,5,458,-30.3977,0.9112810324633839,0.321,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,0.8,12,0.1,10,381,-34.5442,0.8807297732242239,0.3123,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,0.8,12,0.1,20,304,-43.6247,0.8151784742131422,0.2961,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,0.8,12,0.2,0,639,-59.8031,0.8762469593612358,0.313,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,0.8,12,0.2,5,425,-19.5575,0.9377364034865704,0.3294,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,0.8,12,0.2,10,359,-30.6026,0.8874687623645142,0.3148,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,0.8,12,0.2,20,294,-42.3728,0.8145126693877265,0.2959,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,1.0,6,0.1,0,689,-97.8117,0.7749489726775177,0.3657,1,0,1.0,False,low_symbol_coverage_1<3;low_quality_pf_0.77<0.80
fx,bos,long,2.5,1.0,6,0.1,5,460,-33.1587,0.8801084706541685,0.3957,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,1.0,6,0.1,10,386,-35.0332,0.8519258031329858,0.3834,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,1.0,6,0.1,20,302,-21.8056,0.8809087930092846,0.3841,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,1.0,6,0.2,0,637,-81.5807,0.7953744179583369,0.3768,1,0,1.0,False,low_symbol_coverage_1<3;low_quality_pf_0.80<0.80
fx,bos,long,2.5,1.0,6,0.2,5,428,-29.9936,0.8840539820686013,0.3995,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,1.0,6,0.2,10,364,-41.6332,0.8157677905604954,0.3874,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,1.0,6,0.2,20,290,-18.3058,0.8945273585976468,0.3966,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,1.0,12,0.1,0,603,-45.6659,0.8936673909824087,0.3333,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,1.0,12,0.1,5,425,0.6975,1.0023882291631716,0.36,1,1,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,1.0,12,0.1,10,370,-4.7025,0.9817118914123865,0.3541,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,1.0,12,0.1,20,292,-4.2085,0.9792237887002291,0.3527,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,1.0,12,0.2,0,562,-34.4637,0.9135448572740205,0.3381,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,1.0,12,0.2,5,398,-7.6092,0.9724110225383223,0.3543,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,1.0,12,0.2,10,349,-8.4181,0.9654028599633894,0.3524,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,long,2.5,1.0,12,0.2,20,283,-14.0792,0.9296011488465283,0.3392,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,0.8,6,0.1,0,535,-61.2371,0.8202978548581155,0.4075,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,0.8,6,0.1,5,337,-40.5381,0.8116285553640051,0.4065,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,0.8,6,0.1,10,281,-29.1548,0.8361413280202781,0.4164,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,0.8,6,0.1,20,229,-23.5311,0.8387450248347094,0.4192,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,0.8,6,0.2,0,498,-54.2778,0.8277162688077946,0.4096,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,0.8,6,0.2,5,318,-38.8521,0.807266527304169,0.4057,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,0.8,6,0.2,10,264,-21.3096,0.8696269032473973,0.4242,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,0.8,6,0.2,20,218,-13.1216,0.901794795609146,0.4358,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,0.8,12,0.1,0,530,-60.3588,0.8293291620506016,0.4,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,0.8,12,0.1,5,335,-37.9392,0.8302624232272473,0.4,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,0.8,12,0.1,10,279,-17.0974,0.9050542161783343,0.4229,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,0.8,12,0.1,20,226,-8.2245,0.9427156720643742,0.4336,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,0.8,12,0.2,0,493,-44.2637,0.8632150249412394,0.4097,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,0.8,12,0.2,5,316,-32.3971,0.8452950687686772,0.4051,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,0.8,12,0.2,10,262,-8.758,0.9472485270184156,0.4351,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,0.8,12,0.2,20,215,1.0987,1.0082712506474265,0.4512,1,1,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,1.0,6,0.1,0,484,-44.6512,0.8436884200562146,0.4132,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,1.0,6,0.1,5,326,-30.9979,0.8381129797272385,0.4202,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,1.0,6,0.1,10,276,-23.0362,0.8577182368727437,0.4312,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,1.0,6,0.1,20,227,-10.323,0.9204021913878918,0.4493,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,1.0,6,0.2,0,456,-44.2264,0.8350214269514045,0.4101,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,1.0,6,0.2,5,305,-31.157,0.8255907032461389,0.4164,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,1.0,6,0.2,10,260,-19.3107,0.8717226865915543,0.4346,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,1.0,6,0.2,20,216,-8.047,0.9340422270727682,0.4491,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,1.0,12,0.1,0,473,-28.6755,0.9037485226872608,0.4123,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,1.0,12,0.1,5,318,-20.1024,0.9003901662641457,0.4151,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,1.0,12,0.1,10,275,-11.6771,0.9321599354894557,0.4218,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,1.0,12,0.1,20,221,10.6522,1.0821212985591266,0.4615,1,1,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,1.0,12,0.2,0,442,-23.0705,0.9164915633692952,0.4163,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,1.0,12,0.2,5,296,-16.7853,0.9103028806769086,0.4189,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,1.0,12,0.2,10,259,-7.3871,0.9540473777749577,0.4286,1,0,1.0,False,low_symbol_coverage_1<3
fx,bos,short,1.5,1.0,12,0.2,20,212,12.3879,1.100134100592419,0.467,1,1,1.0,False,low_symbol_coverage_1<3
fx,bos,short,2.0,0.8,6,0.1,0,491,-61.7839,0.8184160578492624,0.3564,1,0,1.0,False,low_symbol_coverage_1<3
