tag,market,event,side,tp_rr,sl_atr,max_hold,buffer_atr,cooldown_bars,symbol,trades,net_r,pf,win_rate
bos_long_rr2.0_sl0.8_h6_b0.2_cd10,fx,bos,long,2.0,0.8,6,0.2,10,XAUUSD,372,-53.9776,0.7875235592449076,0.3683
bos_long_rr2.0_sl0.8_h6_b0.2_cd20,fx,bos,long,2.0,0.8,6,0.2,20,XAUUSD,302,-47.6256,0.7703056861226353,0.3576
bos_long_rr2.0_sl0.8_h12_b0.1_cd0,fx,bos,long,2.0,0.8,12,0.1,0,XAUUSD,744,-132.8493,0.7617847250575996,0.3199
bos_long_rr2.0_sl0.8_h12_b0.1_cd5,fx,bos,long,2.0,0.8,12,0.1,5,XAUUSD,475,-71.5714,0.7958892319345398,0.3305
bos_long_rr2.0_sl0.8_h12_b0.1_cd10,fx,bos,long,2.0,0.8,12,0.1,10,XAUUSD,391,-70.4774,0.7588373395711266,0.3248
bos_long_rr2.0_sl0.8_h12_b0.1_cd20,fx,bos,long,2.0,0.8,12,0.1,20,XAUUSD,310,-57.8422,0.7509119745891647,0.3194
bos_long_rr2.0_sl0.8_h12_b0.2_cd0,fx,bos,long,2.0,0.8,12,0.2,0,XAUUSD,688,-104.3166,0.7950946029082115,0.3285
bos_long_rr2.0_sl0.8_h12_b0.2_cd5,fx,bos,long,2.0,0.8,12,0.2,5,XAUUSD,437,-51.8583,0.8367045224820467,0.341
bos_long_rr2.0_sl0.8_h12_b0.2_cd10,fx,bos,long,2.0,0.8,12,0.2,10,XAUUSD,366,-53.3597,0.8022965738500181,0.3333
bos_long_rr2.0_sl0.8_h12_b0.2_cd20,fx,bos,long,2.0,0.8,12,0.2,20,XAUUSD,298,-49.1706,0.7784614136935938,0.3221
bos_long_rr2.0_sl1.0_h6_b0.1_cd0,fx,bos,long,2.0,1.0,6,0.1,0,XAUUSD,713,-85.82,0.8032237191771807,0.3829
bos_long_rr2.0_sl1.0_h6_b0.1_cd5,fx,bos,long,2.0,1.0,6,0.1,5,XAUUSD,464,-39.3227,0.857376384427673,0.403
bos_long_rr2.0_sl1.0_h6_b0.1_cd10,fx,bos,long,2.0,1.0,6,0.1,10,XAUUSD,388,-44.6777,0.8106782457766956,0.3866
bos_long_rr2.0_sl1.0_h6_b0.1_cd20,fx,bos,long,2.0,1.0,6,0.1,20,XAUUSD,303,-28.9767,0.8413463117850737,0.3894
bos_long_rr2.0_sl1.0_h6_b0.2_cd0,fx,bos,long,2.0,1.0,6,0.2,0,XAUUSD,661,-72.958,0.8179405810240274,0.3933
bos_long_rr2.0_sl1.0_h6_b0.2_cd5,fx,bos,long,2.0,1.0,6,0.2,5,XAUUSD,432,-28.609,0.8877460814714919,0.4144
bos_long_rr2.0_sl1.0_h6_b0.2_cd10,fx,bos,long,2.0,1.0,6,0.2,10,XAUUSD,366,-42.9419,0.8078614050284929,0.3989
bos_long_rr2.0_sl1.0_h6_b0.2_cd20,fx,bos,long,2.0,1.0,6,0.2,20,XAUUSD,291,-20.2693,0.8820057503080937,0.4055
bos_long_rr2.0_sl1.0_h12_b0.1_cd0,fx,bos,long,2.0,1.0,12,0.1,0,XAUUSD,645,-62.1511,0.8594906666377289,0.3597
bos_long_rr2.0_sl1.0_h12_b0.1_cd5,fx,bos,long,2.0,1.0,12,0.1,5,XAUUSD,436,-15.4973,0.946389313909277,0.383
bos_long_rr2.0_sl1.0_h12_b0.1_cd10,fx,bos,long,2.0,1.0,12,0.1,10,XAUUSD,374,-24.8036,0.902027963796687,0.3717
bos_long_rr2.0_sl1.0_h12_b0.1_cd20,fx,bos,long,2.0,1.0,12,0.1,20,XAUUSD,295,-16.4736,0.9167952514461684,0.3729
bos_long_rr2.0_sl1.0_h12_b0.2_cd0,fx,bos,long,2.0,1.0,12,0.2,0,XAUUSD,599,-45.6221,0.8878401946308362,0.3656
bos_long_rr2.0_sl1.0_h12_b0.2_cd5,fx,bos,long,2.0,1.0,12,0.2,5,XAUUSD,410,-19.5863,0.9284376773182772,0.378
bos_long_rr2.0_sl1.0_h12_b0.2_cd10,fx,bos,long,2.0,1.0,12,0.2,10,XAUUSD,354,-23.4823,0.9018334199383217,0.3729
bos_long_rr2.0_sl1.0_h12_b0.2_cd20,fx,bos,long,2.0,1.0,12,0.2,20,XAUUSD,286,-18.4119,0.9049510685319321,0.3671
bos_long_rr2.5_sl0.8_h6_b0.1_cd0,fx,bos,long,2.5,0.8,6,0.1,0,XAUUSD,752,-104.8379,0.8012088126710115,0.3351
bos_long_rr2.5_sl0.8_h6_b0.1_cd5,fx,bos,long,2.5,0.8,6,0.1,5,XAUUSD,479,-54.3773,0.8362175890200698,0.3445
bos_long_rr2.5_sl0.8_h6_b0.1_cd10,fx,bos,long,2.5,0.8,6,0.1,10,XAUUSD,392,-42.4673,0.8432134463262654,0.3469
bos_long_rr2.5_sl0.8_h6_b0.1_cd20,fx,bos,long,2.5,0.8,6,0.1,20,XAUUSD,309,-46.7249,0.7868543234566122,0.3301
bos_long_rr2.5_sl0.8_h6_b0.2_cd0,fx,bos,long,2.5,0.8,6,0.2,0,XAUUSD,691,-72.2956,0.8481442326899621,0.3488
bos_long_rr2.5_sl0.8_h6_b0.2_cd5,fx,bos,long,2.5,0.8,6,0.2,5,XAUUSD,442,-30.4536,0.8982809338877509,0.3665
bos_long_rr2.5_sl0.8_h6_b0.2_cd10,fx,bos,long,2.5,0.8,6,0.2,10,XAUUSD,369,-39.3811,0.8454463680911001,0.3577
bos_long_rr2.5_sl0.8_h6_b0.2_cd20,fx,bos,long,2.5,0.8,6,0.2,20,XAUUSD,298,-32.6951,0.8417203461954421,0.3456
bos_long_rr2.5_sl0.8_h12_b0.1_cd0,fx,bos,long,2.5,0.8,12,0.1,0,XAUUSD,695,-89.0117,0.8332664925997849,0.3007
bos_long_rr2.5_sl0.8_h12_b0.1_cd5,fx,bos,long,2.5,0.8,12,0.1,5,XAUUSD,458,-30.3977,0.9112810324633839,0.321
bos_long_rr2.5_sl0.8_h12_b0.1_cd10,fx,bos,long,2.5,0.8,12,0.1,10,XAUUSD,381,-34.5442,0.8807297732242239,0.3123
bos_long_rr2.5_sl0.8_h12_b0.1_cd20,fx,bos,long,2.5,0.8,12,0.1,20,XAUUSD,304,-43.6247,0.8151784742131422,0.2961
bos_long_rr2.5_sl0.8_h12_b0.2_cd0,fx,bos,long,2.5,0.8,12,0.2,0,XAUUSD,639,-59.8031,0.8762469593612358,0.313
bos_long_rr2.5_sl0.8_h12_b0.2_cd5,fx,bos,long,2.5,0.8,12,0.2,5,XAUUSD,425,-19.5575,0.9377364034865704,0.3294
bos_long_rr2.5_sl0.8_h12_b0.2_cd10,fx,bos,long,2.5,0.8,12,0.2,10,XAUUSD,359,-30.6026,0.8874687623645142,0.3148
bos_long_rr2.5_sl0.8_h12_b0.2_cd20,fx,bos,long,2.5,0.8,12,0.2,20,XAUUSD,294,-42.3728,0.8145126693877265,0.2959
bos_long_rr2.5_sl1.0_h6_b0.1_cd0,fx,bos,long,2.5,1.0,6,0.1,0,XAUUSD,689,-97.8117,0.7749489726775177,0.3657
bos_long_rr2.5_sl1.0_h6_b0.1_cd5,fx,bos,long,2.5,1.0,6,0.1,5,XAUUSD,460,-33.1587,0.8801084706541685,0.3957
bos_long_rr2.5_sl1.0_h6_b0.1_cd10,fx,bos,long,2.5,1.0,6,0.1,10,XAUUSD,386,-35.0332,0.8519258031329858,0.3834
bos_long_rr2.5_sl1.0_h6_b0.1_cd20,fx,bos,long,2.5,1.0,6,0.1,20,XAUUSD,302,-21.8056,0.8809087930092846,0.3841
bos_long_rr2.5_sl1.0_h6_b0.2_cd0,fx,bos,long,2.5,1.0,6,0.2,0,XAUUSD,637,-81.5807,0.7953744179583369,0.3768
bos_long_rr2.5_sl1.0_h6_b0.2_cd5,fx,bos,long,2.5,1.0,6,0.2,5,XAUUSD,428,-29.9936,0.8840539820686013,0.3995
bos_long_rr2.5_sl1.0_h6_b0.2_cd10,fx,bos,long,2.5,1.0,6,0.2,10,XAUUSD,364,-41.6332,0.8157677905604954,0.3874
bos_long_rr2.5_sl1.0_h6_b0.2_cd20,fx,bos,long,2.5,1.0,6,0.2,20,XAUUSD,290,-18.3058,0.8945273585976468,0.3966
bos_long_rr2.5_sl1.0_h12_b0.1_cd0,fx,bos,long,2.5,1.0,12,0.1,0,XAUUSD,603,-45.6659,0.8936673909824087,0.3333
