fold,start_ts,end_ts_exclusive,embargo_start_ts,trades,wins,losses,win_rate_pct,net_r,profit_factor,max_drawdown_r,average_r
1,1721001600000,1733961600000,1721606400000,15,4,11,26.666666666666668,-2.5905178503367146,0.6141687852149254,5.60795116102152,-0.17270119002244763
2,1733961600000,1746921600000,1734566400000,12,7,5,58.333333333333336,1.5888717002627641,1.3179804005383626,2.2640692836920184,0.13240597502189702
3,1746921600000,1759881600000,1747526400000,4,3,1,75.0,2.048710383218628,4.569263227177469,0.5739869134949522,0.512177595804657
4,1759881600000,1772841600000,1760486400000,2,2,0,100.0,0.8478987187376157,Infinity,0.0,0.42394935936880784
