scenario,period,trades,wins,losses,win_rate_pct,net_r,profit_factor,max_drawdown_r,average_r,pnl_usd,return_pct,exit_realized_max_drawdown_pct,active,red_active
base,2024-07,1,1,0,100.0,1.0083841875839643,Infinity,0.0,1.0083841875839643,0.5041920937919822,0.5041920937919775,0.0,True,False
base,2024-08,2,1,1,50.0,0.2944397990847072,1.2775151367215696,1.0609864476694042,0.1472198995423536,-0.08922437186383586,-0.08877676642639054,0.5304932238347025,True,True
base,2024-09,2,0,2,0.0,-1.2617296424945752,0.0,1.2617296424945752,-0.6308648212472876,-0.616114487892271,-0.6135683771750444,0.6135683771750408,True,True
base,2024-10,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,False,False
base,2024-11,4,0,4,0.0,-1.7058235397464774,0.0,1.7058235397464774,-0.42645588493661934,-0.8491994470976832,-0.8509110271099574,0.8509110271099529,True,True
base,2024-12,6,3,3,50.0,-0.1628416529450908,0.9259547506223799,1.1163760379436658,-0.027140275490848464,-0.0863756830998117,-0.08729255716830586,0.5580797068425807,True,True
base,2025-01,2,2,0,100.0,1.4290741840596886,Infinity,0.0,0.7145370920298443,0.7076499463030057,0.7157864475824338,0.0,True,False
base,2025-02,3,1,2,33.333333333333336,-0.5216410353618647,0.6634169932442144,1.0605696899472068,-0.17388034512062156,-0.26236974059573137,-0.263500346671075,0.5302848449735968,True,True
base,2025-03,5,4,1,80.0,3.3495635620581288,4.205829361078966,1.0448352625140307,0.6699127124116258,1.6565540409591109,1.6680878961062184,0.5224176312570108,True,False
base,2025-04,2,0,2,0.0,-2.14083695130241,0.0,2.14083695130241,-1.070418475651205,-1.077857818949921,-1.0675547165322707,1.0675547165322736,True,True
base,2025-05,1,1,0,100.0,1.4429945484528086,Infinity,0.0,1.4429945484528086,0.7206838187447587,0.7214972742264125,0.0,True,False
base,2025-06,1,1,0,100.0,1.0618308965189183,Infinity,0.0,1.0618308965189183,0.5341430868770934,0.5309154482594503,0.0,True,False
base,2025-07,2,1,1,50.0,-0.3025262414008898,0.43256693100880317,0.5331487675519722,-0.1512631207004449,-0.1533015696596568,-0.15157051098941832,0.2665743837759874,True,True
base,2025-08,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,False,False
base,2025-09,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,False,False
base,2025-10,1,1,0,100.0,0.09320331511197238,Infinity,0.0,0.09320331511197238,0.04706244536382902,0.04660165755598911,0.0,True,False
base,2025-11,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,False,False
base,2025-12,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,False,False
