scenario,period,trades,wins,losses,win_rate_pct,net_r,profit_factor,max_drawdown_r,average_r,pnl_usd,return_pct,exit_realized_max_drawdown_pct,active,red_active
base,2024,15,5,10,33.333333333333336,-1.8275708485174718,0.7065443251635062,5.144915667854122,-0.12183805656783145,-1.1367218961616197,-1.1367218961616188,2.5290289485580275,True,True
base,2025,17,11,6,64.70588235294117,4.411662278136352,1.8373444630650408,2.1408369513024095,0.25950954577272656,2.1725642090424886,2.197544174855892,1.0675547165322736,True,False
base,2026,7,6,1,85.71428571428571,2.1837220010974785,16.533193674832965,0.14058422542143179,0.31196028587106833,1.1072426606984742,1.0958909584478427,0.07014442820355697,True,False
stress,2024,15,4,11,26.666666666666668,-2.5905178503367146,0.6141687852149254,5.60795116102152,-0.17270119002244763,-1.4913565159400504,-1.4913565159400455,2.7545404270859044,True,True
stress,2025,17,11,6,64.70588235294117,3.698932374435368,1.663992194904149,2.2640692836920184,0.21758425731972753,1.8075895553715673,1.834955280512074,1.1288334527515955,True,False
stress,2026,7,5,2,71.42857142857143,1.8135819213462376,10.359376505728724,0.1937716599215955,0.2590831316208911,0.9121834639319286,0.909307931821357,0.09671358140378415,True,False
