strategy,symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,pnl_pct_equity,fees,outcome,reason
inplay,DOGEUSDT,long,1741225500000,1741226100000,0.20750149,0.20462907,191.19643762,-0.59647636,-0.005591,0.04727874,sl,retest_long+SL
inplay,RIVERUSDT,long,1761567600000,1761568200000,7.68553680,7.42662152,2.07278018,-0.55546897,-0.005236,0.01879451,sl,retest_long+SL
inplay,DOGEUSDT,long,1741235700000,1741236000000,0.21043208,0.21238152,363.16873912,0.61584304,0.005836,0.09213161,tp,retest_long+TP1
inplay,DOGEUSDT,long,1741236000000,1741238100000,0.21219243,0.21660467,165.16203931,0.68624202,0.006466,0.04249260,tp,retest_long+TP1
inplay,ENAUSDT,long,1741235700000,1741241700000,0.39847968,0.41102278,58.11603632,0.70072815,0.006643,0.02822704,tp,retest_long+TP1
inplay,WLFIUSDT,long,1756393500000,1756394400000,0.28415682,0.27908346,108.38083627,-0.58648190,-0.005454,0.03662667,sl,retest_long+SL
inplay,WLFIUSDT,long,1756394700000,1756396800000,0.28575714,0.29334132,97.22071877,0.70355921,0.006579,0.03378022,tp,retest_long+TP1
inplay,WLFIUSDT,long,1756396800000,1756398300000,0.29435886,0.30419915,75.65506516,0.71729726,0.006663,0.02717037,tp,retest_long+TP1
inplay,WLFIUSDT,long,1756398300000,1756399800000,0.30706140,0.32218555,49.74069048,0.73350616,0.006769,0.01877951,tp,retest_long+TP1
inplay,XRPUSDT,long,1741250100000,1741250700000,2.55541098,2.58042381,29.12754921,0.63880593,0.005896,0.08975657,tp,retest_long+TP1
inplay,XRPUSDT,long,1741250700000,1741251600000,2.58071604,2.54376257,15.27140585,-0.61128617,-0.005571,0.04695480,sl,retest_long+SL
inplay,XRPUSDT,long,1741255800000,1741263300000,2.60862162,2.57722017,17.96924750,-0.62017188,-0.005683,0.05591140,sl,retest_long+SL
inplay,AAVEUSDT,long,1741225500000,1741264500000,232.87656600,224.69183836,0.06589706,-0.55744095,-0.005226,0.01809145,sl,retest_long+SL
inplay,BIOUSDT,long,1741270500000,1741273500000,0.10842168,0.11061787,337.36333667,0.69657711,0.006452,0.04433755,tp,retest_long+TP1
inplay,BIOUSDT,long,1741273500000,1741275900000,0.11022204,0.10877110,386.07609845,-0.61090262,-0.005623,0.05072881,sl,retest_long+SL
inplay,SUIUSDT,long,1741269600000,1741275600000,2.77715532,2.98586271,3.62332596,0.74368612,0.006846,0.01252878,tp,retest_long+TP1
inplay,RIVERUSDT,long,1761632400000,1761633600000,8.06861340,8.35097947,2.66584771,0.72648166,0.006678,0.02626328,tp,retest_long+TP1
inplay,RIVERUSDT,long,1761633600000,1761638100000,8.38567680,7.84503782,1.01892041,-0.56079077,-0.005121,0.00992268,sl,retest_long+SL
inplay,XAUTUSDT,long,1744182300000,1744191600000,3046.50918000,3055.80371700,0.03283102,0.18494203,0.001697,0.12020709,tp,retest_long+TP1
inplay,XAUTUSDT,long,1744198500000,1744202100000,3068.91366000,3051.99305071,0.03259134,-0.67115840,-0.006150,0.11969312,sl,retest_long+SL
inplay,ORCAUSDT,long,1741359600000,1741361700000,1.78935780,1.75104258,14.42081140,-0.58316985,-0.005377,0.03063327,sl,retest_long+SL
inplay,KITEUSDT,long,1762308000000,1762308600000,0.07404481,0.07870426,161.01781047,0.73549725,0.006818,0.01475719,tp,retest_long+TP1
inplay,ORCAUSDT,long,1741372500000,1741373400000,1.79835960,1.82283536,30.16373037,0.67274298,0.006195,0.06553725,tp,retest_long+TP1
inplay,BIOUSDT,long,1741373700000,1741374300000,0.10582116,0.10480404,560.24171030,-0.64063646,-0.005864,0.07080061,sl,retest_long+SL
inplay,AGLDUSDT,long,1741372500000,1741379700000,1.27945584,1.26405785,36.47503055,-0.61730692,-0.005683,0.05566484,sl,retest_long+SL
inplay,ORCAUSDT,long,1741373400000,1741379700000,1.82536500,1.78485724,13.73133225,-0.58596937,-0.005363,0.02974390,sl,retest_long+SL
inplay,SOLUSDT,long,1741373400000,1741375800000,148.76974800,147.14913571,0.34777927,-0.62536403,-0.005758,0.06174867,sl,retest_long+SL
inplay,ASTERUSDT,long,1758906000000,1758918000000,2.08331658,2.02385229,9.10775000,-0.56403011,-0.005280,0.02244424,sl,retest_long+SL
inplay,ENAUSDT,long,1741447500000,1741450500000,0.45959190,0.45290940,81.73605104,-0.59095171,-0.005562,0.04475055,sl,retest_long+SL
