symbol,setup,tp_rr,sl_atr,max_hold,coverage_ok,coverage_reasons,cost_ok,fee_r,cost_reason,skip_reason,trades,net_r,pf,win_rate,folds_positive,min_fold_trades,preflight_go,preflight_reasons
GBPUSD,session_range_fade,1.5,1.6,48,True,,True,0.2309,,,694,-131.192,0.736,0.414,0,173,False,low_quality_pf_0.74<0.80
GBPUSD,session_range_fade,1.5,1.6,96,True,,True,0.2309,,,693,-131.761,0.735,0.413,0,173,False,low_quality_pf_0.74<0.80
GBPUSD,session_range_fade,1.5,2.0,24,True,,True,0.1847,,,602,-104.638,0.744,0.402,1,150,False,low_quality_pf_0.74<0.80
GBPUSD,session_range_fade,1.5,2.0,48,True,,True,0.1847,,,573,-90.747,0.772,0.408,0,143,False,low_quality_pf_0.77<0.80
GBPUSD,session_range_fade,1.5,2.0,96,True,,True,0.1847,,,564,-86.492,0.78,0.41,0,141,False,low_quality_pf_0.78<0.80
GBPUSD,session_range_fade,1.5,2.5,24,True,,True,0.1477,,,538,-68.423,0.796,0.413,0,134,False,low_quality_pf_0.80<0.80
GBPUSD,session_range_fade,1.5,2.5,48,True,,True,0.1477,,,494,-73.586,0.779,0.403,0,123,False,low_quality_pf_0.78<0.80
GBPUSD,session_range_fade,1.5,2.5,96,True,,True,0.1477,,,478,-63.682,0.805,0.404,0,119,True,ready_for_gate
GBPUSD,session_range_fade,2.0,1.3,24,True,,False,0.2841,fee_r_0.28_exceeds_0.25,cost_infeasible,0,0.0,0.0,0.0,0,0,False,fee_r_0.28_exceeds_0.25
GBPUSD,session_range_fade,2.0,1.3,48,True,,False,0.2841,fee_r_0.28_exceeds_0.25,cost_infeasible,0,0.0,0.0,0.0,0,0,False,fee_r_0.28_exceeds_0.25
GBPUSD,session_range_fade,2.0,1.3,96,True,,False,0.2841,fee_r_0.28_exceeds_0.25,cost_infeasible,0,0.0,0.0,0.0,0,0,False,fee_r_0.28_exceeds_0.25
GBPUSD,session_range_fade,2.0,1.6,24,True,,True,0.2309,,,652,-136.956,0.733,0.345,0,163,False,low_quality_pf_0.73<0.80
GBPUSD,session_range_fade,2.0,1.6,48,True,,True,0.2309,,,632,-124.331,0.755,0.343,0,158,False,low_quality_pf_0.76<0.80
GBPUSD,session_range_fade,2.0,1.6,96,True,,True,0.2309,,,630,-125.893,0.752,0.341,0,157,False,low_quality_pf_0.75<0.80
GBPUSD,session_range_fade,2.0,2.0,24,True,,True,0.1847,,,575,-92.474,0.78,0.355,0,143,False,low_quality_pf_0.78<0.80
GBPUSD,session_range_fade,2.0,2.0,48,True,,True,0.1847,,,530,-75.105,0.813,0.351,0,132,True,ready_for_gate
GBPUSD,session_range_fade,2.0,2.0,96,True,,True,0.1847,,,515,-70.096,0.823,0.348,0,128,True,ready_for_gate
GBPUSD,session_range_fade,2.0,2.5,24,True,,True,0.1477,,,517,-86.618,0.75,0.362,2,129,False,low_quality_pf_0.75<0.80
GBPUSD,session_range_fade,2.0,2.5,48,True,,True,0.1477,,,454,-81.05,0.758,0.339,0,113,False,low_quality_pf_0.76<0.80
GBPUSD,session_range_fade,2.0,2.5,96,True,,True,0.1477,,,424,-58.492,0.818,0.337,1,106,True,ready_for_gate
GBPUSD,session_range_fade,2.5,1.3,24,True,,False,0.2841,fee_r_0.28_exceeds_0.25,cost_infeasible,0,0.0,0.0,0.0,0,0,False,fee_r_0.28_exceeds_0.25
GBPUSD,session_range_fade,2.5,1.3,48,True,,False,0.2841,fee_r_0.28_exceeds_0.25,cost_infeasible,0,0.0,0.0,0.0,0,0,False,fee_r_0.28_exceeds_0.25
GBPUSD,session_range_fade,2.5,1.3,96,True,,False,0.2841,fee_r_0.28_exceeds_0.25,cost_infeasible,0,0.0,0.0,0.0,0,0,False,fee_r_0.28_exceeds_0.25
GBPUSD,session_range_fade,2.5,1.6,24,True,,True,0.2309,,,629,-128.077,0.755,0.31,0,157,False,low_quality_pf_0.75<0.80
GBPUSD,session_range_fade,2.5,1.6,48,True,,True,0.2309,,,594,-118.362,0.768,0.298,0,148,False,low_quality_pf_0.77<0.80
GBPUSD,session_range_fade,2.5,1.6,96,True,,True,0.2309,,,586,-112.812,0.777,0.295,0,146,False,low_quality_pf_0.78<0.80
GBPUSD,session_range_fade,2.5,2.0,24,True,,True,0.1847,,,560,-98.609,0.768,0.323,2,140,False,low_quality_pf_0.77<0.80
GBPUSD,session_range_fade,2.5,2.0,48,True,,True,0.1847,,,497,-83.81,0.792,0.306,1,124,False,low_quality_pf_0.79<0.80
GBPUSD,session_range_fade,2.5,2.0,96,True,,True,0.1847,,,469,-64.625,0.834,0.299,1,117,True,ready_for_gate
GBPUSD,session_range_fade,2.5,2.5,24,True,,True,0.1477,,,512,-115.423,0.675,0.332,0,128,False,low_quality_pf_0.68<0.80
GBPUSD,session_range_fade,2.5,2.5,48,True,,True,0.1477,,,427,-71.293,0.781,0.319,1,106,False,low_quality_pf_0.78<0.80
GBPUSD,session_range_fade,2.5,2.5,96,True,,True,0.1477,,,385,-56.375,0.819,0.294,1,96,True,ready_for_gate
USDJPY,session_range_fade,1.5,1.3,24,True,,True,0.1523,,,695,-200.484,0.618,0.364,0,173,False,low_quality_pf_0.62<0.80
USDJPY,session_range_fade,1.5,1.3,48,True,,True,0.1523,,,685,-197.404,0.622,0.365,0,171,False,low_quality_pf_0.62<0.80
USDJPY,session_range_fade,1.5,1.3,96,True,,True,0.1523,,,683,-196.631,0.622,0.365,0,170,False,low_quality_pf_0.62<0.80
