run_id,tag,run_dir,passed,fail_reasons,score,trades,net_pnl,profit_factor,winrate,max_drawdown,negative_months,positive_months,max_negative_streak,worst_month_pnl,overrides_json,search_n_trials_planned,search_n_trials_scheduled,selection_n_trials_evaluated,n_trials_effective_independent
1,att1_pivot_sequence_preholdout_v1_20260813_r001,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260813_170335_att1_pivot_sequence_preholdout_v1_20260813_r001,True,,-22.2487,538,-6.9,0.955,0.513,17.4527,11,8,3,-6.4797454299999995,"{""ATT1_GEOMETRY_V2_ENABLE"": ""0""}",2,2,2,
2,att1_pivot_sequence_preholdout_v1_20260813_r002,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260813_170335_att1_pivot_sequence_preholdout_v1_20260813_r002,True,,-11.5378,393,-0.22,0.998,0.524,13.5098,9,10,3,-6.02972781,"{""ATT1_GEOMETRY_V2_ENABLE"": ""1""}",2,2,2,
