strategy,symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,pnl_pct_equity,fees,outcome,reason,signal_ts,signal_entry_price,initial_sl,tp_prices,signal_reason,initial_notional,initial_risk_usd
alt_trendline_touch_v1,BTCUSDT,short,1709762400000,1709910600000,66456.70600000,68828.22680256,0.00031990,-0.78462237,-0.007846,0.02596680,sl,att1_short_trendline tf=60 tl=67526.2461 slope=-0.672%/d rsi=47.9  g2=descending_trendline_rejection g2profile=pivot_sequence g2block=none roomr=0.355 g2origin=67677.525 g2originsrc=equal_high_liquidity g2support=65637.2 g2supportsrc=horizontal_pivots r2=0.997 pivots=3 age=3 entrydist=0.902 touchdist=0.495 reject=0.902 body=0.765 atrpct=1.762 anchors=1709712000000:67764.5|1709726400000:67700|1709748000000:67579.6+SL,1709762400000,66470.00000000,68814.46390977,63656.6433083|60608.8402256,att1_short_trendline tf=60 tl=67526.2461 slope=-0.672%/d rsi=47.9  g2=descending_trendline_rejection g2profile=pivot_sequence g2block=none roomr=0.355 g2origin=67677.525 g2originsrc=equal_high_liquidity g2support=65637.2 g2supportsrc=horizontal_pivots r2=0.997 pivots=3 age=3 entrydist=0.902 touchdist=0.495 reject=0.902 body=0.765 atrpct=1.762 anchors=1709712000000:67764.5|1709726400000:67700|1709748000000:67579.6,21.25967019,0.75425278
alt_trendline_touch_v1,SUIUSDT,short,1709967600000,1709973300000,1.53589276,1.55849164,19.52870720,-0.47758443,-0.004814,0.03625760,sl,att1_short_trendline tf=60 tl=1.5419 slope=-3.593%/d rsi=61.7  g2=descending_trendline_rejection g2profile=pivot_sequence g2block=none roomr=1.100 g2origin=1.55465 g2originsrc=horizontal_pivots g2support=1.51202 g2supportsrc=horizontal_pivots r2=0.929 pivots=3 age=7 entrydist=0.385 touchdist=-0.419 reject=0.385 body=0.815 atrpct=0.963 anchors=1709852400000:1.6198|1709874000000:1.5906|1709938800000:1.5602+SL,1709967600000,1.53620000,1.55818000,1.509824|1.48125,att1_short_trendline tf=60 tl=1.5419 slope=-3.593%/d rsi=61.7  g2=descending_trendline_rejection g2profile=pivot_sequence g2block=none roomr=1.100 g2origin=1.55465 g2originsrc=horizontal_pivots g2support=1.51202 g2supportsrc=horizontal_pivots r2=0.929 pivots=3 age=7 entrydist=0.385 touchdist=-0.419 reject=0.385 body=0.815 atrpct=0.963 anchors=1709852400000:1.6198|1709874000000:1.5906|1709938800000:1.5602,29.99400000,0.43524098
alt_trendline_touch_v1,BTCUSDT,short,1710230400000,1710232500000,72174.06230000,71736.42431073,0.00041558,0.14598933,0.001479,0.03588368,sl,att1_short_trendline tf=60 tl=72271.2333 slope=-1.889%/d rsi=45.1  g2=descending_trendline_rejection g2profile=pivot_sequence g2block=none roomr=5.010 g2origin=72846.333 g2originsrc=horizontal_pivots g2support=68590.55 g2supportsrc=horizontal_pivots r2=0.895 pivots=3 age=6 entrydist=0.143 touchdist=-0.280 reject=0.143 body=0.436 atrpct=0.800 anchors=1710183600000:72919.6|1710194400000:72850|1710205200000:72578.6+TRAIL_SL,1710230400000,72188.50000000,72906.61690476,71326.7597143|70393.2077381,att1_short_trendline tf=60 tl=72271.2333 slope=-1.889%/d rsi=45.1  g2=descending_trendline_rejection g2profile=pivot_sequence g2block=none roomr=5.010 g2origin=72846.333 g2originsrc=horizontal_pivots g2support=68590.55 g2supportsrc=horizontal_pivots r2=0.895 pivots=3 age=6 entrydist=0.143 touchdist=-0.280 reject=0.143 body=0.436 atrpct=0.800 anchors=1710183600000:72919.6|1710194400000:72850|1710205200000:72578.6,29.99400000,0.30443406
alt_trendline_touch_v1,LINKUSDT,short,1710291600000,1710408000000,20.53789160,21.03483524,1.46042255,-0.76217595,-0.007708,0.03642825,sl,att1_short_trendline tf=60 tl=20.6317 slope=-3.217%/d rsi=49.4  g2=horizontal_resistance_rejection g2profile=pivot_sequence g2block=none roomr=1.434 g2origin=20.7515 g2originsrc=equal_high_liquidity g2support=19.84125 g2supportsrc=equal_low_liquidity r2=0.997 pivots=3 age=4 entrydist=0.247 touchdist=-0.373 reject=0.247 body=0.753 atrpct=1.765 anchors=1710212400000:21.215|1710252000000:20.893|1710273600000:20.751+SL,1710291600000,20.54200000,21.03062912,19.9556450609|19.3204272101,att1_short_trendline tf=60 tl=20.6317 slope=-3.217%/d rsi=49.4  g2=horizontal_resistance_rejection g2profile=pivot_sequence g2block=none roomr=1.434 g2origin=20.7515 g2originsrc=equal_high_liquidity g2support=19.84125 g2supportsrc=equal_low_liquidity r2=0.997 pivots=3 age=4 entrydist=0.247 touchdist=-0.373 reject=0.247 body=0.753 atrpct=1.765 anchors=1710212400000:21.215|1710252000000:20.893|1710273600000:20.751,29.99400000,0.71960498
alt_trendline_touch_v1,ETHUSDT,short,1710392400000,1710424500000,3958.54813200,3876.30982024,0.00757702,0.58750244,0.005942,0.03561893,sl,att1_short_trendline tf=60 tl=3992.6246 slope=-2.904%/d rsi=47.7  g2=horizontal_resistance_rejection g2profile=pivot_sequence g2block=none roomr=0.376 g2origin=4020.68 g2originsrc=equal_high_liquidity g2support=3931.5975 g2supportsrc=horizontal_pivots r2=0.985 pivots=3 age=4 entrydist=0.906 touchdist=-0.512 reject=0.906 body=0.546 atrpct=0.928 anchors=1710316800000:4089.84|1710360000000:4025.41|1710374400000:4015.95+TP1+TRAIL_SL,1710392400000,3959.34000000,4033.03075824,3870.91109011|3775.1131044,att1_short_trendline tf=60 tl=3992.6246 slope=-2.904%/d rsi=47.7  g2=horizontal_resistance_rejection g2profile=pivot_sequence g2block=none roomr=0.376 g2origin=4020.68 g2originsrc=equal_high_liquidity g2support=3931.5975 g2supportsrc=horizontal_pivots r2=0.985 pivots=3 age=4 entrydist=0.906 touchdist=-0.512 reject=0.906 body=0.546 atrpct=0.928 anchors=1710316800000:4089.84|1710360000000:4025.41|1710374400000:4015.95,29.99400000,0.56435638
alt_trendline_touch_v1,LINKUSDT,short,1710590400000,1710598200000,19.32013520,18.83727136,1.29212129,0.59433625,0.006023,0.02958240,sl,att1_short_trendline tf=60 tl=19.6396 slope=-2.031%/d rsi=49.9  g2=descending_trendline_rejection g2profile=pivot_sequence g2block=none roomr=inf g2origin=19.644 g2originsrc=equal_high_liquidity g2support=none g2supportsrc=none r2=0.873 pivots=3 age=3 entrydist=1.350 touchdist=0.443 reject=1.350 body=0.367 atrpct=1.210 anchors=1710529200000:19.876|1710550800000:19.85|1710576000000:19.667+TRAIL_SL,1710590400000,19.32400000,19.89673909,18.6367130934|17.8921522778,att1_short_trendline tf=60 tl=19.6396 slope=-2.031%/d rsi=49.9  g2=descending_trendline_rejection g2profile=pivot_sequence g2block=none roomr=inf g2origin=19.644 g2originsrc=equal_high_liquidity g2support=none g2supportsrc=none r2=0.873 pivots=3 age=3 entrydist=1.350 touchdist=0.443 reject=1.350 body=0.367 atrpct=1.210 anchors=1710529200000:19.876|1710550800000:19.85|1710576000000:19.667,24.96395806,0.74504216
alt_trendline_touch_v1,BTCUSDT,short,1710586800000,1710612900000,68455.40618000,66953.30906812,0.00043815,0.62255173,0.006307,0.03559791,sl,att1_short_trendline tf=60 tl=69183.2119 slope=-3.433%/d rsi=56.8  g2=horizontal_resistance_rejection g2profile=pivot_sequence g2block=none roomr=0.763 g2origin=68841.3 g2originsrc=equal_high_liquidity g2support=67439.95 g2supportsrc=horizontal_pivots r2=0.986 pivots=3 age=3 entrydist=1.236 touchdist=0.247 reject=1.236 body=0.696 atrpct=0.844 anchors=1710529200000:70700|1710547200000:70081.3|1710572400000:69511+TP1+TRAIL_SL,1710586800000,68469.10000000,69818.51692661,66849.7996881|65095.5576835,att1_short_trendline tf=60 tl=69183.2119 slope=-3.433%/d rsi=56.8  g2=horizontal_resistance_rejection g2profile=pivot_sequence g2block=none roomr=0.763 g2origin=68841.3 g2originsrc=equal_high_liquidity g2support=67439.95 g2supportsrc=horizontal_pivots r2=0.986 pivots=3 age=3 entrydist=1.236 touchdist=0.247 reject=1.236 body=0.696 atrpct=0.844 anchors=1710529200000:70700|1710547200000:70081.3|1710572400000:69511,29.99400000,0.59725223
alt_trendline_touch_v1,ETHUSDT,short,1710586800000,1710612900000,3703.53914400,3620.48713869,0.00809874,0.63702735,0.006455,0.03558923,sl,att1_short_trendline tf=60 tl=3729.5817 slope=-3.651%/d rsi=64.3  g2=descending_trendline_rejection g2profile=pivot_sequence g2block=none roomr=inf g2origin=3745.895 g2originsrc=horizontal_pivots g2support=none g2supportsrc=none r2=0.986 pivots=3 age=3 entrydist=0.738 touchdist=0.118 reject=0.738 body=0.644 atrpct=0.926 anchors=1710529200000:3811.79|1710550800000:3784.93|1710572400000:3744.17+TP1+TRAIL_SL,1710586800000,3704.28000000,3767.31245238,3628.64105714|3546.69886905,att1_short_trendline tf=60 tl=3729.5817 slope=-3.651%/d rsi=64.3  g2=descending_trendline_rejection g2profile=pivot_sequence g2block=none roomr=inf g2origin=3745.895 g2originsrc=horizontal_pivots g2support=none g2supportsrc=none r2=0.986 pivots=3 age=3 entrydist=0.738 touchdist=0.118 reject=0.738 body=0.644 atrpct=0.926 anchors=1710529200000:3811.79|1710550800000:3784.93|1710572400000:3744.17,29.99400000,0.51648343
alt_trendline_touch_v1,LINKUSDT,short,1711224000000,1711238700000,18.34533020,18.09639558,1.63496648,0.37125116,0.003692,0.03574860,sl,att1_short_trendline tf=60 tl=18.4796 slope=-0.078%/d rsi=56.7  g2=horizontal_resistance_rejection g2profile=pivot_sequence g2block=none roomr=0.350 g2origin=18.499571 g2originsrc=equal_high_liquidity g2support=18.243667 g2supportsrc=equal_low_liquidity r2=0.720 pivots=3 age=3 entrydist=0.843 touchdist=0.113 reject=0.843 body=0.441 atrpct=0.844 anchors=1711177200000:18.488|1711188000000:18.483|1711209600000:18.482+TRAIL_SL,1711224000000,18.34900000,18.64991429,17.9879028571|17.5967142857,att1_short_trendline tf=60 tl=18.4796 slope=-0.078%/d rsi=56.7  g2=horizontal_resistance_rejection g2profile=pivot_sequence g2block=none roomr=0.350 g2origin=18.499571 g2originsrc=equal_high_liquidity g2support=18.243667 g2supportsrc=equal_low_liquidity r2=0.720 pivots=3 age=3 entrydist=0.843 touchdist=0.113 reject=0.843 body=0.441 atrpct=0.844 anchors=1711177200000:18.488|1711188000000:18.483|1711209600000:18.482,29.99400000,0.49798477
alt_trendline_touch_v1,SOLUSDT,short,1711299600000,1711311300000,174.26514000,177.28176519,0.17211704,-0.55551692,-0.005505,0.03630433,sl,att1_short_trendline tf=60 tl=175.0504 slope=-2.134%/d rsi=49.4  g2=horizontal_resistance_rejection g2profile=pivot_sequence g2block=none roomr=0.119 g2origin=177.2945 g2originsrc=horizontal_pivots g2support=173.9495 g2supportsrc=equal_low_liquidity r2=0.999 pivots=3 age=8 entrydist=0.376 touchdist=-1.033 reject=0.376 body=0.716 atrpct=1.145 anchors=1711202400000:179.104|1711238400000:177.477|1711267200000:176.32+SL,1711299600000,174.30000000,177.24631593,170.76442089|166.934210187,att1_short_trendline tf=60 tl=175.0504 slope=-2.134%/d rsi=49.4  g2=horizontal_resistance_rejection g2profile=pivot_sequence g2block=none roomr=0.119 g2origin=177.2945 g2originsrc=horizontal_pivots g2support=173.9495 g2supportsrc=equal_low_liquidity r2=0.999 pivots=3 age=8 entrydist=0.376 touchdist=-1.033 reject=0.376 body=0.716 atrpct=1.145 anchors=1711202400000:179.104|1711238400000:177.477|1711267200000:176.32,29.99400000,0.51311117
