symbol,hor_min,tag,adverse,move
BTCUSDT,30,каскад,3.1103070403790416,3.4766015115777145
BTCUSDT,30,каскад,1.451330215726184,-4.557288738461851
BTCUSDT,30,каскад,1.1090162427684305,13.063056216143014
BTCUSDT,30,каскад,2.5033569687026618,-58.11094961347395
BTCUSDT,30,каскад,2.587663233805449,7.204898416020573
BTCUSDT,30,каскад,1.471530839419359,-24.151109961201282
BTCUSDT,30,каскад,2.2185845105334354,62.385800816722664
BTCUSDT,30,каскад,1.6075131287856368,-9.518502306122802
BTCUSDT,30,каскад,4.78904352269469,-118.73346532623088
BTCUSDT,30,каскад,3.9681420198278876,-99.53392818362909
BTCUSDT,30,каскад,3.363880846071121,-39.55795261012234
BTCUSDT,30,каскад,2.5395135541148233,-24.41707471057315
BTCUSDT,30,каскад,1.3006404039730475,27.422276835910264
BTCUSDT,30,каскад,1.8594056061376074,36.33918721249402
BTCUSDT,30,каскад,1.4508205628147974,-13.634303544191708
BTCUSDT,30,каскад,3.5247711784370006,23.207800050321758
BTCUSDT,30,каскад,2.239846439944765,-39.96907879838658
BTCUSDT,30,каскад,1.7303669329632951,12.415744883292488
BTCUSDT,30,каскад,3.7576219020090407,-44.66205566868038
BTCUSDT,30,каскад,2.48307185890203,-27.130156530627282
BTCUSDT,30,каскад,2.3490628541833494,7.153431938845112
BTCUSDT,30,каскад,3.905479595282234,42.316163320368005
BTCUSDT,30,каскад,5.599572639838926,-42.0352745415634
BTCUSDT,30,каскад,1.7897486971405359,-12.988071579556717
BTCUSDT,30,каскад,3.2929374602441777,50.64825254194681
BTCUSDT,30,каскад,1.6683560550155612,-7.724727638552888
BTCUSDT,30,каскад,1.9638992610230026,27.732380423010888
BTCUSDT,30,каскад,2.2483462902794504,24.429315621893693
BTCUSDT,30,каскад,2.417115637306393,-9.894838843826557
BTCUSDT,30,каскад,6.206641724036777,-41.362249547076
BTCUSDT,30,каскад,4.410921744459583,-18.224216870556422
BTCUSDT,30,каскад,3.259940999094275,44.841374371963816
BTCUSDT,30,каскад,3.939483703383258,-13.203736505555645
BTCUSDT,30,каскад,2.436466903032904,31.761215938973987
BTCUSDT,30,каскад,2.82917005800153,55.458834425823696
BTCUSDT,30,каскад,2.849006016018255,-45.705502078165196
BTCUSDT,30,каскад,3.6769420353822313,-55.88646450646733
BTCUSDT,30,каскад,2.284754049213722,-40.4376287833379
BTCUSDT,30,каскад,3.042844423731393,-77.90709060780449
BTCUSDT,30,каскад,1.8852229333907213,-13.50472216468757
BTCUSDT,30,каскад,1.8318319485313654,21.00266336043211
BTCUSDT,30,каскад,2.6339994452453075,-80.29104467552393
BTCUSDT,30,каскад,1.915074751343321,-10.229469860297165
BTCUSDT,30,каскад,1.1310471849428017,16.924382838144947
BTCUSDT,30,каскад,2.083714979537295,45.498553453988016
BTCUSDT,30,каскад,1.4294380111896539,-16.114783160815527
BTCUSDT,30,каскад,2.671055731262292,-79.36071830692535
BTCUSDT,30,каскад,2.681459571942488,-61.39943880564455
BTCUSDT,30,каскад,1.9556510714607869,-19.298577777466043
BTCUSDT,30,каскад,1.6305792178836476,62.24438425651743
BTCUSDT,30,каскад,8.031459408638986,87.37825447980335
BTCUSDT,30,каскад,1.777431139137091,-19.238070867980607
BTCUSDT,30,каскад,11.531198389046377,-137.8076233320636
BTCUSDT,30,каскад,6.972551066551123,-50.96557211715375
BTCUSDT,30,каскад,3.9781520464535065,83.2348262318517
BTCUSDT,30,каскад,5.5128081088895,174.69364911052267
BTCUSDT,30,каскад,5.552014784603086,191.8058066280493
BTCUSDT,30,каскад,3.391669938930518,45.23478146585492
BTCUSDT,30,каскад,3.9541477640044818,46.6442579668796
BTCUSDT,30,каскад,3.6773888651257005,69.98774107781904
BTCUSDT,30,каскад,2.7465516974501574,-118.0367073023389
BTCUSDT,30,каскад,2.3232883845064958,23.314817507307147
BTCUSDT,30,каскад,3.3478782194129413,7.168060525467181
BTCUSDT,30,каскад,1.4767671687929333,10.971743905804157
BTCUSDT,30,каскад,1.0878195923482588,-11.029649784518623
BTCUSDT,30,каскад,1.750812905999759,-12.669911836110986
BTCUSDT,30,каскад,3.7504926481735237,118.84431355734965
BTCUSDT,30,каскад,2.3023871177317536,-14.687732136252748
BTCUSDT,30,каскад,3.234591684524257,33.15725755458548
BTCUSDT,30,каскад,2.765833855367081,25.284463533586905
BTCUSDT,30,каскад,4.6033524072653,-82.58558093152108
BTCUSDT,30,каскад,2.2015566309728403,38.68909755474854
BTCUSDT,30,каскад,2.0257972797023935,35.85639830839565
BTCUSDT,30,каскад,4.050732646445965,-95.58524177087777
BTCUSDT,30,каскад,1.8766091748191158,-63.18008375326886
BTCUSDT,30,каскад,0.6337060503581259,-3.546609511975714
BTCUSDT,30,каскад,3.701290857442743,-35.862816751720125
BTCUSDT,30,каскад,2.410360416967644,17.610805842978177
BTCUSDT,30,каскад,6.455821462393673,108.37669593695979
BTCUSDT,30,каскад,0.9779141450897215,-1.5765691345508506
BTCUSDT,30,каскад,0.9159638088777241,19.77934851964752
BTCUSDT,30,каскад,7.229803291942664,124.72418730683094
BTCUSDT,30,каскад,1.7151272187229858,-9.573519220691981
BTCUSDT,30,каскад,2.545556973248639,-59.74941833918178
BTCUSDT,30,каскад,1.6761022358867825,-52.87385622334554
BTCUSDT,30,каскад,5.084182366340647,-85.44807329546319
BTCUSDT,30,каскад,1.39881177018438,2.4269143242627527
BTCUSDT,30,каскад,1.1761368452531853,-19.83730127631952
BTCUSDT,30,каскад,1.8878210711572854,-14.306714836158038
BTCUSDT,30,каскад,2.599911987307213,0.4365184902659851
BTCUSDT,30,каскад,1.7395014585817175,-10.618470356649297
BTCUSDT,30,каскад,6.314709901058908,44.263821508235026
BTCUSDT,30,каскад,3.3354126001795343,31.095837333153742
BTCUSDT,30,каскад,1.9629059972638068,16.761682675885595
BTCUSDT,30,каскад,4.118045059409307,6.857635911904151
BTCUSDT,30,каскад,2.6001700936704477,15.100395018102127
BTCUSDT,30,каскад,2.421467854932139,-28.98591714556075
BTCUSDT,30,каскад,5.549237803735517,22.82756024025534
BTCUSDT,30,каскад,3.9533033027295765,13.716948557135934
BTCUSDT,30,каскад,1.6954762835663886,30.49814124797328
BTCUSDT,30,каскад,7.071060691345932,-63.30868564470933
BTCUSDT,30,каскад,2.78965495355795,40.958022130740936
BTCUSDT,30,каскад,1.7353800589705357,-28.314237045850735
BTCUSDT,30,каскад,1.5986747355318667,-0.27604639854520785
BTCUSDT,30,каскад,4.865795490410858,132.0687633385265
BTCUSDT,30,каскад,1.789386456926305,18.165766784758354
BTCUSDT,30,каскад,1.1916415172298243,-1.3990949921862867
BTCUSDT,30,каскад,2.2970840180103993,-37.313737294935756
BTCUSDT,30,каскад,1.1256468114888079,-14.1799948890907
BTCUSDT,30,каскад,4.352399682576226,100.67849754325573
BTCUSDT,30,каскад,1.7850996433722546,-11.814612529038481
BTCUSDT,30,каскад,2.3772654594482554,-24.707069030175905
BTCUSDT,30,каскад,4.625445815780367,-62.8316131935048
