symbol,trades,net_r,pf,dd_r
1000PEPEUSDT,6,4.4951,5.2058,1.0688
DOGEUSDT,4,2.1148,2.8345,1.1528
LINKUSDT,14,1.9022,1.2807,2.441
TAOUSDT,11,1.61,1.3085,4.1761
AVAXUSDT,7,0.7881,1.2271,3.4701
HYPEUSDT,8,0.054,1.0124,2.1641
ETHUSDT,12,-0.2532,0.9623,3.4453
DOTUSDT,12,-0.2791,0.9585,6.7334
BNBUSDT,5,-1.3456,0.6119,2.4281
XRPUSDT,5,-1.4304,0.5984,3.5613
SUIUSDT,18,-2.3871,0.7866,5.8053
SOLUSDT,21,-5.5109,0.6187,7.8325
ATOMUSDT,21,-6.9917,0.528,10.051
LTCUSDT,14,-7.3519,0.3626,9.4532
ADAUSDT,21,-8.1514,0.4843,9.2815
BTCUSDT,28,-17.2033,0.3052,18.1348
ONDOUSDT,290,-19.8948,0.8818,37.0285
BCHUSDT,271,-46.9525,0.7284,54.9585
XLMUSDT,297,-50.2591,0.7299,51.9655
