symbol,setup,tp_rr,sl_atr,max_hold,coverage_ok,coverage_reasons,cost_ok,fee_r,cost_reason,skip_reason,trades,net_r,pf,win_rate,folds_positive,min_fold_trades,preflight_go,preflight_reasons
GBPUSD,round_level_sweep,2.0,1.3,168,True,,True,0.1433,,,7,2.883,1.725,0.571,2,1,False,too_few_total_7<30;thin_fold_0<5
GBPUSD,round_level_sweep,2.0,1.6,48,True,,True,0.1164,,,6,1.468,1.386,0.5,2,1,False,too_few_total_6<30;thin_fold_0<5
GBPUSD,round_level_sweep,2.0,1.6,96,True,,True,0.1164,,,6,1.468,1.386,0.5,2,1,False,too_few_total_6<30;thin_fold_0<5
GBPUSD,round_level_sweep,2.0,1.6,168,True,,True,0.1164,,,6,1.468,1.386,0.5,2,1,False,too_few_total_6<30;thin_fold_0<5
GBPUSD,round_level_sweep,2.5,1.0,48,True,,True,0.1862,,,8,2.774,1.483,0.5,2,2,False,too_few_total_8<30;thin_fold_0<5
GBPUSD,round_level_sweep,2.5,1.0,96,True,,True,0.1862,,,8,2.774,1.483,0.5,2,2,False,too_few_total_8<30;thin_fold_0<5
GBPUSD,round_level_sweep,2.5,1.0,168,True,,True,0.1862,,,8,2.774,1.483,0.5,2,2,False,too_few_total_8<30;thin_fold_0<5
GBPUSD,round_level_sweep,2.5,1.3,48,True,,True,0.1433,,,6,2.614,1.655,0.5,2,1,False,too_few_total_6<30;thin_fold_0<5
GBPUSD,round_level_sweep,2.5,1.3,96,True,,True,0.1433,,,6,2.614,1.655,0.5,2,1,False,too_few_total_6<30;thin_fold_0<5
GBPUSD,round_level_sweep,2.5,1.3,168,True,,True,0.1433,,,6,2.614,1.655,0.5,2,1,False,too_few_total_6<30;thin_fold_0<5
GBPUSD,round_level_sweep,2.5,1.6,48,True,,True,0.1164,,,6,2.968,1.78,0.5,2,1,False,too_few_total_6<30;thin_fold_0<5
GBPUSD,round_level_sweep,2.5,1.6,96,True,,True,0.1164,,,6,2.968,1.78,0.5,2,1,False,too_few_total_6<30;thin_fold_0<5
GBPUSD,round_level_sweep,2.5,1.6,168,True,,True,0.1164,,,6,2.968,1.78,0.5,2,1,False,too_few_total_6<30;thin_fold_0<5
USDJPY,round_level_sweep,1.5,1.0,48,True,,True,0.1634,,,30,-2.024,0.898,0.5,2,7,False,thin_fold_4<5
USDJPY,round_level_sweep,1.5,1.0,96,True,,True,0.1634,,,30,-2.024,0.898,0.5,2,7,False,thin_fold_4<5
USDJPY,round_level_sweep,1.5,1.0,168,True,,True,0.1634,,,30,-2.024,0.898,0.5,2,7,False,thin_fold_4<5
USDJPY,round_level_sweep,1.5,1.3,48,True,,True,0.1257,,,29,-0.862,0.954,0.483,1,7,False,too_few_total_29<30;thin_fold_4<5
USDJPY,round_level_sweep,1.5,1.3,96,True,,True,0.1257,,,29,-0.862,0.954,0.483,1,7,False,too_few_total_29<30;thin_fold_4<5
USDJPY,round_level_sweep,1.5,1.3,168,True,,True,0.1257,,,29,-0.862,0.954,0.483,1,7,False,too_few_total_29<30;thin_fold_4<5
USDJPY,round_level_sweep,1.5,1.6,48,True,,True,0.1021,,,28,1.609,1.098,0.5,1,7,False,too_few_total_28<30;thin_fold_4<5
USDJPY,round_level_sweep,1.5,1.6,96,True,,True,0.1021,,,28,1.609,1.098,0.5,1,7,False,too_few_total_28<30;thin_fold_4<5
USDJPY,round_level_sweep,1.5,1.6,168,True,,True,0.1021,,,28,1.609,1.098,0.5,1,7,False,too_few_total_28<30;thin_fold_4<5
USDJPY,round_level_sweep,2.0,1.0,48,True,,True,0.1634,,,30,5.476,1.277,0.5,2,7,False,thin_fold_4<5
USDJPY,round_level_sweep,2.0,1.0,96,True,,True,0.1634,,,30,5.476,1.277,0.5,2,7,False,thin_fold_4<5
USDJPY,round_level_sweep,2.0,1.0,168,True,,True,0.1634,,,30,5.476,1.277,0.5,2,7,False,thin_fold_4<5
USDJPY,round_level_sweep,2.0,1.3,48,True,,True,0.1257,,,29,0.138,1.006,0.414,2,7,False,too_few_total_29<30;thin_fold_4<5
USDJPY,round_level_sweep,2.0,1.3,96,True,,True,0.1257,,,29,0.138,1.006,0.414,2,7,False,too_few_total_29<30;thin_fold_4<5
USDJPY,round_level_sweep,2.0,1.3,168,True,,True,0.1257,,,29,0.138,1.006,0.414,2,7,False,too_few_total_29<30;thin_fold_4<5
USDJPY,round_level_sweep,2.0,1.6,48,True,,True,0.1021,,,26,1.138,1.065,0.423,1,6,False,too_few_total_26<30;thin_fold_4<5
USDJPY,round_level_sweep,2.0,1.6,96,True,,True,0.1021,,,26,-0.786,0.958,0.385,1,6,False,too_few_total_26<30;thin_fold_4<5
USDJPY,round_level_sweep,2.0,1.6,168,True,,True,0.1021,,,26,-0.786,0.958,0.385,1,6,False,too_few_total_26<30;thin_fold_4<5
USDJPY,round_level_sweep,2.5,1.0,48,True,,True,0.1634,,,30,5.976,1.265,0.433,3,7,False,thin_fold_4<5
USDJPY,round_level_sweep,2.5,1.0,96,True,,True,0.1634,,,30,5.976,1.265,0.433,3,7,False,thin_fold_4<5
USDJPY,round_level_sweep,2.5,1.0,168,True,,True,0.1634,,,30,5.976,1.265,0.433,3,7,False,thin_fold_4<5
USDJPY,round_level_sweep,2.5,1.3,48,True,,True,0.1257,,,27,0.52,1.025,0.37,1,6,False,too_few_total_27<30;thin_fold_4<5
USDJPY,round_level_sweep,2.5,1.3,96,True,,True,0.1257,,,27,-1.617,0.927,0.333,1,6,False,too_few_total_27<30;thin_fold_4<5
USDJPY,round_level_sweep,2.5,1.3,168,True,,True,0.1257,,,27,-1.617,0.927,0.333,1,6,False,too_few_total_27<30;thin_fold_4<5
USDJPY,round_level_sweep,2.5,1.6,48,True,,True,0.1021,,,25,0.254,1.014,0.36,2,6,False,too_few_total_25<30;thin_fold_4<5
USDJPY,round_level_sweep,2.5,1.6,96,True,,True,0.1021,,,25,-1.67,0.916,0.32,2,6,False,too_few_total_25<30;thin_fold_4<5
USDJPY,round_level_sweep,2.5,1.6,168,True,,True,0.1021,,,25,-1.67,0.916,0.32,2,6,False,too_few_total_25<30;thin_fold_4<5
