strategy,symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,pnl_pct_equity,fees,outcome,reason
inplay_breakout,OPUSDT,short,1745760300000,1745761500000,0.79566296,0.79934182,125.58081125,-0.70235654,-0.007024,0.24036239,sl,breakout_retest_short;runner+SL
inplay_breakout,OPUSDT,short,1745762400000,1745770500000,0.79336480,0.78517404,106.08722591,0.66797994,0.006727,0.20095537,tp,breakout_retest_short;runner+TP1+TP2+TP3
inplay_breakout,TAOUSDT,long,1745789400000,1745791500000,360.64828800,360.92927577,0.21318528,-0.12469320,-0.001247,0.18459566,sl,breakout_retest_long;runner+TP1+TRAIL_SL
inplay_breakout,TAOUSDT,long,1745791500000,1745791800000,361.04860800,357.61910423,0.17487902,-0.75056414,-0.007518,0.15081589,sl,breakout_retest_long;runner+SL
inplay_breakout,SNXUSDT,short,1745791500000,1745793600000,0.73391240,0.73549936,136.14703880,-0.45612687,-0.004572,0.24006727,sl,breakout_retest_short;runner+TP1+SL
inplay_breakout,SNXUSDT,short,1745794800000,1745797200000,0.73311304,0.72871885,136.29548862,0.35981870,0.003652,0.23908931,tp,breakout_retest_short;runner+TP1+TP2+TP3
inplay_breakout,TAOUSDT,long,1745792100000,1745798100000,360.20793600,361.76727237,0.23706363,0.16427706,0.001660,0.20538487,sl,breakout_retest_long;runner+TP1+TP2+TRAIL_SL
inplay_breakout,TAOUSDT,long,1745798100000,1745798700000,360.70833600,357.70589189,0.20422159,-0.78922275,-0.007959,0.17605884,sl,breakout_retest_long;runner+SL
inplay_breakout,ZECUSDT,long,1745815500000,1745815800000,34.61767200,34.34592983,2.27105470,-0.80508547,-0.008184,0.18794413,sl,breakout_retest_long;runner+SL
inplay_breakout,PIPPINUSDT,long,1745826900000,1745827500000,0.02179742,0.02169109,1364.79845229,-0.21634763,-0.002216,0.07122367,sl,breakout_retest_long;runner+TP1+SL
inplay_breakout,SUIUSDT,long,1745823900000,1745828400000,3.68224344,3.68758697,13.72484299,-0.04804056,-0.000492,0.12137972,sl,breakout_retest_long;runner+TP1+TRAIL_SL
