dimension,bucket,trades,symbols,net_r,gross_r,cost_r,mean_net_r,mean_gross_r,mean_cost_r,t_stat_net_r,profit_factor_net_r,win_rate,net_r_share
atr_pct,"(0.25,0.5]%",417,24,-119.94688611763561,-47.24837389438388,72.69851222325174,-0.28764241275212377,-0.11330545298413401,0.1743369597679898,-7.797608863880438,0.4194418490816145,0.36211031175059955,0.913242816395877
atr_pct,"(0.5,0.75]%",117,21,-14.441797505673389,-1.1617659469507837,13.280031558722603,-0.12343416671515717,-0.009929623478211826,0.11350454323694532,-1.608780252617156,0.6993586795810416,0.4358974358974359,0.1099559001053632
atr_pct,"(0.75,1]%",32,12,-3.9473232535030687,-1.5493357300145438,2.3979875234885246,-0.1233538516719709,-0.048416741562954495,0.0749371101090164,-0.9794144174998968,0.6785438202427749,0.4375,0.030053840678437263
atr_pct,"(2,4]%",9,1,-3.6609541553383416,-3.3304631085539183,0.33049104678442315,-0.4067726839264824,-0.3700514565059909,0.03672122742049146,-1.449072912337406,0.3236722240348694,0.2222222222222222,0.027873504613020628
atr_pct,"(1,2]%",45,8,10.655236833314287,12.917095162502374,2.2618583291880867,0.2367830407403175,0.2870465591667194,0.05026351842640193,1.9688535292877254,1.9479201066577219,0.5555555555555556,-0.08112606179269807
cost_r,"(0.15,0.25]R",239,23,-91.44550139881447,-45.35736033106154,46.088141067752936,-0.3826171606644957,-0.18977975033916963,0.1928374103253261,-7.164727305333287,0.3557368639253054,0.30962343096234307,0.6962410609166102
cost_r,"(0.25,0.5]R",40,15,-18.416449767309274,-7.471438326869119,10.945011440440155,-0.4604112441827318,-0.186785958171728,0.2736252860110039,-3.1594130194939263,0.34118300550275404,0.375,0.14021781638429617
cost_r,"(0.1,0.15]R",176,22,-18.369990176635678,4.337305524104985,22.707295700740662,-0.10437494418542999,0.02464378138696014,0.12901872557239014,-1.9218960479740765,0.7147942694874585,0.45454545454545453,0.1398640857556099
cost_r,"(0.05,0.1]R",119,22,-4.423355765769428,5.06418744502335,9.48754321079278,-0.03717105685520528,0.042556197017002945,0.07972725387220823,-0.6196375781560689,0.8741723479763798,0.44537815126050423,0.033678222154849904
cost_r,"(-inf,0.05]R",46,11,1.3135729096927278,3.0544621714015725,1.7408892617088452,0.028555932819407125,0.0664013515522081,0.037845418732800985,0.2626334039493724,1.0930272977420747,0.45652173913043476,-0.010001185211366122
entry_month,2023-10,86,19,-34.03641871864752,-20.92476152353027,13.111657195117248,-0.3957723106819479,-0.24331118050616596,0.15246113017578194,-4.9301050916397005,0.3031059961222538,0.29069767441860467,0.25914399195125787
entry_month,2023-12,205,24,-26.667694693964616,1.188872980796463,27.856567674761077,-0.1300863155803152,0.0057993803941290886,0.13588569597444428,-2.3752704141083374,0.674988169690774,0.4195121951219512,0.2030405406707835
entry_month,2023-09,50,12,-20.7002150742104,-12.083385317547583,8.61682975666282,-0.414004301484208,-0.24166770635095167,0.17233659513325641,-3.8934398743550265,0.3030138787433764,0.34,0.15760578141088416
