market,event,side,tp_rr,sl_atr,max_hold,buffer_atr,cooldown_bars,trades,net_r,pf,win_rate,symbols,positive_symbols,top_symbol_frac,coverage_ok_symbols,cost_ok,cost_skipped_symbols,cost_reasons,preflight_go,preflight_reasons
crypto,choch,short,1.5,1.0,12,0.1,20,1130,-130.8215,0.8220127996390774,0.4301,12,2,0.0938,12,True,0,,True,ready_for_gate
crypto,choch,short,1.5,1.0,12,0.2,10,1127,-142.6605,0.8064576653742634,0.4232,12,2,0.0941,12,True,0,,True,ready_for_gate
crypto,choch,short,1.5,1.0,12,0.2,20,1033,-139.1294,0.796952775299614,0.4221,12,2,0.092,12,True,0,,False,low_quality_pf_0.80<0.80
crypto,choch,short,1.5,1.0,24,0.1,10,1234,-143.4837,0.826645897251077,0.4246,12,2,0.0932,12,True,0,,True,ready_for_gate
crypto,choch,short,1.5,1.0,24,0.1,20,1123,-134.9156,0.8219055878746117,0.4239,12,2,0.0935,12,True,0,,True,ready_for_gate
crypto,choch,short,1.5,1.0,24,0.2,10,1123,-155.6399,0.7969246936417059,0.4159,12,0,0.0935,12,True,0,,False,low_quality_pf_0.80<0.80
crypto,choch,short,1.5,1.0,24,0.2,20,1026,-141.2266,0.798846891922361,0.4172,12,2,0.0916,12,True,0,,False,low_quality_pf_0.80<0.80
crypto,choch,short,1.5,1.3,12,0.1,10,1218,-76.2366,0.890076670039683,0.4425,12,2,0.0928,12,True,0,,True,ready_for_gate
crypto,choch,short,1.5,1.3,12,0.1,20,1109,-79.413,0.8762234956680639,0.4418,12,2,0.0938,12,True,0,,True,ready_for_gate
crypto,choch,short,1.5,1.3,12,0.2,10,1109,-78.0858,0.8779584820838292,0.4355,12,2,0.0929,12,True,0,,True,ready_for_gate
crypto,choch,short,1.5,1.3,12,0.2,20,1015,-78.6089,0.8679313246718858,0.4365,12,3,0.0926,12,True,0,,True,ready_for_gate
