symbol,side,entry_ts,exit_ts,entry,exit,gross_r,net_r,fees_r,reason,z
ONDOUSDT,short,1752166800000,1752166800000,0.861,0.8717742857142857,-1.0,-1.09589,0.09589,sl,2.5454
XLMUSDT,short,1752238800000,1752238800000,0.32993,0.33651971428571426,-1.0,-1.06008,0.06008,sl,4.3273
XLMUSDT,short,1752253200000,1752260400000,0.37114,0.38493657142857146,-1.0,-1.03228,0.03228,sl,2.9658
ONDOUSDT,long,1752339600000,1752368400000,0.8606,0.8816321428571429,1.25,1.18862,0.06138,tp,-2.3416
XLMUSDT,short,1752382800000,1752415200000,0.43541,0.4528297142857143,-1.0,-1.02999,0.02999,sl,3.3387
ONDOUSDT,short,1752397200000,1752404400000,0.8988,0.9109542857142857,-1.0,-1.08874,0.08874,sl,2.6696
ONDOUSDT,short,1752411600000,1752415200000,0.9147,0.9281314285714285,-1.0,-1.08172,0.08172,sl,3.0126
XLMUSDT,short,1752454800000,1752487200000,0.49918,0.4688189285714286,1.25,1.22534,0.02466,tp,2.7624
ONDOUSDT,short,1752469200000,1752469200000,0.9474,0.9256607142857143,1.25,1.18463,0.06537,tp,3.5801
BCHUSDT,short,1752469200000,1752476400000,516.4,522.3142857142857,-1.0,-1.10478,0.10478,sl,3.573
BCHUSDT,short,1752483600000,1752498000000,518.7,509.89285714285717,1.25,1.16166,0.08834,tp,2.5583
BCHUSDT,short,1752627600000,1752678000000,501.5,492.5,1.25,1.16642,0.08358,tp,3.5984
XLMUSDT,short,1752656400000,1752670800000,0.46995,0.48061028571428566,-1.0,-1.0529,0.0529,sl,2.3944
ONDOUSDT,short,1752699600000,1752706800000,0.973,0.9537035714285714,1.25,1.17436,0.07564,tp,2.2133
XLMUSDT,long,1752714000000,1752728400000,0.45208,0.4683528571428571,1.25,1.20833,0.04167,tp,-2.3994
ONDOUSDT,short,1752757200000,1752757200000,1.0424,1.011875,1.25,1.19878,0.05122,tp,7.1352
BCHUSDT,short,1752800400000,1752811200000,508.2,515.3485714285714,-1.0,-1.08531,0.08531,sl,4.2781
XLMUSDT,short,1752800400000,1752804000000,0.5187,0.4956557142857143,1.25,1.21624,0.03376,tp,3.4573
ONDOUSDT,long,1752872400000,1752955200000,1.001,1.0354357142857142,1.25,1.2064,0.0436,tp,-2.2764
BCHUSDT,short,1752973200000,1752984000000,520.3,526.7714285714285,-1.0,-1.09648,0.09648,sl,2.3317
ONDOUSDT,short,1753002000000,1753023600000,1.0596,1.0750885714285714,-1.0,-1.08209,0.08209,sl,3.4552
XLMUSDT,short,1753002000000,1753027200000,0.46956,0.475728,-1.0,-1.09135,0.09135,sl,3.0773
ONDOUSDT,short,1753102800000,1753113600000,1.116,1.091507142857143,1.25,1.18165,0.06835,tp,3.8867
BCHUSDT,long,1753131600000,1753214400000,518.3,518.0,-0.04023,-0.12363,0.0834,time,-2.3588
ONDOUSDT,long,1753160400000,1753167600000,1.0317,1.0692642857142858,1.25,1.2088,0.0412,tp,-3.0496
XLMUSDT,long,1753160400000,1753178400000,0.44944,0.4627846428571429,1.25,1.19948,0.05052,tp,-3.4784
ONDOUSDT,short,1753232400000,1753257600000,1.1371,1.0979285714285714,1.25,1.20646,0.04354,tp,3.0889
XLMUSDT,long,1753275600000,1753275600000,0.45014,0.4428088571428571,-1.0,-1.07368,0.07368,sl,-6.295
BCHUSDT,long,1753290000000,1753304400000,506.7,498.5742857142857,-1.0,-1.07483,0.07483,sl,-2.8604
XLMUSDT,long,1753290000000,1753300800000,0.42752,0.41676885714285716,-1.0,-1.04772,0.04772,sl,-2.8787
XLMUSDT,short,1753592400000,1753592400000,0.44656,0.45168657142857144,-1.0,-1.10453,0.10453,sl,4.1792
BCHUSDT,short,1753606800000,1753610400000,583.9,591.64,-1.0,-1.09053,0.09053,sl,2.5053
BCHUSDT,short,1753621200000,1753657200000,602.0,590.3535714285714,1.25,1.17247,0.07753,tp,2.6594
BCHUSDT,long,1753693200000,1753696800000,577.7,587.1178571428571,1.25,1.15799,0.09201,tp,-2.8231
ONDOUSDT,long,1753722000000,1753725600000,1.0102,0.9900228571428571,-1.0,-1.06008,0.06008,sl,-2.3708
XLMUSDT,long,1753722000000,1753725600000,0.42476,0.41815228571428575,-1.0,-1.07714,0.07714,sl,-2.3905
BCHUSDT,long,1753736400000,1753761600000,574.7,584.4714285714286,1.25,1.16178,0.08822,tp,-2.2448
ONDOUSDT,long,1753880400000,1753884000000,0.9351,0.9553821428571428,1.25,1.18084,0.06916,tp,-2.3626
XLMUSDT,long,1753880400000,1753884000000,0.40783,0.4162503571428572,1.25,1.17735,0.07265,tp,-2.8101
BCHUSDT,short,1753923600000,1753963200000,590.8,578.2964285714286,1.25,1.17912,0.07088,tp,4.049
ONDOUSDT,short,1753938000000,1753948800000,0.9738,0.9926314285714286,-1.0,-1.06205,0.06205,sl,2.3048
XLMUSDT,short,1753938000000,1753966800000,0.4232,0.4133942857142857,1.25,1.18526,0.06474,tp,2.2057
BCHUSDT,long,1753995600000,1753995600000,563.9,571.6142857142856,1.25,1.14035,0.10965,tp,-2.2569
ONDOUSDT,long,1754010000000,1754035200000,0.9125,0.8875057142857142,-1.0,-1.04381,0.04381,sl,-2.2605
XLMUSDT,long,1754010000000,1754035200000,0.3946,0.3861065714285714,-1.0,-1.05575,0.05575,sl,-2.3405
BCHUSDT,long,1754038800000,1754067600000,553.6,543.7428571428571,-1.0,-1.06739,0.06739,sl,-2.2627
BCHUSDT,long,1754082000000,1754154000000,535.6,525.4085714285715,-1.0,-1.06306,0.06306,sl,-2.3677
BCHUSDT,short,1754211600000,1754254800000,539.8,546.6571428571428,-1.0,-1.09447,0.09446,sl,2.3259
XLMUSDT,short,1754226000000,1754229600000,0.39016,0.3951922857142857,-1.0,-1.09304,0.09304,sl,2.6836
XLMUSDT,short,1754240400000,1754265600000,0.40011,0.40527342857142856,-1.0,-1.09299,0.09299,sl,2.298
ONDOUSDT,short,1754269200000,1754272800000,0.9388,0.9257392857142857,1.25,1.14218,0.10782,tp,2.5607
