symbol,setup,tp_rr,sl_atr,max_hold,coverage_ok,coverage_reasons,cost_ok,fee_r,cost_reason,skip_reason,trades,net_r,pf,win_rate,folds_positive,min_fold_trades,preflight_go,preflight_reasons
GBPUSD,session_range_fade,1.5,2.0,96,True,,True,0.0931,,,565,-85.181,0.783,0.411,0,141,False,low_quality_pf_0.78<0.80
GBPUSD,session_range_fade,1.5,2.5,24,True,,True,0.0745,,,539,-67.074,0.8,0.414,0,134,True,ready_for_gate
GBPUSD,session_range_fade,1.5,2.5,48,True,,True,0.0745,,,495,-72.237,0.783,0.404,0,123,False,low_quality_pf_0.78<0.80
GBPUSD,session_range_fade,1.5,2.5,96,True,,True,0.0745,,,479,-62.334,0.809,0.405,0,119,True,ready_for_gate
GBPUSD,session_range_fade,2.0,1.3,24,True,,True,0.1433,,,758,-236.074,0.638,0.321,0,189,False,low_quality_pf_0.64<0.80
GBPUSD,session_range_fade,2.0,1.3,48,True,,True,0.1433,,,753,-237.431,0.636,0.32,0,188,False,low_quality_pf_0.64<0.80
GBPUSD,session_range_fade,2.0,1.3,96,True,,True,0.1433,,,752,-238.13,0.635,0.319,0,188,False,low_quality_pf_0.63<0.80
GBPUSD,session_range_fade,2.0,1.6,24,True,,True,0.1164,,,653,-135.192,0.737,0.346,0,163,False,low_quality_pf_0.74<0.80
GBPUSD,session_range_fade,2.0,1.6,48,True,,True,0.1164,,,633,-122.568,0.759,0.344,0,158,False,low_quality_pf_0.76<0.80
GBPUSD,session_range_fade,2.0,1.6,96,True,,True,0.1164,,,631,-124.13,0.756,0.342,0,157,False,low_quality_pf_0.76<0.80
GBPUSD,session_range_fade,2.0,2.0,24,True,,True,0.0931,,,576,-90.664,0.784,0.356,0,144,False,low_quality_pf_0.78<0.80
GBPUSD,session_range_fade,2.0,2.0,48,True,,True,0.0931,,,531,-73.294,0.818,0.352,0,132,True,ready_for_gate
GBPUSD,session_range_fade,2.0,2.0,96,True,,True,0.0931,,,516,-68.285,0.828,0.349,0,129,True,ready_for_gate
GBPUSD,session_range_fade,2.0,2.5,24,True,,True,0.0745,,,518,-84.77,0.755,0.363,1,129,False,low_quality_pf_0.76<0.80
GBPUSD,session_range_fade,2.0,2.5,48,True,,True,0.0745,,,455,-79.202,0.764,0.341,0,113,False,low_quality_pf_0.76<0.80
GBPUSD,session_range_fade,2.0,2.5,96,True,,True,0.0745,,,425,-56.643,0.824,0.339,1,106,True,ready_for_gate
GBPUSD,session_range_fade,2.5,1.3,24,True,,True,0.1433,,,727,-220.92,0.666,0.283,0,181,False,low_quality_pf_0.67<0.80
GBPUSD,session_range_fade,2.5,1.3,48,True,,True,0.1433,,,712,-217.154,0.669,0.278,0,178,False,low_quality_pf_0.67<0.80
GBPUSD,session_range_fade,2.5,1.3,96,True,,True,0.1433,,,709,-217.833,0.667,0.276,0,177,False,low_quality_pf_0.67<0.80
GBPUSD,session_range_fade,2.5,1.6,24,True,,True,0.1164,,,630,-125.813,0.759,0.311,0,157,False,low_quality_pf_0.76<0.80
GBPUSD,session_range_fade,2.5,1.6,48,True,,True,0.1164,,,595,-116.099,0.772,0.299,0,148,False,low_quality_pf_0.77<0.80
GBPUSD,session_range_fade,2.5,1.6,96,True,,True,0.1164,,,587,-110.549,0.781,0.296,0,146,False,low_quality_pf_0.78<0.80
GBPUSD,session_range_fade,2.5,2.0,24,True,,True,0.0931,,,561,-96.298,0.774,0.324,2,140,False,low_quality_pf_0.77<0.80
GBPUSD,session_range_fade,2.5,2.0,48,True,,True,0.0931,,,498,-81.499,0.798,0.307,1,124,False,low_quality_pf_0.80<0.80
GBPUSD,session_range_fade,2.5,2.0,96,True,,True,0.0931,,,470,-62.315,0.84,0.3,1,117,True,ready_for_gate
GBPUSD,session_range_fade,2.5,2.5,24,True,,True,0.0745,,,513,-112.49,0.684,0.333,0,128,False,low_quality_pf_0.68<0.80
GBPUSD,session_range_fade,2.5,2.5,48,True,,True,0.0745,,,428,-68.974,0.788,0.32,1,107,False,low_quality_pf_0.79<0.80
GBPUSD,session_range_fade,2.5,2.5,96,True,,True,0.0745,,,386,-54.056,0.827,0.295,1,96,True,ready_for_gate
USDJPY,session_range_fade,1.5,1.3,24,True,,True,0.1257,,,695,-200.484,0.618,0.364,0,173,False,low_quality_pf_0.62<0.80
USDJPY,session_range_fade,1.5,1.3,48,True,,True,0.1257,,,685,-197.404,0.622,0.365,0,171,False,low_quality_pf_0.62<0.80
USDJPY,session_range_fade,1.5,1.3,96,True,,True,0.1257,,,683,-196.631,0.622,0.365,0,170,False,low_quality_pf_0.62<0.80
USDJPY,session_range_fade,1.5,1.6,24,True,,True,0.1021,,,594,-135.085,0.68,0.375,0,148,False,low_quality_pf_0.68<0.80
USDJPY,session_range_fade,1.5,1.6,48,True,,True,0.1021,,,570,-114.1,0.719,0.384,0,142,False,low_quality_pf_0.72<0.80
USDJPY,session_range_fade,1.5,1.6,96,True,,True,0.1021,,,567,-113.275,0.721,0.384,0,141,False,low_quality_pf_0.72<0.80
USDJPY,session_range_fade,1.5,2.0,24,True,,True,0.0817,,,520,-83.413,0.75,0.402,1,130,False,low_quality_pf_0.75<0.80
USDJPY,session_range_fade,1.5,2.0,48,True,,True,0.0817,,,477,-59.294,0.813,0.403,1,119,True,ready_for_gate
