trades,net_r,pf,win_rate,avg_r,tag,month
31,-59.4079,0.04577885572938418,0.0968,-1.9164,session_range_fade_long_rr2.5_sl0.8_h120,2026-07
451,-860.2686,0.10416271822967844,0.2151,-1.9075,session_range_fade_long_rr2.5_sl0.8_h240,2026-06
31,-59.4079,0.04577885572938418,0.0968,-1.9164,session_range_fade_long_rr2.5_sl0.8_h240,2026-07
364,-593.4284,0.13024493704104262,0.2088,-1.6303,session_range_fade_long_rr2.5_sl1.0_h120,2026-06
29,-48.597,0.07369356043855503,0.1379,-1.6758,session_range_fade_long_rr2.5_sl1.0_h120,2026-07
364,-593.4284,0.13024493704104262,0.2088,-1.6303,session_range_fade_long_rr2.5_sl1.0_h240,2026-06
29,-48.597,0.07369356043855503,0.1379,-1.6758,session_range_fade_long_rr2.5_sl1.0_h240,2026-07
537,-914.8903,0.07116840213179722,0.1304,-1.7037,session_range_fade_short_rr1.5_sl0.8_h120,2026-06
51,-98.4557,0.05637554174996981,0.1569,-1.9305,session_range_fade_short_rr1.5_sl0.8_h120,2026-07
537,-914.8903,0.07116840213179722,0.1304,-1.7037,session_range_fade_short_rr1.5_sl0.8_h240,2026-06
51,-98.4557,0.05637554174996981,0.1569,-1.9305,session_range_fade_short_rr1.5_sl0.8_h240,2026-07
442,-581.2911,0.1115275449019425,0.2059,-1.3151,session_range_fade_short_rr1.5_sl1.0_h120,2026-06
38,-57.5316,0.07196618973109865,0.1316,-1.514,session_range_fade_short_rr1.5_sl1.0_h120,2026-07
442,-581.2911,0.1115275449019425,0.2059,-1.3151,session_range_fade_short_rr1.5_sl1.0_h240,2026-06
38,-57.5316,0.07196618973109865,0.1316,-1.514,session_range_fade_short_rr1.5_sl1.0_h240,2026-07
479,-784.6016,0.10560323724002443,0.2046,-1.638,session_range_fade_short_rr2.0_sl0.8_h120,2026-06
45,-87.4757,0.06620572452141758,0.1111,-1.9439,session_range_fade_short_rr2.0_sl0.8_h120,2026-07
479,-784.6016,0.10560323724002443,0.2046,-1.638,session_range_fade_short_rr2.0_sl0.8_h240,2026-06
45,-87.4757,0.06620572452141758,0.1111,-1.9439,session_range_fade_short_rr2.0_sl0.8_h240,2026-07
380,-499.1907,0.15549329533433495,0.2921,-1.3137,session_range_fade_short_rr2.0_sl1.0_h120,2026-06
33,-45.5101,0.11644770434164724,0.1515,-1.3791,session_range_fade_short_rr2.0_sl1.0_h120,2026-07
380,-499.1907,0.15549329533433495,0.2921,-1.3137,session_range_fade_short_rr2.0_sl1.0_h240,2026-06
33,-45.5101,0.11644770434164724,0.1515,-1.3791,session_range_fade_short_rr2.0_sl1.0_h240,2026-07
425,-711.7675,0.12721426764501284,0.2471,-1.6747,session_range_fade_short_rr2.5_sl0.8_h120,2026-06
41,-77.9962,0.08769865452389002,0.122,-1.9023,session_range_fade_short_rr2.5_sl0.8_h120,2026-07
425,-711.7675,0.12721426764501284,0.2471,-1.6747,session_range_fade_short_rr2.5_sl0.8_h240,2026-06
41,-77.9962,0.08769865452389002,0.122,-1.9023,session_range_fade_short_rr2.5_sl0.8_h240,2026-07
346,-432.5884,0.22224307802948576,0.3092,-1.2503,session_range_fade_short_rr2.5_sl1.0_h120,2026-06
29,-42.8069,0.14194682531410108,0.2759,-1.4761,session_range_fade_short_rr2.5_sl1.0_h120,2026-07
346,-432.5884,0.22224307802948576,0.3092,-1.2503,session_range_fade_short_rr2.5_sl1.0_h240,2026-06
29,-42.8069,0.14194682531410108,0.2759,-1.4761,session_range_fade_short_rr2.5_sl1.0_h240,2026-07
