symbol,current_long_score,current_short_score,current_flat_score,current_close_vs_ema_pct,current_signed_slope_4h_pct,current_rsi_1h,current_long_family,current_short_family,hist_long_top_count,hist_short_top_count
ADAUSDT,0.26133758692017506,0.016629289068138892,0.6329063470452327,-1.1826498344660965,-2.142271826658978,25.80645161290343,none,none,204,142
DOGEUSDT,0.30003610783731377,0.016732989541219743,0.6151738531873064,-1.502631817738974,-2.258968370622493,20.216049382715966,none,none,120,122
LINKUSDT,0.6152128851787497,0.03413137459276115,0.6087266827043274,-1.0661082457851228,-1.9942965735801284,25.746268656716424,none,none,130,144
LTCUSDT,0.04173150869726675,0.20754341723576403,0.5602576199729493,1.3939388306128444,0.22938611265405523,72.88428324697749,none,none,305,380
BCHUSDT,0.01664682731687642,0.09747836159666508,0.5189232157792201,1.062968120685009,-2.5169153939981563,69.91869918699194,none,slope_short_fade,330,361
ATOMUSDT,0.019539182558618515,0.09734523009019497,0.5450964300479113,1.290446693804879,-2.1000994155861092,74.71428571428564,none,slope_short_fade,301,309
AVAXUSDT,0.2856791705088407,0.013883405486350222,0.596603677823007,-1.6685184387019207,-2.2105108668058717,23.604465709728785,none,none,149,100
SOLUSDT,0.3127620778966667,0.013786275975964747,0.5384314486746365,-1.456843449285642,-2.0039617728369623,22.71762208067929,none,none,216,211
DOTUSDT,0.2465042297346623,0.016414959143253628,0.6122929885617634,-0.8182878128507614,-2.091538923356229,32.15507411630571,none,none,206,173
ETCUSDT,0.5534051179918791,0.025722070356537206,0.5058818132580643,-1.4072577080798077,-0.9179808999948774,33.333333333333556,none,none,344,310
BNBUSDT,0.4501201237464884,0.0794308768650316,0.6405076266487848,-0.5900850616529861,-1.2158985904849111,28.5714285714283,none,none,331,490
ETHUSDT,0.3258320396485128,0.0160342725346602,0.5964779918214731,-1.3166376890689662,-2.138602770979865,15.666406858924503,none,none,161,248
