IRV4_LEVEL_ENTRY_MAX_CHASE_ATR,IRV4_LEVEL_ENTRY_VALIDITY_BARS,IRV4_RETEST_MIN_QUALITY,IRV4_TP_RR,avg_loss,avg_win,combo,days,end_date_utc,ending_equity,entry_execution,fee_bps_per_side,fold,max_drawdown,net_pnl,news_blocked_signals,phase,profit_factor,score,slippage_bps_per_side,starting_equity,strategies,summary_path,symbols,tag,trades,winrate
0.6,4,0.55,2.0,-0.2919,0.2168,12,120,2026-03-02,100.36,next_open,6.0000,3,0.3099,0.36,0,train,2.229,5.310625,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_124856_irv4_mechanics_gate_ada_doge_sui_20260701_f03_train_c012_20260701_093536/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_ada_doge_sui_20260701_f03_train_c012_20260701_093536,4,0.750
0.4,4,0.45,2.0,-0.2578,0.0000,,60,2026-05-01,99.74,next_open,6.0000,3,0.2578,-0.26,0,oos,0.000,,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_124917_irv4_mechanics_gate_ada_doge_sui_20260701_f03_oos_20260701_093536/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_ada_doge_sui_20260701_f03_oos_20260701_093536,1,0.000
0.4,2,0.35,2.0,-0.2631,0.2686,1,120,2026-05-01,100.55,next_open,6.0000,4,0.2848,0.55,0,train,1.701,5.016000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_124929_irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c001_20260701_093536/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c001_20260701_093536,8,0.625
0.6,2,0.35,2.0,-0.2631,0.2686,2,120,2026-05-01,100.55,next_open,6.0000,4,0.2848,0.55,0,train,1.701,5.016000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_124951_irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c002_20260701_093536/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c002_20260701_093536,8,0.625
0.4,4,0.35,2.0,-0.2631,0.2803,3,120,2026-05-01,100.89,next_open,6.0000,4,0.2839,0.89,0,train,2.131,6.937125,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_125012_irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c003_20260701_093536/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c003_20260701_093536,9,0.667
0.6,4,0.35,2.0,-0.2631,0.2803,4,120,2026-05-01,100.89,next_open,6.0000,4,0.2839,0.89,0,train,2.131,6.937125,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_125034_irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c004_20260701_093536/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c004_20260701_093536,9,0.667
0.4,2,0.45,2.0,-0.2631,0.2686,5,120,2026-05-01,100.55,next_open,6.0000,4,0.2848,0.55,0,train,1.701,5.016000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_125056_irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c005_20260701_093536/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c005_20260701_093536,8,0.625
0.6,2,0.45,2.0,-0.2631,0.2686,6,120,2026-05-01,100.55,next_open,6.0000,4,0.2848,0.55,0,train,1.701,5.016000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_125117_irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c006_20260701_093536/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c006_20260701_093536,8,0.625
0.4,4,0.45,2.0,-0.2631,0.2803,7,120,2026-05-01,100.89,next_open,6.0000,4,0.2839,0.89,0,train,2.131,6.937125,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_125139_irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c007_20260701_093536/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c007_20260701_093536,9,0.667
0.6,4,0.45,2.0,-0.2631,0.2803,8,120,2026-05-01,100.89,next_open,6.0000,4,0.2839,0.89,0,train,2.131,6.937125,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_125200_irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c008_20260701_093536/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c008_20260701_093536,9,0.667
0.4,2,0.55,2.0,-0.2578,0.3231,9,120,2026-05-01,100.39,next_open,6.0000,4,0.2562,0.39,0,train,2.506,-1000000000.000000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_125222_irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c009_20260701_093536/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c009_20260701_093536,3,0.667
0.6,2,0.55,2.0,-0.2578,0.3231,10,120,2026-05-01,100.39,next_open,6.0000,4,0.2562,0.39,0,train,2.506,-1000000000.000000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_125243_irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c010_20260701_093536/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c010_20260701_093536,3,0.667
0.4,4,0.55,2.0,-0.2578,0.3231,11,120,2026-05-01,100.39,next_open,6.0000,4,0.2562,0.39,0,train,2.506,-1000000000.000000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_125305_irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c011_20260701_093536/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c011_20260701_093536,3,0.667
0.6,4,0.55,2.0,-0.2578,0.3231,12,120,2026-05-01,100.39,next_open,6.0000,4,0.2562,0.39,0,train,2.506,-1000000000.000000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_125327_irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c012_20260701_093536/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c012_20260701_093536,3,0.667
0.4,4,0.35,2.0,-0.3257,0.2055,,60,2026-06-30,99.97,next_open,6.0000,4,0.3354,-0.03,0,oos,0.947,,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_125348_irv4_mechanics_gate_ada_doge_sui_20260701_f04_oos_20260701_093536/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_ada_doge_sui_20260701_f04_oos_20260701_093536,5,0.600
0.4,2,0.35,2.0,-0.2943,0.3007,1,120,2025-11-02,102.44,next_open,6.0000,1,0.6873,2.44,0,selected,2.384,12.028875,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_123539_irv4_mechanics_gate_ada_doge_sui_20260701_f01_train_c001_20260701_093536/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_ada_doge_sui_20260701_f01_train_c001_20260701_093536,20,0.700
0.4,2,0.45,2.0,-0.2831,0.2419,5,120,2026-01-01,101.09,next_open,6.0000,2,0.5996,1.09,0,selected,2.278,7.516500,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_124149_irv4_mechanics_gate_ada_doge_sui_20260701_f02_train_c005_20260701_093536/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_ada_doge_sui_20260701_f02_train_c005_20260701_093536,11,0.727
0.4,4,0.45,2.0,-0.2808,0.2526,7,120,2026-03-02,101.91,next_open,6.0000,3,0.6000,1.91,0,selected,2.699,11.018000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_124707_irv4_mechanics_gate_ada_doge_sui_20260701_f03_train_c007_20260701_093536/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_ada_doge_sui_20260701_f03_train_c007_20260701_093536,16,0.750
0.4,4,0.35,2.0,-0.2631,0.2803,3,120,2026-05-01,100.89,next_open,6.0000,4,0.2839,0.89,0,selected,2.131,6.937125,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_125012_irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c003_20260701_093536/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_ada_doge_sui_20260701_f04_train_c003_20260701_093536,9,0.667
