mid,spread_bps,imb1,imb5,imb20,depth_bid,depth_ask,slope,ts
1881.455,0.053150354379939486,-0.6934947464517112,-0.6856605331016975,-0.4537060508629124,84359.74799999999,224484.04620000004,0.5271364597812599,1786492803343
1881.2150000000001,0.05315713514930991,-0.2516170267525251,-0.07400762892161541,0.006102410325637025,223026.34069999994,220320.85419999997,0.3910530856952989,1786492804399
1881.2150000000001,0.05315713514930991,-0.0747841256732583,0.1126757609434421,0.1116192997592752,231924.45529999997,185348.71609999996,0.33808008510752785,1786492805498
1881.105,0.053160243580187734,-0.9990341948169241,-0.9627142716353851,-0.42052415090876893,151322.53410000002,370951.2909,0.40570385448667656,1786492806499
1880.9050000000002,0.053165896204172475,-0.37204591022466993,-0.15178735843275007,-0.28244286242277006,189793.0114,339204.61529999995,0.3049994261911876,1786492807599
1880.8449999999998,0.05316759222578631,0.2710316816494616,0.5109483099127409,0.16133361702060944,269946.92029999994,194944.33289999998,0.3749194623479313,1786492808697
1880.7849999999999,0.053169288355611646,-0.8172479807373183,-0.7842570071377649,-0.5685051064587429,85984.3585,312557.3614,0.6282179139559637,1786492809698
1880.8449999999998,0.05316759222578631,0.9741346547872707,0.9744322121906275,0.8394544985395769,423933.3000000001,37000.4174,0.5968942455586131,1786492810698
1881.1350000000002,0.05315939579025909,0.23266204064623802,0.37655237379143686,-0.08828735389380253,193615.6097,231113.84979999997,0.3128643794956728,1786492811800
1880.6149999999998,0.053174094644522704,0.08219225907475464,0.2927749631669275,0.15031946434808666,300454.64839999995,221930.05899999998,0.41130534366021915,1786492812900
1880.7649999999999,0.05316985375626889,-0.6267906048884478,-0.5390095537063487,-0.18162226414330873,205837.98859999995,297201.08389999997,0.24347177922247784,1786492813999
1880.6149999999998,0.053174094644522704,-0.6938509119529847,-0.7283383643258399,-0.5288824146704605,184080.8228,597383.6290999998,0.21827365529587445,1786492815000
1880.5949999999998,0.053174660147404976,0.0674887623119945,0.07573222017579968,-0.3669215676053843,165072.79269999996,356419.59829999995,0.2661720228243944,1786492816100
1880.5949999999998,0.053174660147404976,-0.5372530152732066,-0.5550407763745719,-0.672092367171218,107376.07719999999,547540.5301,0.19721551654107825,1786492817200
1880.545,0.05317607395723529,-0.9989457093461149,-0.9576780332639554,-0.5723317308951033,95260.2693,350226.4604,0.5306226563902068,1786492818298
1880.545,0.05317607395723529,-0.4579944633461232,-0.3667553902205831,-0.2202311286165159,150416.71649999998,235381.4912,0.3841047338800274,1786492819299
1880.3850000000002,0.053180598653950674,-0.6802618809144919,-0.6528338442118209,-0.5770687404700525,160932.7347,600102.2140000002,0.31372162527862624,1786492820299
1880.3850000000002,0.053180598653950674,0.767153878892736,0.8117118724121037,0.7183047237349636,286426.8349,46956.215200000006,0.4930734746433349,1786492821397
1880.4050000000002,0.05318003302475213,0.9932031706695991,0.9936678844834249,0.8888573574194939,438179.24350000004,25782.994599999998,0.6144617755261234,1786492822399
1880.5149999999999,0.053176922279220884,0.6917714988253055,0.7150636798070541,0.21951589223687482,199233.08149999997,127508.18160000001,0.37973802703341514,1786492823498
1880.6149999999998,0.053174094644522704,0.21875091584585693,0.47254599338705666,-0.17802903788128957,236762.80519999992,339322.765,0.44239894658621676,1786492824500
1880.6149999999998,0.053174094644522704,0.12629452366786803,0.3325727709666517,0.16807028668007093,121256.50800000003,86362.00499999999,0.48124919284052464,1786492825597
1880.6149999999998,0.053174094644522704,-0.3597259363704558,-0.15126068663568618,0.11802657569173436,181185.41790000003,142931.0599,0.48181937913185596,1786492826598
1880.6149999999998,0.053174094644522704,-0.9595556290498432,-0.9054118497914801,-0.4785850501735728,67753.2635,192129.05680000002,0.5003265110527797,1786492827599
1880.2350000000001,0.05318484125649668,-0.6500592500156872,-0.8219826115667088,-0.5147087359979768,177050.98349999997,552617.9664,0.5784258958228148,1786492828606
1880.2150000000001,0.05318540698798225,0.17600222214668695,0.19121834966431217,-0.2506740777444983,178858.9062,298527.23750000005,0.33737704209783925,1786492829698
1880.5549999999998,0.0531757911892548,-0.565651675455143,-0.616079549512922,-0.291823920859507,237023.08479999998,432367.175,0.19362169512105587,1786492830699
1880.5549999999998,0.0531757911892548,-0.46379927817914224,-0.47600815598654894,-0.20050955270592843,245617.69429999997,368817.9006,0.17347639636233583,1786492831702
1880.5549999999998,0.0531757911892548,0.9384566910547462,0.9387894222010383,0.8796649543660486,395417.8007,25314.4152,0.31837705799034344,1786492832800
1880.5549999999998,0.0531757911892548,0.783845575623284,0.7903741707750723,0.7827779725934634,356396.4831,43425.0186,0.25803246314003825,1786492833810
1880.5549999999998,0.0531757911892548,0.8249128624235116,0.8304669053820997,0.35373362889754906,381276.04760000005,182019.47739999997,0.22331073906543103,1786492834897
1880.5549999999998,0.0531757911892548,0.9117517788478953,0.9136312288186256,0.33892090424402205,355399.72479999997,175475.1367,0.17800344855846972,1786492835903
1880.5549999999998,0.0531757911892548,0.936959820822456,0.9373280869878929,0.4038809456003639,391148.97150000004,166090.5476,0.23370201526684933,1786492836999
1880.7849999999999,0.053169288355611646,0.9793447355914092,0.9802666382843566,0.6522377323662383,319660.6171,67282.0254,0.3497692550130347,1786492838001
1880.6550000000002,0.0531729636748415,-0.7280944079049714,-0.746731290499332,0.03569599496267704,310453.6597,289053.64979999996,0.23260952767415757,1786492839097
1880.6550000000002,0.0531729636748415,0.1684748460426797,0.260383748825904,0.14458661387798405,390173.72179999994,291598.57409999997,0.20445775875358513,1786492840100
1880.6550000000002,0.0531729636748415,-0.31695435180519965,-0.2065709090538297,0.0975239256976113,334075.2116,274704.61319999996,0.24466584195514884,1786492841198
1880.6550000000002,0.0531729636748415,0.7399987972251955,0.7395898921152833,0.5571278148981507,372234.13729999994,105869.37319999999,0.2078495566704274,1786492842200
1880.8850000000002,0.05316646153268756,-0.12606212915362788,-0.026661417521246303,-0.34593867075253704,153885.6113,316668.4619,0.24442632175689352,1786492843200
1880.8850000000002,0.05316646153268756,-0.03304399551595393,0.07042862552390873,-0.26945047975234093,219184.5419,380869.3513,0.22740917415315923,1786492844200
1880.8850000000002,0.05316646153268756,-0.5862949693965015,-0.5852538610762775,-0.16187018429315525,359686.2932,498620.58589999995,0.14086276219383967,1786492845297
1880.8850000000002,0.05316646153268756,-0.9199859261290301,-0.8557772953640411,-0.257625763003731,264276.0429,447699.21090000006,0.1516649951296383,1786492846298
1880.8850000000002,0.05316646153268756,-0.9113166624700217,-0.8409736656660148,-0.2644668213374107,260588.8261,447982.4081,0.13787358290137033,1786492847298
1880.8850000000002,0.05316646153268756,-0.9244395837180491,-0.864475885954739,-0.7133398305427915,78989.69210000001,472113.6736,0.20952088516704187,1786492848399
