mid,spread_bps,imb1,imb5,imb20,depth_bid,depth_ask,slope,ts
63553.149999999994,0.015734861293035016,-0.010610866230088193,0.26256207925011465,0.24402220054950785,1026807.3417,623978.8601,0.5683157411765568,1786492803338
63552.149999999994,0.01573510888279072,-0.9374564544377173,-0.7381780646864097,-0.4311356560640243,622093.7598,1565048.9797,0.6998422570947157,1786492804397
63552.149999999994,0.01573510888279072,-0.6280290465379839,-0.46750745550512984,-0.2938381530536933,694487.6426,1272448.5367000003,0.7900176997369645,1786492805496
63548.149999999994,0.015736099319735478,-0.01863631400511701,-0.0221209637090614,-0.07136247413127834,712620.6584999999,822145.3587,0.5222508870520227,1786492806498
63548.149999999994,0.015736099319735478,-0.07686227134807308,-0.07747402310914984,-0.14773905358283052,478448.8439999999,644326.6298999999,0.5698403946940722,1786492807595
63548.149999999994,0.015736099319735478,-0.20942869238882475,-0.21026637375921947,-0.22124956341744045,491222.01179999986,770342.6403,0.6202365506179197,1786492808597
63548.149999999994,0.015736099319735478,-0.3880854882301525,-0.38754454730597776,-0.40535047665254864,349511.3853,826009.2249999999,0.6475258484883071,1786492809696
63548.149999999994,0.015736099319735478,0.11884814517194284,0.1182033227056869,0.08927863041649736,749605.0264000001,626727.9071,0.4874847223874847,1786492810696
63552.05,0.015735133642194834,0.9354661308812858,0.9108974681816332,0.932100736531464,1877160.0176000001,65968.4975,0.46396648193575774,1786492811696
63549.45,0.015735777414052333,-0.9976840400338396,-0.990846721631056,-0.9902240053521233,14298.425,2910912.8737000003,0.7120296992992057,1786492812697
63545.25,0.015736817465636026,-0.9387344747569921,-0.7137252267592936,-0.36801216341896836,556959.5568,1205604.6084,0.45790601887586807,1786492813697
63545.25,0.015736817465636026,-0.07626933056727238,0.14051067244133528,-0.010402391137189491,823850.7572000001,841170.9643999999,0.5581604049627312,1786492814796
63545.25,0.015736817465636026,-0.2703639358590096,-0.388701981720839,-0.12728383985855085,664152.0197999999,857882.4059000001,0.46701880903455045,1786492815797
63545.25,0.015736817465636026,-0.23719280710320179,-0.36258557923754403,-0.2412454194926069,546280.7679999999,893659.8453,0.4878192255375009,1786492816797
63545.25,0.015736817465636026,-0.8409244694813707,-0.8571570455514962,-0.4562953466148668,369942.80369999993,990879.8466,0.4838202676556376,1786492817898
63545.25,0.015736817465636026,-0.8307294104998794,-0.8492917544467905,-0.40032486361554687,369879.2585,863719.5220999998,0.5051800411936951,1786492818997
63542.350000000006,0.01573753567479717,-0.9873533642839376,-0.7488215132490289,-0.547594223707979,399352.03689999995,1366107.4590999996,0.7015556848549757,1786492820096
63542.350000000006,0.01573753567479717,0.20673547983603513,0.2338498048243082,0.18809047957382097,935710.8931999999,639440.0053,0.6601719581852494,1786492821096
63542.350000000006,0.01573753567479717,-0.16226048243596106,-0.005755690873601146,-0.004347714928211355,883860.3099999999,891579.4158000001,0.6656515800149052,1786492822196
63542.350000000006,0.01573753567479717,0.5174776527085795,0.5225984414972005,0.5209570041199855,957505.8633999999,301577.5436999999,0.6922070595048191,1786492823196
63542.350000000006,0.01573753567479717,0.5322129656892722,0.5313896900630253,0.5298828177737651,995058.9851999999,305771.3445999999,0.6963211945859722,1786492824198
63542.350000000006,0.01573753567479717,0.6324016131032162,0.5647810736677761,0.5546417519893204,961572.1514999999,275461.58989999996,0.6803003102789902,1786492825296
63542.350000000006,0.01573753567479717,0.021703713693012848,0.18769881785129774,0.23246067336330095,893200.9835999998,556258.6266000001,0.6929573613033678,1786492826296
63542.350000000006,0.01573753567479717,-0.12688101304248653,-0.019716166114230202,0.005695563242494906,665276.5347999999,657741.2036000001,0.6041971508762349,1786492827299
63542.350000000006,0.01573753567479717,-0.8280986711358094,-0.5079606734746597,-0.2717053380950158,421910.95459999994,736716.114,0.6959560486311946,1786492828398
