strategy,symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,pnl_pct_equity,fees,outcome,reason
inplay_breakout,KITEUSDT,short,1762153500000,1762154100000,0.12760447,0.12465595,222.90541677,0.62350278,0.005596,0.03373813,tp,breakout_retest_short+TP1
inplay_breakout,AVAXUSDT,long,1741206000000,1741206300000,21.39427800,21.48718742,4.67508181,0.31407451,0.002819,0.12028462,tp,breakout_retest_long+TP1
inplay_breakout,KITEUSDT,short,1762157400000,1762157700000,0.12535492,0.11789980,89.83648373,0.65662989,0.005844,0.01311189,tp,breakout_retest_short+TP1
inplay_breakout,ASTERUSDT,long,1758693900000,1758694500000,2.17743540,2.20826911,21.37636170,0.60286240,0.005336,0.05625024,tp,breakout_retest_long+TP1
inplay_breakout,AVAXUSDT,long,1741213500000,1741217700000,21.52930500,21.79801095,2.44456404,0.59331907,0.005250,0.06354984,tp,breakout_retest_long+TP1
inplay_breakout,ASTERUSDT,long,1758694500000,1758695100000,2.18793750,2.23132679,15.39262592,0.62706063,0.005521,0.04081445,tp,breakout_retest_long+TP1
inplay_breakout,LINKUSDT,long,1741218000000,1741218600000,16.54930920,16.46307815,6.04375680,-0.64087077,-0.005581,0.11971130,sl,breakout_retest_long+SL
inplay_breakout,LINKUSDT,long,1741219200000,1741219500000,16.50930120,16.45619382,6.05840300,-0.44157688,-0.003867,0.11983095,sl,breakout_retest_long+SL
inplay_breakout,LINKUSDT,long,1741219800000,1741220100000,16.51330200,16.57018244,6.05693519,0.22429045,0.001972,0.12023071,tp,breakout_retest_long+TP1
inplay_breakout,LINKUSDT,long,1741220100000,1741220400000,16.57431420,16.45105199,4.88431429,-0.69883514,-0.006132,0.09678376,sl,breakout_retest_long+SL
inplay_breakout,ASTERUSDT,long,1758697200000,1758699300000,2.19593910,2.25208378,11.96012022,0.63957778,0.005626,0.03191933,tp,breakout_retest_long+TP1
inplay_breakout,LINKUSDT,long,1741223100000,1741224900000,16.57331400,16.71723874,4.53894419,0.56260399,0.004939,0.09066238,tp,breakout_retest_long+TP1
inplay_breakout,DOGEUSDT,long,1741229700000,1741230600000,0.20711141,0.20808815,482.92847829,0.35138443,0.003069,0.12030701,tp,breakout_retest_long+TP1
inplay_breakout,WLFIUSDT,long,1756394700000,1756395000000,0.28575714,0.28929699,188.48542110,0.60217580,0.005245,0.06503359,tp,breakout_retest_long+TP1
inplay_breakout,WLFIUSDT,long,1756395300000,1756396800000,0.28865772,0.29582997,95.00435868,0.64807721,0.005615,0.03331733,tp,breakout_retest_long+TP1
inplay_breakout,XRPUSDT,long,1741251300000,1741251900000,2.56451280,2.54097742,25.77581240,-0.68560251,-0.005907,0.07895889,sl,breakout_retest_long+SL
inplay_breakout,XRPUSDT,long,1741252200000,1741252500000,2.55151020,2.56205206,39.20031360,0.29297221,0.002539,0.12027195,tp,breakout_retest_long+TP1
inplay_breakout,ENAUSDT,long,1741237500000,1741253100000,0.40128024,0.39122745,58.02769522,-0.61093249,-0.005320,0.02759244,sl,breakout_retest_long+SL
inplay_breakout,XRPUSDT,long,1741253100000,1741254300000,2.56311252,2.58773149,26.91907719,0.57952645,0.005036,0.08319358,tp,breakout_retest_long+TP1
inplay_breakout,VIRTUALUSDT,short,1741274700000,1741275300000,0.82723452,0.82140310,112.62982067,0.54537978,0.004716,0.11141146,tp,breakout_retest_short+TP1
inplay_breakout,VIRTUALUSDT,short,1741275300000,1741276200000,0.82683460,0.82027602,101.21961292,0.56382475,0.004852,0.10003194,tp,breakout_retest_short+TP1
inplay_breakout,SNXUSDT,short,1741280700000,1741281900000,0.89762044,0.88913208,79.20034715,0.58737448,0.005030,0.08490685,tp,breakout_retest_short+TP1
inplay_breakout,AGLDUSDT,short,1741281000000,1741282500000,1.22555484,1.21399132,58.11159295,0.58691495,0.005028,0.08505955,tp,breakout_retest_short+TP1
inplay_breakout,ZECUSDT,short,1741281000000,1741283100000,34.35312800,34.02154581,2.02768093,0.58915768,0.005049,0.08318521,tp,breakout_retest_short+TP1
inplay_breakout,ZECUSDT,short,1741283400000,1741287600000,34.33313200,33.96793509,1.87713057,0.60859628,0.005135,0.07692601,tp,breakout_retest_short+TP1
inplay_breakout,VIRTUALUSDT,short,1741307400000,1741308600000,0.75574882,0.74222784,51.72115395,0.65283421,0.005480,0.04648625,tp,breakout_retest_short+TP1
inplay_breakout,PIPPINUSDT,short,1741327500000,1741327800000,0.02273545,0.02266842,4397.53737907,0.17498323,0.001461,0.11979913,tp,breakout_retest_short+TP1
inplay_breakout,PIPPINUSDT,short,1741328100000,1741328400000,0.02268546,0.02255702,4407.22785368,0.44641569,0.003722,0.11963637,tp,breakout_retest_short+TP1
inplay_breakout,VIRTUALUSDT,short,1741310100000,1741331100000,0.75564884,0.74051607,46.57419050,0.66298674,0.005535,0.04180960,tp,breakout_retest_short+TP1
inplay_breakout,JTOUSDT,short,1741383300000,1741384500000,2.49650060,2.47390611,30.79623639,0.60398334,0.004989,0.09184189,tp,breakout_retest_short+TP1
inplay_breakout,AAVEUSDT,short,1741381800000,1741382400000,198.08037600,200.98990423,0.21499907,-0.67702570,-0.005564,0.05147984,sl,breakout_retest_short+SL
inplay_breakout,JTOUSDT,short,1741386900000,1741388400000,2.49950000,2.48434820,40.00000000,0.48645969,0.004020,0.11961236,tp,breakout_retest_short+TP1
inplay_breakout,AAVEUSDT,short,1741383600000,1741385400000,199.20015200,197.04294357,0.32446007,0.62278896,0.005150,0.07713904,tp,breakout_retest_short+TP1
inplay_breakout,WLFIUSDT,long,1756612800000,1756613400000,0.30886176,0.31149426,265.78540716,0.60075117,0.004920,0.09892895,tp,breakout_retest_long+TP1
inplay_breakout,WLFIUSDT,long,1756613400000,1756614900000,0.31096218,0.30648726,140.99985679,-0.68319901,-0.005568,0.05223617,sl,breakout_retest_long+SL
inplay_breakout,WLFIUSDT,long,1756615500000,1756615800000,0.30876174,0.30631015,262.02108422,-0.73906423,-0.006057,0.09669708,sl,breakout_retest_long+SL
inplay_breakout,WLFIUSDT,long,1756618800000,1756619400000,0.31016202,0.30645870,169.39650537,-0.69000218,-0.005689,0.06267204,sl,breakout_retest_long+SL
inplay_breakout,MYXUSDT,long,1755069900000,1755070200000,1.79763946,1.77545227,28.08184760,-0.68326067,-0.005666,0.06020341,sl,breakout_retest_long+SL_same_bar
inplay_breakout,MYXUSDT,long,1755071100000,1755075900000,1.79330859,1.81523671,31.76570665,0.62778539,0.005235,0.06877679,tp,breakout_retest_long+TP1
inplay_breakout,XAUTUSDT,long,1744378800000,1744379700000,3261.25212000,3249.38713543,0.03066920,-0.48369527,-0.004013,0.11980567,sl,breakout_retest_long+SL
inplay_breakout,XAUTUSDT,long,1744380000000,1744380600000,3262.15230000,3249.11861771,0.03066074,-0.51940656,-0.004326,0.11978423,sl,breakout_retest_long+SL
inplay_breakout,AXSUSDT,short,1741509300000,1741512900000,3.34333120,3.35461365,29.90430622,-0.45757215,-0.003828,0.12017844,sl,breakout_retest_short+SL
inplay_breakout,DOGEUSDT,short,1741509300000,1741511100000,0.19017196,0.18939484,525.73471426,0.28882556,0.002425,0.11973087,tp,breakout_retest_short+TP1
inplay_breakout,AGLDUSDT,short,1741514400000,1741515900000,1.14207154,1.13616033,87.54267706,0.39781768,0.003342,0.11966551,tp,breakout_retest_short+TP1
inplay_breakout,SUIUSDT,short,1741513800000,1741514400000,2.45810828,2.44530268,40.67355406,0.40118589,0.003350,0.11966349,tp,breakout_retest_short+TP1
inplay_breakout,BTCUSDT,short,1741518000000,1741518900000,84979.70066000,84680.46127714,0.00117652,0.23229524,0.001933,0.11976476,tp,breakout_retest_short+TP1
inplay_breakout,OPUSDT,short,1741518900000,1741521900000,0.91271742,0.90666301,109.54102311,0.54362812,0.004515,0.11957808,tp,breakout_retest_short+TP1
inplay_breakout,SOLUSDT,short,1741525500000,1741527900000,134.62307000,133.73937110,0.74266617,0.53671106,0.004438,0.11958222,tp,breakout_retest_short+TP1
inplay_breakout,PIPPINUSDT,short,1741534200000,1741535400000,0.01983603,0.01940331,1654.42698389,0.67695833,0.005572,0.03895117,tp,breakout_retest_short+TP1
inplay_breakout,JTOUSDT,short,1741536600000,1741537800000,2.26454700,2.24216834,31.47187313,0.61919736,0.005071,0.08510086,tp,breakout_retest_short+TP1
inplay_breakout,DOTUSDT,short,1741532100000,1741534500000,4.20845814,4.17181648,19.12835939,0.60471426,0.004950,0.09618054,tp,breakout_retest_short+TP1
