entry_ts,exit_ts,r,side,mode,side_sleeve,cost
1752447600.0,1752505200.0,-1.1941,short,standard_00_50,short,base
1752580800.0,1752584400.0,-1.2432,short,standard_00_50,short,base
1752638400.0,1752674400.0,2.2597,short,standard_00_50,short,base
1753408800.0,1753419600.0,2.2977,short,standard_00_50,short,base
1753668000.0,1753682400.0,-1.2573,short,standard_00_50,short,base
1753718400.0,1753772400.0,-1.1831,short,standard_00_50,short,base
1753945200.0,1753952400.0,-1.1365,short,standard_00_50,short,base
1753956000.0,1753963200.0,-1.1469,short,standard_00_50,short,base
1753970400.0,1753992000.0,-1.1251,short,standard_00_50,short,base
1754924400.0,1754935200.0,-1.2801,short,standard_00_50,short,base
1754985600.0,1755000000.0,2.2226,short,standard_00_50,short,base
1755180000.0,1755183600.0,-1.1563,short,standard_00_50,short,base
1755478800.0,1755514800.0,-1.216,short,standard_00_50,short,base
1755565200.0,1755669600.0,2.2674,short,standard_00_50,short,base
1756126800.0,1756130400.0,-1.2564,short,standard_00_50,short,base
1756281600.0,1756288800.0,-1.2914,short,standard_00_50,short,base
1756882800.0,1756908000.0,2.2793,short,standard_00_50,short,base
1757289600.0,1757354400.0,2.374,short,standard_00_50,short,base
1757466000.0,1757484000.0,-1.2434,short,standard_00_50,short,base
1757505600.0,1757570400.0,-1.2466,short,standard_00_50,short,base
1757592000.0,1757599200.0,2.2386,short,standard_00_50,short,base
1757678400.0,1757908800.0,2.2616,short,standard_00_50,short,base
1758157200.0,1758171600.0,-1.1623,short,standard_00_50,short,base
1758686400.0,1758693600.0,-1.3186,short,standard_00_50,short,base
1758841200.0,1759100400.0,2.2659,short,standard_00_50,short,base
1759453200.0,1759460400.0,-1.2402,short,standard_00_50,short,base
1759838400.0,1759845600.0,-1.2417,short,standard_00_50,short,base
1759867200.0,1759881600.0,-1.1991,short,standard_00_50,short,base
1759989600.0,1759993200.0,-1.2116,short,standard_00_50,short,base
1760709600.0,1760911200.0,-1.1497,short,standard_00_50,short,base
1760922000.0,1760950800.0,2.299,short,standard_00_50,short,base
1761026400.0,1761033600.0,-1.1905,short,standard_00_50,short,base
1761048000.0,1761181200.0,-1.1425,short,standard_00_50,short,base
1761192000.0,1761199200.0,-1.2572,short,standard_00_50,short,base
1761285600.0,1761307200.0,2.1605,short,standard_00_50,short,base
1761793200.0,1761804000.0,-1.1406,short,standard_00_50,short,base
1762351200.0,1762354800.0,-1.2067,short,standard_00_50,short,base
1762736400.0,1762758000.0,-1.1796,short,standard_00_50,short,base
1762956000.0,1763024400.0,2.2325,short,standard_00_50,short,base
1763604000.0,1763614800.0,-1.2021,short,standard_00_50,short,base
1763989200.0,1763992800.0,-1.3043,short,standard_00_50,short,base
1764154800.0,1764165600.0,-1.1936,short,standard_00_50,short,base
1764666000.0,1764687600.0,-1.3398,short,standard_00_50,short,base
1765184400.0,1765195200.0,-1.2881,short,standard_00_50,short,base
1765256400.0,1765263600.0,-1.3049,short,standard_00_50,short,base
1765285200.0,1765292400.0,-1.2291,short,standard_00_50,short,base
1765306800.0,1765382400.0,2.2636,short,standard_00_50,short,base
1765537200.0,1765540800.0,-1.3198,short,standard_00_50,short,base
1765958400.0,1766001600.0,-1.2208,short,standard_00_50,short,base
1766052000.0,1766062800.0,2.1753,short,standard_00_50,short,base
1766113200.0,1766116800.0,-1.2393,short,standard_00_50,short,base
1766163600.0,1766178000.0,-1.1575,short,standard_00_50,short,base
1766700000.0,1766703600.0,-1.3163,short,standard_00_50,short,base
1766761200.0,1766764800.0,-1.2701,short,standard_00_50,short,base
1767193200.0,1767204000.0,-1.4131,short,standard_00_50,short,base
1767567600.0,1767571200.0,-1.3151,short,standard_00_50,short,base
1767970800.0,1767974400.0,-1.2211,short,standard_00_50,short,base
1768284000.0,1768287600.0,-1.2542,short,standard_00_50,short,base
1768291200.0,1768320000.0,-1.2367,short,standard_00_50,short,base
1768892400.0,1768896000.0,2.2266,short,standard_00_50,short,base
1769151600.0,1769184000.0,2.3341,short,standard_00_50,short,base
1769626800.0,1769738400.0,-1.1212,short,standard_00_50,short,base
1769749200.0,1769763600.0,-1.1797,short,standard_00_50,short,base
