entry_ts,exit_ts,r,side,symbol,setup,tp_rr,sl_atr,max_hold
1749052800.0,1749110400.0,-1.2013,short,GBPUSD,session_range_fade,1.5,1.0,12
1749513600.0,1749528000.0,-1.2474,long,GBPUSD,session_range_fade,1.5,1.0,12
1751356800.0,1751371200.0,-1.2259,long,GBPUSD,session_range_fade,1.5,1.0,12
1751385600.0,1751428800.0,-1.2209,long,GBPUSD,session_range_fade,1.5,1.0,12
1752105600.0,1752148800.0,1.287,short,GBPUSD,session_range_fade,1.5,1.0,12
1752177600.0,1752206400.0,1.2661,short,GBPUSD,session_range_fade,1.5,1.0,12
1753041600.0,1753070400.0,-1.2537,short,GBPUSD,session_range_fade,1.5,1.0,12
1753387200.0,1753416000.0,-1.2748,long,GBPUSD,session_range_fade,1.5,1.0,12
1754452800.0,1754481600.0,-1.2222,short,GBPUSD,session_range_fade,1.5,1.0,12
1754971200.0,1755000000.0,-1.2678,short,GBPUSD,session_range_fade,1.5,1.0,12
1755273600.0,1755504000.0,-1.2925,long,GBPUSD,session_range_fade,1.5,1.0,12
1755532800.0,1755619200.0,-1.3457,long,GBPUSD,session_range_fade,1.5,1.0,12
1755763200.0,1755777600.0,-1.255,long,GBPUSD,session_range_fade,1.5,1.0,12
1756411200.0,1756454400.0,1.2422,short,GBPUSD,session_range_fade,1.5,1.0,12
1756684800.0,1756785600.0,1.2489,short,GBPUSD,session_range_fade,1.5,1.0,12
1757448000.0,1757505600.0,-1.2539,short,GBPUSD,session_range_fade,1.5,1.0,12
1757664000.0,1757908800.0,1.265,long,GBPUSD,session_range_fade,1.5,1.0,12
1757980800.0,1758009600.0,-1.2491,short,GBPUSD,session_range_fade,1.5,1.0,12
1758585600.0,1758614400.0,-1.257,long,GBPUSD,session_range_fade,1.5,1.0,12
1758686400.0,1758700800.0,-1.2867,long,GBPUSD,session_range_fade,1.5,1.0,12
1759766400.0,1759809600.0,1.2862,short,GBPUSD,session_range_fade,1.5,1.0,12
1760918400.0,1761004800.0,1.267,short,GBPUSD,session_range_fade,1.5,1.0,12
1761220800.0,1761307200.0,1.2824,long,GBPUSD,session_range_fade,1.5,1.0,12
1761321600.0,1761609600.0,1.2696,long,GBPUSD,session_range_fade,1.5,1.0,12
1761696000.0,1761710400.0,-1.2393,long,GBPUSD,session_range_fade,1.5,1.0,12
1762200000.0,1762243200.0,1.2158,short,GBPUSD,session_range_fade,1.5,1.0,12
1762416000.0,1762430400.0,-1.2437,short,GBPUSD,session_range_fade,1.5,1.0,12
1762819200.0,1762833600.0,1.2632,short,GBPUSD,session_range_fade,1.5,1.0,12
1762862400.0,1762934400.0,1.2957,short,GBPUSD,session_range_fade,1.5,1.0,12
1763337600.0,1763510400.0,-0.305,long,GBPUSD,session_range_fade,1.5,1.0,12
1763524800.0,1763539200.0,-1.2557,long,GBPUSD,session_range_fade,1.5,1.0,12
1763740800.0,1764072000.0,1.3254,long,GBPUSD,session_range_fade,1.5,1.0,12
1764604800.0,1764662400.0,-1.2305,long,GBPUSD,session_range_fade,1.5,1.0,12
1764676800.0,1764734400.0,1.2675,long,GBPUSD,session_range_fade,1.5,1.0,12
1764748800.0,1764763200.0,-1.2332,short,GBPUSD,session_range_fade,1.5,1.0,12
1765137600.0,1765281600.0,-1.2745,long,GBPUSD,session_range_fade,1.5,1.0,12
1765310400.0,1765368000.0,1.1839,long,GBPUSD,session_range_fade,1.5,1.0,12
1765756800.0,1765800000.0,1.243,long,GBPUSD,session_range_fade,1.5,1.0,12
1765872000.0,1765886400.0,-1.2719,short,GBPUSD,session_range_fade,1.5,1.0,12
1766721600.0,1766750400.0,1.2165,long,GBPUSD,session_range_fade,1.5,1.0,12
1766764800.0,1766995200.0,-1.2936,long,GBPUSD,session_range_fade,1.5,1.0,12
1767009600.0,1767096000.0,-1.2757,long,GBPUSD,session_range_fade,1.5,1.0,12
1768176000.0,1768204800.0,1.2297,long,GBPUSD,session_range_fade,1.5,1.0,12
1768852800.0,1768881600.0,-1.2779,short,GBPUSD,session_range_fade,1.5,1.0,12
1769083200.0,1769155200.0,-1.1847,short,GBPUSD,session_range_fade,1.5,1.0,12
1769731200.0,1769788800.0,-1.1307,long,GBPUSD,session_range_fade,1.5,1.0,12
1770163200.0,1770206400.0,-1.1963,long,GBPUSD,session_range_fade,1.5,1.0,12
1770753600.0,1770768000.0,-1.2059,short,GBPUSD,session_range_fade,1.5,1.0,12
1770969600.0,1770998400.0,1.2963,long,GBPUSD,session_range_fade,1.5,1.0,12
1771257600.0,1771286400.0,-1.2769,long,GBPUSD,session_range_fade,1.5,1.0,12
1771804800.0,1771977600.0,-0.0543,short,GBPUSD,session_range_fade,1.5,1.0,12
1771992000.0,1772035200.0,-1.2307,short,GBPUSD,session_range_fade,1.5,1.0,12
1772092800.0,1772121600.0,1.2621,short,GBPUSD,session_range_fade,1.5,1.0,12
1772755200.0,1772827200.0,-1.1476,short,GBPUSD,session_range_fade,1.5,1.0,12
1773028800.0,1773057600.0,-1.1262,short,GBPUSD,session_range_fade,1.5,1.0,12
1773662400.0,1773748800.0,1.3168,long,GBPUSD,session_range_fade,1.5,1.0,12
1773864000.0,1773921600.0,1.3137,long,GBPUSD,session_range_fade,1.5,1.0,12
1774497600.0,1774598400.0,-1.1653,long,GBPUSD,session_range_fade,1.5,1.0,12
1774612800.0,1774814400.0,-1.172,long,GBPUSD,session_range_fade,1.5,1.0,12
1775203200.0,1775419200.0,1.3269,short,GBPUSD,session_range_fade,1.5,1.0,12
1775448000.0,1775548800.0,-1.231,short,GBPUSD,session_range_fade,1.5,1.0,12
1775836800.0,1776024000.0,1.2824,short,GBPUSD,session_range_fade,1.5,1.0,12
1776038400.0,1776081600.0,1.2764,long,GBPUSD,session_range_fade,1.5,1.0,12
1776340800.0,1776398400.0,-1.2568,long,GBPUSD,session_range_fade,1.5,1.0,12
1776427200.0,1776441600.0,-1.2503,long,GBPUSD,session_range_fade,1.5,1.0,12
1776456000.0,1776628800.0,-1.2544,long,GBPUSD,session_range_fade,1.5,1.0,12
1776643200.0,1776787200.0,-1.2268,long,GBPUSD,session_range_fade,1.5,1.0,12
1776816000.0,1776960000.0,-1.2189,long,GBPUSD,session_range_fade,1.5,1.0,12
1777003200.0,1777032000.0,1.2418,long,GBPUSD,session_range_fade,1.5,1.0,12
1777046400.0,1777276800.0,-1.2505,short,GBPUSD,session_range_fade,1.5,1.0,12
1777363200.0,1777377600.0,1.2589,long,GBPUSD,session_range_fade,1.5,1.0,12
1777392000.0,1777464000.0,1.2544,short,GBPUSD,session_range_fade,1.5,1.0,12
1778025600.0,1778054400.0,1.2815,long,GBPUSD,session_range_fade,1.5,1.0,12
1779307200.0,1779480000.0,-0.1637,short,GBPUSD,session_range_fade,1.5,1.0,12
1779825600.0,1779868800.0,-1.3145,long,GBPUSD,session_range_fade,1.5,1.0,12
1780372800.0,1780488000.0,1.2426,short,GBPUSD,session_range_fade,1.5,1.0,12
1780560000.0,1780588800.0,1.2061,short,GBPUSD,session_range_fade,1.5,1.0,12
1780603200.0,1780646400.0,1.2143,long,GBPUSD,session_range_fade,1.5,1.0,12
1781582400.0,1781611200.0,-1.2585,short,GBPUSD,session_range_fade,1.5,1.0,12
1781625600.0,1781697600.0,1.2249,short,GBPUSD,session_range_fade,1.5,1.0,12
1782244800.0,1782302400.0,1.2622,short,GBPUSD,session_range_fade,1.5,1.0,12
1782432000.0,1782460800.0,-1.2453,short,GBPUSD,session_range_fade,1.5,1.0,12
1782691200.0,1782705600.0,-1.2469,short,GBPUSD,session_range_fade,1.5,1.0,12
1782720000.0,1782748800.0,-1.235,short,GBPUSD,session_range_fade,1.5,1.0,12
1782878400.0,1782907200.0,-1.2769,short,GBPUSD,session_range_fade,1.5,1.0,12
1782936000.0,1782964800.0,-1.2616,short,GBPUSD,session_range_fade,1.5,1.0,12
1722441600.0,1722484800.0,1.2035,short,GBPUSD,session_range_fade,1.5,1.0,30
1723132800.0,1723435200.0,-1.1909,short,GBPUSD,session_range_fade,1.5,1.0,30
1723737600.0,1723780800.0,-1.2028,short,GBPUSD,session_range_fade,1.5,1.0,30
1724817600.0,1724846400.0,-1.2552,long,GBPUSD,session_range_fade,1.5,1.0,30
1725292800.0,1725336000.0,-1.287,long,GBPUSD,session_range_fade,1.5,1.0,30
1725393600.0,1725451200.0,1.1858,long,GBPUSD,session_range_fade,1.5,1.0,30
1725494400.0,1725523200.0,-1.2701,short,GBPUSD,session_range_fade,1.5,1.0,30
1727712000.0,1727755200.0,-1.2246,long,GBPUSD,session_range_fade,1.5,1.0,30
1728446400.0,1728561600.0,1.2562,short,GBPUSD,session_range_fade,1.5,1.0,30
1728633600.0,1728979200.0,-1.239,short,GBPUSD,session_range_fade,1.5,1.0,30
1728993600.0,1729051200.0,1.2127,short,GBPUSD,session_range_fade,1.5,1.0,30
1729512000.0,1729598400.0,-1.2434,long,GBPUSD,session_range_fade,1.5,1.0,30
1730102400.0,1730232000.0,-1.2875,short,GBPUSD,session_range_fade,1.5,1.0,30
1731960000.0,1732003200.0,1.3024,short,GBPUSD,session_range_fade,1.5,1.0,30
1732017600.0,1732075200.0,-1.189,short,GBPUSD,session_range_fade,1.5,1.0,30
1732089600.0,1732204800.0,1.2937,short,GBPUSD,session_range_fade,1.5,1.0,30
1732608000.0,1732708800.0,-1.1478,short,GBPUSD,session_range_fade,1.5,1.0,30
1733083200.0,1733140800.0,1.2683,short,GBPUSD,session_range_fade,1.5,1.0,30
1733299200.0,1733385600.0,1.3412,long,GBPUSD,session_range_fade,1.5,1.0,30
1733745600.0,1733774400.0,1.305,short,GBPUSD,session_range_fade,1.5,1.0,30
1733889600.0,1733918400.0,1.2905,long,GBPUSD,session_range_fade,1.5,1.0,30
1733932800.0,1734004800.0,-1.1976,long,GBPUSD,session_range_fade,1.5,1.0,30
1735272000.0,1735286400.0,-1.3244,short,GBPUSD,session_range_fade,1.5,1.0,30
1735560000.0,1735574400.0,-1.21,short,GBPUSD,session_range_fade,1.5,1.0,30
1735632000.0,1735804800.0,1.3202,short,GBPUSD,session_range_fade,1.5,1.0,30
1736913600.0,1736942400.0,-1.1165,short,GBPUSD,session_range_fade,1.5,1.0,30
1737345600.0,1737374400.0,-1.1716,short,GBPUSD,session_range_fade,1.5,1.0,30
1738051200.0,1738526400.0,-1.1502,long,GBPUSD,session_range_fade,1.5,1.0,30
1739304000.0,1739361600.0,1.2937,short,GBPUSD,session_range_fade,1.5,1.0,30
1739390400.0,1739419200.0,-1.1696,short,GBPUSD,session_range_fade,1.5,1.0,30
1739880000.0,1739952000.0,1.2542,short,GBPUSD,session_range_fade,1.5,1.0,30
1739966400.0,1740052800.0,1.2879,long,GBPUSD,session_range_fade,1.5,1.0,30
1740124800.0,1740355200.0,1.2589,long,GBPUSD,session_range_fade,1.5,1.0,30
1740398400.0,1740484800.0,1.2932,long,GBPUSD,session_range_fade,1.5,1.0,30
1740528000.0,1740571200.0,1.3011,long,GBPUSD,session_range_fade,1.5,1.0,30
1740686400.0,1740758400.0,-1.2088,long,GBPUSD,session_range_fade,1.5,1.0,30
1741579200.0,1741608000.0,1.309,long,GBPUSD,session_range_fade,1.5,1.0,30
1741622400.0,1741680000.0,1.3183,long,GBPUSD,session_range_fade,1.5,1.0,30
1741694400.0,1742284800.0,1.3188,long,GBPUSD,session_range_fade,1.5,1.0,30
1742414400.0,1742443200.0,1.2527,short,GBPUSD,session_range_fade,1.5,1.0,30
1742457600.0,1742529600.0,-1.2131,long,GBPUSD,session_range_fade,1.5,1.0,30
1742846400.0,1742976000.0,-1.218,long,GBPUSD,session_range_fade,1.5,1.0,30
1743134400.0,1743422400.0,1.2876,short,GBPUSD,session_range_fade,1.5,1.0,30
1743595200.0,1743624000.0,-1.1871,short,GBPUSD,session_range_fade,1.5,1.0,30
1744848000.0,1744891200.0,1.297,long,GBPUSD,session_range_fade,1.5,1.0,30
1744905600.0,1745179200.0,1.2993,long,GBPUSD,session_range_fade,1.5,1.0,30
1745553600.0,1745841600.0,1.3282,long,GBPUSD,session_range_fade,1.5,1.0,30
1745884800.0,1746000000.0,1.3101,short,GBPUSD,session_range_fade,1.5,1.0,30
1746388800.0,1746432000.0,1.298,long,GBPUSD,session_range_fade,1.5,1.0,30
1746446400.0,1746518400.0,1.3195,long,GBPUSD,session_range_fade,1.5,1.0,30
1747339200.0,1747411200.0,1.3019,short,GBPUSD,session_range_fade,1.5,1.0,30
1747598400.0,1747627200.0,-1.2249,short,GBPUSD,session_range_fade,1.5,1.0,30
1747972800.0,1748001600.0,-1.1869,short,GBPUSD,session_range_fade,1.5,1.0,30
1748347200.0,1748404800.0,-1.2214,long,GBPUSD,session_range_fade,1.5,1.0,30
1748606400.0,1748836800.0,1.3054,long,GBPUSD,session_range_fade,1.5,1.0,30
1749052800.0,1749110400.0,-1.2013,short,GBPUSD,session_range_fade,1.5,1.0,30
1749513600.0,1749528000.0,-1.2474,long,GBPUSD,session_range_fade,1.5,1.0,30
1751356800.0,1751371200.0,-1.2259,long,GBPUSD,session_range_fade,1.5,1.0,30
1751385600.0,1751428800.0,-1.2209,long,GBPUSD,session_range_fade,1.5,1.0,30
1752105600.0,1752148800.0,1.287,short,GBPUSD,session_range_fade,1.5,1.0,30
1752177600.0,1752206400.0,1.2661,short,GBPUSD,session_range_fade,1.5,1.0,30
1753041600.0,1753070400.0,-1.2537,short,GBPUSD,session_range_fade,1.5,1.0,30
1753387200.0,1753416000.0,-1.2748,long,GBPUSD,session_range_fade,1.5,1.0,30
