strategy,symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,pnl_pct_equity,fees,outcome,reason
inplay_breakout,AAVEUSDT,short,1740709800000,1740711900000,189.78203600,192.72020722,0.15804446,-0.50063311,-0.005006,0.03627142,sl,breakout_retest_short;runner+TRAIL_SL
inplay_breakout,AAVEUSDT,short,1740713100000,1740723600000,190.10197200,185.28664278,0.15777848,0.72421837,0.007279,0.03553695,tp,breakout_retest_short;runner+TP1+TP2+TP3
inplay_breakout,ENSOUSDT,short,1760685600000,1760686500000,2.10757840,2.11804281,14.23149905,-0.18500639,-0.001846,0.03608215,sl,breakout_retest_short;runner+TP1+SL
inplay_breakout,ENSOUSDT,short,1760686800000,1760695800000,2.08558280,1.98662968,14.38159156,1.38796449,0.013874,0.03513894,tp,breakout_retest_short;runner+TP1+TP2+TP3
inplay_breakout,ETHUSDT,short,1740708300000,1740711900000,2211.80755000,2168.24897986,0.01356085,0.55505304,0.005472,0.03563839,sl,breakout_retest_short;runner+TP1+TP2+TRAIL_SL
inplay_breakout,SOLUSDT,short,1740710100000,1740717900000,129.13416800,127.02347593,0.23227005,0.45455191,0.004457,0.03569865,sl,breakout_retest_short;runner+TP1+TP2+TRAIL_SL
inplay_breakout,BTCUSDT,short,1740711600000,1740717900000,81197.55724000,80594.52491469,0.00036940,0.18689819,0.001833,0.03585915,sl,breakout_retest_short;runner+TP1+TRAIL_SL
inplay_breakout,DOGEUSDT,short,1740711600000,1740717900000,0.19356128,0.18936927,154.95867769,0.61398584,0.006022,0.03560305,sl,breakout_retest_short;runner+TP1+TP2+TRAIL_SL
inplay_breakout,1000PEPEUSDT,short,1740709500000,1740722400000,0.00772745,0.00753305,3881.48531505,0.71904584,0.007091,0.03554005,sl,breakout_retest_short;runner+TP1+TP2+TRAIL_SL
inplay_breakout,SOLUSDT,long,1740751500000,1740759000000,144.52890000,145.06224756,0.20761246,0.07465596,0.000718,0.03607364,sl,breakout_retest_long;runner+TP1+TRAIL_SL
inplay_breakout,ASTERUSDT,long,1758627300000,1758630000000,1.74684930,1.81556590,17.17721157,1.14364416,0.010993,0.03671542,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,KITEUSDT,short,1762153200000,1762155600000,0.12783443,0.12372259,234.63162834,0.92935408,0.008836,0.03541394,tp,breakout_retest_short;runner+TP1+TP2+TP3
inplay_breakout,KITEUSDT,short,1762157400000,1762160700000,0.12535492,0.11349046,169.68064667,1.98885407,0.018744,0.02431646,tp,breakout_retest_short;runner+TP1+TP2+TP3
inplay_breakout,ASTERUSDT,long,1758694500000,1758699300000,2.18793750,2.25733206,13.71428571,0.91511857,0.008466,0.03657822,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,JTOUSDT,long,1740930000000,1740930300000,2.56751340,2.52715161,11.68679392,-0.50742409,-0.004656,0.03572418,sl,breakout_retest_long;runner+SL
inplay_breakout,WLFIUSDT,long,1756395300000,1756398300000,0.28865772,0.30011148,103.95010395,1.15389797,0.010585,0.03672157,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,AAVEUSDT,long,1740931800000,1740933300000,200.33005800,207.83848827,0.14978281,1.08795184,0.009978,0.03668198,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,JTOUSDT,long,1740931200000,1740934200000,2.58151620,2.69138704,11.62340178,1.24029951,0.011413,0.03677344,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,SUIUSDT,long,1740930600000,1740933000000,2.96099208,3.06013781,10.13376571,0.96810954,0.008647,0.03661003,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,LINKUSDT,long,1740930600000,1740933000000,15.33306600,15.85075864,1.95694716,0.97648209,0.008723,0.03661506,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,ZECUSDT,long,1740930300000,1740933300000,40.22804400,41.39826155,0.74589756,0.83633150,0.007468,0.03653092,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,AVAXUSDT,long,1740931200000,1740933300000,22.80456000,23.55266210,1.31578947,0.94774706,0.008467,0.03659781,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,ENAUSDT,long,1740933300000,1740936300000,0.43208640,0.44589895,69.44444444,0.92262181,0.007943,0.03658272,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,AXSUSDT,long,1740932100000,1740940200000,3.82876560,3.92538294,7.83699060,0.72072771,0.006387,0.03646151,sl,breakout_retest_long;runner+TP1+TP2+TRAIL_SL
inplay_breakout,VIRTUALUSDT,long,1740933900000,1740942900000,1.13372670,1.16971138,26.46669607,0.91581701,0.007885,0.03657864,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,ENAUSDT,long,1740940500000,1740947700000,0.43718742,0.45437180,68.63417982,1.14272071,0.009701,0.03671486,sl,breakout_retest_long;runner+TP1+TP2+TRAIL_SL
inplay_breakout,SOLUSDT,long,1740930300000,1740931800000,153.94078200,161.85195313,0.19491911,1.50510600,0.012604,0.03693242,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,DOGEUSDT,long,1740931200000,1740932700000,0.21257251,0.22175319,141.15654261,1.25912934,0.010480,0.03678475,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,ORCAUSDT,long,1740931200000,1740933300000,1.85537100,1.92237902,16.17250674,1.04703022,0.008716,0.03665741,tp,breakout_retest_long;runner+TP1+TP2+TP3
