entry_ts,exit_ts,r,side,symbol,setup,tp_rr,sl_atr,max_hold
1781236800.0,1781237700.0,1.2101,short,XAUUSD,session_range_fade,1.5,0.8,120
1781238000.0,1781238900.0,-1.3044,short,XAUUSD,session_range_fade,1.5,0.8,120
1781246700.0,1781247300.0,1.2153,long,XAUUSD,session_range_fade,1.5,0.8,120
1781249700.0,1781250000.0,-1.2767,short,XAUUSD,session_range_fade,1.5,0.8,120
1781250600.0,1781250900.0,-1.2786,short,XAUUSD,session_range_fade,1.5,0.8,120
1781259000.0,1781259300.0,-1.3076,long,XAUUSD,session_range_fade,1.5,0.8,120
1781264400.0,1781265600.0,-1.33,long,XAUUSD,session_range_fade,1.5,0.8,120
1781275800.0,1781277300.0,-1.1435,short,XAUUSD,session_range_fade,1.5,0.8,120
1781285700.0,1781286300.0,1.2021,long,XAUUSD,session_range_fade,1.5,0.8,120
1781286900.0,1781287800.0,1.1846,long,XAUUSD,session_range_fade,1.5,0.8,120
1781289300.0,1781289900.0,-1.342,long,XAUUSD,session_range_fade,1.5,0.8,120
1781290200.0,1781290500.0,-1.3616,long,XAUUSD,session_range_fade,1.5,0.8,120
1781290800.0,1781291700.0,-1.322,long,XAUUSD,session_range_fade,1.5,0.8,120
1781295600.0,1781297700.0,1.0897,long,XAUUSD,session_range_fade,1.5,0.8,120
1781486400.0,1781487000.0,1.2877,long,XAUUSD,session_range_fade,1.5,0.8,120
1781493900.0,1781498100.0,1.1718,long,XAUUSD,session_range_fade,1.5,0.8,120
1781498400.0,1781499900.0,-1.4756,long,XAUUSD,session_range_fade,1.5,0.8,120
1781500200.0,1781500500.0,-1.5155,long,XAUUSD,session_range_fade,1.5,0.8,120
1781500800.0,1781501400.0,-1.48,long,XAUUSD,session_range_fade,1.5,0.8,120
1781507100.0,1781508000.0,-1.3186,short,XAUUSD,session_range_fade,1.5,0.8,120
1781508600.0,1781509800.0,-1.3743,short,XAUUSD,session_range_fade,1.5,0.8,120
1781517300.0,1781523000.0,1.1486,long,XAUUSD,session_range_fade,1.5,0.8,120
1781523600.0,1781523900.0,-1.3919,long,XAUUSD,session_range_fade,1.5,0.8,120
1781535600.0,1781537400.0,-1.2316,long,XAUUSD,session_range_fade,1.5,0.8,120
1781537700.0,1781539800.0,-1.2788,long,XAUUSD,session_range_fade,1.5,0.8,120
1781548800.0,1781552400.0,1.0976,short,XAUUSD,session_range_fade,1.5,0.8,120
1781563200.0,1781564400.0,-1.4005,short,XAUUSD,session_range_fade,1.5,0.8,120
1781564700.0,1781566500.0,-1.4086,short,XAUUSD,session_range_fade,1.5,0.8,120
1781567100.0,1781568000.0,1.0112,short,XAUUSD,session_range_fade,1.5,0.8,120
1781568300.0,1781568900.0,1.0255,short,XAUUSD,session_range_fade,1.5,0.8,120
1781574900.0,1781575500.0,-1.3087,long,XAUUSD,session_range_fade,1.5,0.8,120
1781586300.0,1781587500.0,0.9306,short,XAUUSD,session_range_fade,1.5,0.8,120
1781592300.0,1781592900.0,1.071,long,XAUUSD,session_range_fade,1.5,0.8,120
1781601600.0,1781602200.0,-1.4141,short,XAUUSD,session_range_fade,1.5,0.8,120
1781602500.0,1781602800.0,1.069,short,XAUUSD,session_range_fade,1.5,0.8,120
1781604000.0,1781606700.0,1.0525,long,XAUUSD,session_range_fade,1.5,0.8,120
1781607000.0,1781607600.0,-1.6149,long,XAUUSD,session_range_fade,1.5,0.8,120
1781613300.0,1781613900.0,-1.3454,short,XAUUSD,session_range_fade,1.5,0.8,120
1781632200.0,1781632800.0,-1.3822,short,XAUUSD,session_range_fade,1.5,0.8,120
1781633100.0,1781639400.0,1.0954,short,XAUUSD,session_range_fade,1.5,0.8,120
1781647500.0,1781648100.0,-1.6842,long,XAUUSD,session_range_fade,1.5,0.8,120
1781649000.0,1781650500.0,0.8775,long,XAUUSD,session_range_fade,1.5,0.8,120
1781651100.0,1781651400.0,-1.659,short,XAUUSD,session_range_fade,1.5,0.8,120
1781653200.0,1781653800.0,0.6374,short,XAUUSD,session_range_fade,1.5,0.8,120
1781654400.0,1781654700.0,-1.6763,short,XAUUSD,session_range_fade,1.5,0.8,120
1781663700.0,1781664300.0,-1.4605,long,XAUUSD,session_range_fade,1.5,0.8,120
1781682600.0,1781683800.0,-1.442,long,XAUUSD,session_range_fade,1.5,0.8,120
1781687700.0,1781688300.0,-1.4273,short,XAUUSD,session_range_fade,1.5,0.8,120
1781692500.0,1781693100.0,-1.5516,short,XAUUSD,session_range_fade,1.5,0.8,120
1781695800.0,1781697300.0,-1.551,long,XAUUSD,session_range_fade,1.5,0.8,120
1781714700.0,1781716200.0,1.0395,long,XAUUSD,session_range_fade,1.5,0.8,120
1781716500.0,1781717400.0,1.0515,long,XAUUSD,session_range_fade,1.5,0.8,120
1781735700.0,1781736300.0,1.1813,short,XAUUSD,session_range_fade,1.5,0.8,120
1781739600.0,1781740800.0,-1.2666,short,XAUUSD,session_range_fade,1.5,0.8,120
1781748900.0,1781749800.0,-1.2783,long,XAUUSD,session_range_fade,1.5,0.8,120
1781750100.0,1781750400.0,-1.3274,long,XAUUSD,session_range_fade,1.5,0.8,120
1781750700.0,1781751600.0,-1.3063,long,XAUUSD,session_range_fade,1.5,0.8,120
1781751900.0,1781753400.0,1.1732,long,XAUUSD,session_range_fade,1.5,0.8,120
1781753700.0,1781754600.0,-1.3279,long,XAUUSD,session_range_fade,1.5,0.8,120
1781757000.0,1781757300.0,-1.4015,long,XAUUSD,session_range_fade,1.5,0.8,120
1781757600.0,1781757900.0,1.0867,long,XAUUSD,session_range_fade,1.5,0.8,120
1781758200.0,1781758800.0,-1.4207,long,XAUUSD,session_range_fade,1.5,0.8,120
1781759100.0,1781759700.0,-1.4024,short,XAUUSD,session_range_fade,1.5,0.8,120
1781760000.0,1781760300.0,-1.3962,short,XAUUSD,session_range_fade,1.5,0.8,120
1781761200.0,1781761500.0,-1.3295,long,XAUUSD,session_range_fade,1.5,0.8,120
1781765700.0,1781766300.0,1.1836,short,XAUUSD,session_range_fade,1.5,0.8,120
1781766600.0,1781767800.0,1.1787,short,XAUUSD,session_range_fade,1.5,0.8,120
1781777400.0,1781778000.0,-1.3117,short,XAUUSD,session_range_fade,1.5,0.8,120
1781795700.0,1781796300.0,-1.191,long,XAUUSD,session_range_fade,1.5,0.8,120
1781802300.0,1781802900.0,-1.272,short,XAUUSD,session_range_fade,1.5,0.8,120
1781803200.0,1781805000.0,-1.2867,short,XAUUSD,session_range_fade,1.5,0.8,120
1781806500.0,1781807400.0,1.1227,short,XAUUSD,session_range_fade,1.5,0.8,120
1781808000.0,1781808600.0,1.0882,short,XAUUSD,session_range_fade,1.5,0.8,120
1781829300.0,1781830800.0,1.211,long,XAUUSD,session_range_fade,1.5,0.8,120
1781832000.0,1781832300.0,-1.3504,short,XAUUSD,session_range_fade,1.5,0.8,120
1781832600.0,1781834700.0,1.155,short,XAUUSD,session_range_fade,1.5,0.8,120
