trades,net_r,pf,win_rate,avg_r,tag,year
124,-23.691,0.6192074853277673,0.1452,-0.1911,failed_breakout_level_short,2025
152,-41.8863,0.4621492085070927,0.1118,-0.2756,failed_breakout_level_short,2026
87,22.0314,1.4502573940018855,0.4943,0.2532,failed_breakout_short,2025
90,-16.0103,0.7503367941682896,0.3556,-0.1779,failed_breakout_short,2026
67,15.9469,1.4332498701092085,0.5075,0.238,failed_breakout_volfade_short,2025
82,-11.7069,0.7924329473022182,0.378,-0.1428,failed_breakout_volfade_short,2026
