candidate,fold,train_start,train_end,oos_start,oos_end,picked,status,trades,net_pnl,profit_factor,winrate,max_drawdown,run_dir,error
td30_lb60_top3_s0.45_w2-12,0,2025-10-02,2025-11-01,2025-11-01,2026-01-30,TAOUSDT,ok,10,0.35,1.17,0.3,1.9225,backtest_runs/portfolio_20260704_084920_ars1_dynamic_range_picker_td30_lb60_top3_s0.45_w2-12_f0_20260704_054919,
td30_lb60_top3_s0.45_w2-12,1,2025-12-31,2026-01-30,2026-01-30,2026-04-30,,no_picks,0,0.0,0.0,0.0,0.0,,
