symbol,trades,net_r,pf,dd_r
1000PEPEUSDT,18,8.9385,3.3377,1.197
DOGEUSDT,11,3.0341,1.9136,2.2526
ETHUSDT,26,1.7545,1.1592,4.2185
LTCUSDT,30,-0.1812,0.9867,5.4374
HYPEUSDT,12,-0.9366,0.8547,3.2001
AVAXUSDT,14,-2.1853,0.7103,5.4555
ATOMUSDT,36,-2.6601,0.8529,9.2388
TAOUSDT,20,-2.9067,0.7461,7.4938
LINKUSDT,35,-3.145,0.821,8.9416
XRPUSDT,11,-3.403,0.5063,4.9233
BNBUSDT,12,-3.4462,0.5124,5.2319
DOTUSDT,30,-6.0994,0.6448,8.3471
ADAUSDT,37,-6.9028,0.6775,10.4102
BTCUSDT,57,-8.5886,0.707,14.8649
SUIUSDT,34,-9.4871,0.5541,12.2609
SOLUSDT,34,-9.6164,0.5469,12.3901
BCHUSDT,458,-32.1525,0.8624,36.1193
XLMUSDT,474,-45.151,0.8189,49.6604
ONDOUSDT,474,-60.848,0.7637,65.1694
