pair,entry_day,exit_day,held_days,side,entry_z,exit_z,beta,ar1_phi,gross_bps,cost_bps,pnl_bps,reason
ADAUSDT/BTCUSDT,20122,20142,20,long_spread,-1.581392,-1.163167,2.154556,0.938861,179.990646,32.0,147.99064584497862,max_hold
BNBUSDT/ONDOUSDT,20122,20134,12,long_spread,-2.239324,-0.112475,0.277845,0.871616,760.291996,32.0,728.2919964684316,z_exit
BNBUSDT/SUIUSDT,20122,20133,11,long_spread,-1.751257,-0.003678,0.166477,0.859043,612.673925,32.0,580.6739249030684,z_exit
BTCUSDT/ETHUSDT,20122,20142,20,short_spread,3.436475,3.145244,1.295804,0.960877,106.622144,32.0,74.62214368317342,max_hold
ETHUSDT/XRPUSDT,20122,20142,20,long_spread,-2.580417,-2.720775,0.19997,0.931545,-93.191447,32.0,-125.19144716918379,max_hold
BNBUSDT/DOGEUSDT,20123,20130,7,long_spread,-2.337133,0.114632,0.168912,0.905242,1030.697223,32.0,998.697222575774,z_exit
BNBUSDT/SOLUSDT,20123,20130,7,long_spread,-2.094842,0.041896,0.429581,0.935441,923.603226,32.0,891.6032264108541,z_exit
ETHUSDT/SUIUSDT,20123,20143,20,long_spread,-1.871168,-2.219862,0.219525,0.944941,-253.011179,32.0,-285.0111788619357,max_hold
ADAUSDT/XRPUSDT,20124,20144,20,long_spread,-2.007111,-2.360922,0.675152,0.976607,-310.314674,32.0,-342.31467416042784,max_hold
BTCUSDT/SOLUSDT,20124,20144,20,short_spread,1.683481,4.502266,0.99417,0.930662,-1099.929864,32.0,-1131.929864370224,max_hold
1000PEPEUSDT/ADAUSDT,20125,20145,20,long_spread,-2.827402,-3.053844,0.749028,0.953491,-211.317159,32.0,-243.31715946858412,max_hold
TAOUSDT/XRPUSDT,20125,20139,14,long_spread,-1.517175,-0.23385,0.105599,0.976061,3095.964996,32.0,3063.9649958868567,z_exit
ADAUSDT/ONDOUSDT,20126,20136,10,long_spread,-1.504838,0.185066,1.274685,0.949884,1303.406188,32.0,1271.4061879408316,z_exit
1000PEPEUSDT/SOLUSDT,20127,20144,17,long_spread,-1.993799,-0.203262,1.64565,0.969369,1450.473758,32.0,1418.473758183053,z_exit
AVAXUSDT/BNBUSDT,20127,20147,20,long_spread,-2.233078,-2.272658,2.192727,0.892176,-12.624646,32.0,-44.6246460867677,max_hold
AVAXUSDT/SOLUSDT,20127,20147,20,long_spread,-2.33574,-0.926502,1.001361,0.968962,1015.425173,32.0,983.425173220266,max_hold
BTCUSDT/DOGEUSDT,20127,20147,20,short_spread,2.551175,1.585344,0.379655,0.973337,351.399348,32.0,319.39934760238,max_hold
ETHUSDT/SOLUSDT,20127,20142,15,long_spread,-2.111567,0.138775,0.659268,0.954637,1096.389902,32.0,1064.3899017034498,z_exit
1000PEPEUSDT/DOGEUSDT,20129,20149,20,long_spread,-2.613364,-2.871577,0.658369,0.962089,-238.929028,32.0,-270.9290279485415,max_hold
1000PEPEUSDT/BNBUSDT,20130,20150,20,long_spread,-2.153154,-1.672832,3.444575,0.913814,201.095029,32.0,169.09502922976267,max_hold
BNBUSDT/ETHUSDT,20130,20150,20,short_spread,2.591514,2.746586,0.59874,0.882276,-40.845139,32.0,-72.84513857312025,max_hold
BNBUSDT/DOGEUSDT,20131,20143,12,short_spread,1.647413,-0.129951,0.161511,0.900028,766.66436,32.0,734.6643601055994,z_exit
BNBUSDT/TAOUSDT,20131,20151,20,short_spread,1.693445,0.53396,0.225596,0.969612,820.968172,32.0,788.9681716627899,max_hold
