dimension,bucket,trades,symbols,net_r,gross_r,cost_r,mean_net_r,mean_gross_r,mean_cost_r,t_stat_net_r,profit_factor_net_r,win_rate,net_r_share
atr_pct,unknown,823,64,-28.769833168510143,19.33945983544915,48.109293003959294,-0.034957269949587054,0.0234987361305579,0.05845600608014495,-0.9870512350289755,0.9320468971706092,0.5091130012150669,1.0
cost_r,"(0.05,0.1]R",375,62,-37.595010405757996,-11.707747304238977,25.887263101519025,-0.10025336108202132,-0.031220659477970605,0.06903270160405073,-1.8908225598095951,0.8188749136912566,0.472,1.3067510744868482
cost_r,"(0.1,0.15]R",74,33,-1.5445905154512074,6.930323252521546,8.474913767972753,-0.020872844803394696,0.09365301692596684,0.11452586172936152,-0.1750040993431006,0.958759134339309,0.5540540540540541,0.05368785096542827
cost_r,"(-inf,0.05]R",374,62,10.369767752699065,24.116883887166583,13.747116134467515,0.027726651745184665,0.0644836467571299,0.03675699501194522,0.5352573005989713,1.0581391902342214,0.5374331550802139,-0.36043892545227674
entry_month,2025-05,45,30,-11.538550987756693,-9.12155560642073,2.4169953813359637,-0.25641224417237096,-0.20270123569823845,0.05371100847413253,-1.6404297956031944,0.6026810549383153,0.35555555555555557,0.4010642300277969
entry_month,2026-05,58,39,-7.154603392441258,-3.4752254276034122,3.6793779648378453,-0.12335523090415962,-0.05991767978626573,0.06343755111789388,-0.9314881066291517,0.7789634279912692,0.4827586206896552,0.24868421553004652
entry_month,2026-06,41,32,-7.042834262972638,-4.665028550367374,2.3778057126052636,-0.17177644543835704,-0.1137811841553018,0.05799526128305521,-1.0446020159988152,0.7134048029272633,0.4146341463414634,0.2447992736600688
entry_month,2026-04,57,37,-6.884144841321708,-3.1098820000260505,3.774262841295658,-0.12077447090038085,-0.05455933333379036,0.06621513756659049,-0.8750469056962775,0.7895092175773211,0.45614035087719296,0.23928344669223559
entry_month,2025-07,53,31,-6.152275254711811,-3.1137858280025315,3.0384894267092797,-0.11608066518324171,-0.05875067600004776,0.05732998918319396,-0.8233219862794112,0.7941621885301022,0.4716981132075472,0.21384466217363224
entry_month,2025-09,54,34,-5.5548088348020235,-1.6044000085732082,3.950408826228815,-0.10286683027411155,-0.029711111269874226,0.07315571900423731,-0.7733129782377087,0.8033077429829347,0.48148148148148145,0.19307754766134716
entry_month,2025-10,39,27,-4.007875580812476,-1.6918919259098555,2.31598365490262,-0.10276604053365322,-0.043381844254098856,0.05938419627955435,-0.5871880339967045,0.8227704526865154,0.46153846153846156,0.1393082663127596
entry_month,2026-03,53,34,-2.9993312112343906,0.3938591219613983,3.3931903331957884,-0.05659115492895077,0.007431304187950911,0.06402245911690167,-0.4024108047986773,0.8929955838528308,0.5094339622641509,0.1042526452505568
entry_month,2025-01,30,23,-0.1958258748676085,1.110868682846466,1.3066945577140743,-0.006527529162253617,0.0370289560948822,0.04355648525713581,-0.03490283300140342,0.9869291016051311,0.5,0.006806639222432079
entry_month,2025-04,46,33,-0.06943662613910576,2.423362247785029,2.492798873924135,-0.0015094918725892556,0.05268178799532672,0.05419127986791598,-0.009787760804467764,0.9970236442511884,0.5217391304347826,0.0024135220295648852
entry_month,2025-03,35,25,0.6665852080574286,2.55223307008503,1.885647862027601,0.019045291658783676,0.07292094485957229,0.0538756532007886,0.12151354960608789,1.043864157769051,0.5714285714285714,-0.02316958892855297
entry_month,2025-08,34,26,0.922075045167353,2.8280419674609267,1.9059669222935742,0.027119854269628027,0.08317770492532138,0.05605785065569336,0.1639657754044891,1.0603042899657344,0.5588235294117647,-0.03205006576738182
entry_month,2025-02,47,30,1.616227461850242,4.014694048978461,2.3984665871282194,0.03438781833723919,0.08541902231869065,0.05103120398145147,0.23456933185714554,1.0728053816806853,0.5531914893617021,-0.056177853113839896
entry_month,2025-06,48,32,1.8622508953388919,4.841329355025,2.979078459686108,0.03879689365289358,0.1008610282296875,0.06206413457679392,0.26797284991149584,1.082614075069116,0.5625,-0.06472929072724717
entry_month,2026-01,52,34,1.902651198966682,5.029661172708421,3.127009973741738,0.03658944613397465,0.09672425332131579,0.06013480718734111,0.25098551580210604,1.073887700164542,0.5384615384615384,-0.06613354995221933
entry_month,2025-11,54,38,3.0738855902867903,5.88355894972409,2.8096733594373,0.05692380722753315,0.10895479536526093,0.05203098813772778,0.41381176903471195,1.124944260336672,0.5555555555555556,-0.10684405336250939
entry_month,2026-02,32,27,5.0686058161958645,6.740122359572524,1.6715165433766594,0.15839393175612076,0.21062882373664138,0.05223489198052061,0.9208077026465614,1.397395351429704,0.625,-0.1761777966006309
entry_month,2025-12,45,33,7.717572482686319,10.303498206204969,2.58592572351865,0.17150161072636264,0.22896662680455487,0.05746501607819222,1.0879741462036392,1.400524895273367,0.6,-0.26825225010805914
entry_utc_hour,13,41,27,-13.346395729840658,-10.53616145935293,2.810234270487728,-0.32552184706928433,-0.2569795477890959,0.06854229928018848,-2.0433649933969313,0.5249652842219111,0.36585365853658536,0.4639024373783606
entry_utc_hour,01,34,29,-11.147285343597058,-9.201364467934267,1.9459208756627908,-0.3278613336352076,-0.270628366703949,0.05723296693125855,-2.00009012254306,0.50131946486604,0.38235294117647056,0.3874643720839597
entry_utc_hour,03,27,23,-10.584209273180038,-9.110280508222944,1.4739287649570934,-0.3920077508585199,-0.3374177966008498,0.054589954257670124,-2.188122212061189,0.4260917376419264,0.3333333333333333,0.3678926190216815
entry_utc_hour,23,32,21,-8.301108522859368,-6.441024256170948,1.860084266688419,-0.25940964133935523,-0.20128200800534213,0.05812763333401309,-1.4677717030288904,0.5906600540435555,0.40625,0.2885351636986654
entry_utc_hour,06,33,27,-7.29639035602296,-5.103437084123009,2.1929532718999507,-0.22110273806130182,-0.15464960860978813,0.06645312945151366,-1.2330147306323695,0.6437058250971064,0.42424242424242425,0.2536125362036921
entry_utc_hour,00,36,32,-7.058673681119902,-5.212237834987251,1.8464358461326509,-0.19607426891999727,-0.1447843843052014,0.05128988461479586,-1.198057563001131,0.6652849551306985,0.4444444444444444,0.24534983014242615
entry_utc_hour,15,38,32,-6.65058942194189,-4.491399178185244,2.159190243756647,-0.17501551110373395,-0.11819471521540115,0.05682079588833282,-1.036769690240799,0.7066921107223761,0.42105263157894735,0.2311653801740239
entry_utc_hour,21,35,28,-6.625611562877339,-4.468514980398875,2.157096582478464,-0.1893031875107811,-0.12767185658282498,0.061631330927956106,-1.0640305563162105,0.6914886670607129,0.42857142857142855,0.2302971840006832
entry_utc_hour,17,33,27,-4.454747033264464,-2.695988767125949,1.7587582661385148,-0.13499233434134741,-0.08169662930684693,0.05329570503450045,-0.7627824259016404,0.7591580376854228,0.45454545454545453,0.1548409059994266
entry_utc_hour,22,26,20,-3.3284992107327502,-1.8491455733136901,1.4793536374190608,-0.12801920041279807,-0.07112098358898808,0.05689821682381003,-0.7079818232206955,0.7426188159030149,0.4230769230769231,0.11569407411009738
entry_utc_hour,20,38,29,-3.2298744926527294,-1.2094773098923683,2.0203971827603606,-0.08499669717507183,-0.03182835026032548,0.05316834691474633,-0.4914451615527272,0.8487501940162658,0.47368421052631576,0.11226601397841855
entry_utc_hour,05,35,27,-2.5603867932819506,-0.561807015843616,1.998579777438334,-0.07315390837948431,-0.016051629024103314,0.057102279355380973,-0.4138213399672971,0.8662188172378363,0.4857142857142857,0.08899553842684105
entry_utc_hour,18,32,26,-0.9659945998861728,1.007333882696917,1.97332848258309,-0.0301873312464429,0.031479183834278654,0.06166651508072156,-0.16761254214727095,0.9405473308771752,0.53125,0.03357664934058417
entry_utc_hour,08,30,25,-0.794056747842161,0.8695669082440737,1.6636236560862343,-0.026468558261405366,0.02898556360813579,0.05545412186954114,-0.1334601092252348,0.9501980545693502,0.5,0.027600325076312618
entry_utc_hour,10,27,24,0.7409451832267352,2.3182156900793878,1.5772705068526527,0.027442414193582784,0.08585984037331065,0.05841742617972788,0.13977951570603558,1.0576458662892068,0.5555555555555556,-0.025754239827769754
entry_utc_hour,02,39,31,0.8323515921968256,2.8957739264054334,2.0634223342086075,0.021342348517867323,0.07425061349757521,0.05290826497970789,0.1293930469548204,1.0435314907781845,0.5384615384615384,-0.028931401420425034
entry_utc_hour,07,38,29,2.731567469725838,4.866013695788432,2.1344462260625936,0.07188335446646942,0.12805299199443243,0.05616963752796299,0.44415593884886556,1.1591998397358318,0.5789473684210527,-0.09494554430422139
entry_utc_hour,19,36,25,3.2666740773221745,5.187904748977926,1.9212306716557521,0.09074094659228263,0.14410846524938684,0.05336751865710423,0.5342315807317707,1.2025683857725629,0.5555555555555556,-0.1135451171436647
entry_utc_hour,12,27,22,3.4855242429443565,5.150948288161306,1.66542404521695,0.12909349047942062,0.19077586252449283,0.06168237204507222,0.6193250761272973,1.2842392603407122,0.5555555555555556,-0.12115204918043866
entry_utc_hour,11,38,29,4.160946144935532,6.454449792854429,2.293503647918896,0.10949858276146136,0.1698539419172218,0.06035535915576042,0.648145229695626,1.2432379482403784,0.5789473684210527,-0.14462878948807642
entry_utc_hour,09,29,22,6.899151548400955,8.50719826790552,1.6080467195045678,0.2379017775310674,0.2933516644105352,0.055449886879467856,1.2914745960411655,1.6436395972855211,0.6551724137931034,-0.23980505927828535
entry_utc_hour,14,47,34,8.730250160474801,11.764176935910672,3.03392677543587,0.18575000341435746,0.2503016369342696,0.06455163351991212,1.3235144085878003,1.5006115816369903,0.6170212765957447,-0.3034515393029963
entry_utc_hour,16,41,33,12.475960714488917,14.812664492642945,2.336703778154028,0.3042917247436321,0.36128449982055966,0.05699277507692751,1.9796825692702462,1.8930858008453701,0.6829268292682927,-0.4336473083251803
entry_utc_hour,04,31,25,14.250618466873165,16.386051641333204,2.1354331744600366,0.45969736989913434,0.5285823110107485,0.06888494111161408,2.9574117686467303,2.8702150225701772,0.7741935483870968,-0.49533198136411505
exit_path,SL,393,63,-420.71346627852404,-396.9924101281633,23.72105615036073,-1.0705177258995522,-1.0101588043973622,0.06035892150219015,-722.002428694029,0.0,0.0,14.623423911231212
exit_path,TP1+SL,9,7,-2.5241952261531893,-2.063182877826156,0.4610123483270335,-0.28046613623924327,-0.229242541980684,0.05122359425855928,-9.307157025258237,0.0,0.0,0.08773756911861529
exit_path,EOP,1,1,-0.10359400307752548,-0.07403935802547923,0.02955464505204625,-0.10359400307752548,-0.07403935802547923,0.02955464505204625,0.0,0.0,0.0,0.0036007856726438616
exit_path,TIME,1,1,0.6966842963595925,0.7541166987738819,0.05743240241428936,0.6966842963595925,0.7541166987738819,0.05743240241428936,0.0,inf,1.0,-0.024215792016553796
exit_path,SL_same_bar,1,1,0.7536381499148856,0.8782618581573675,0.12462370824248183,0.7536381499148856,0.8782618581573675,0.12462370824248183,0.0,inf,1.0,-0.02619542996654482
exit_path,TP1+TP2,20,19,21.932248662329187,23.002577512808315,1.0703288504791282,1.0966124331164593,1.1501288756404158,0.05351644252395641,8.29289093102378,inf,1.0,-0.7623349267918246
exit_path,TRAIL_SL,190,61,149.37617442724536,159.98855250272794,10.612378075482564,0.786190391722344,0.8420450131722523,0.05585462144990823,83.40495916487058,4091.8274577458524,0.9947368421052631,-5.192111249040686
exit_path,TP1+TRAIL_SL,208,59,221.8126768033956,233.84558362699659,12.032906823601019,1.0664071000163249,1.1242576135913298,0.0578505135750049,73.30810883918475,inf,1.0,-7.709904868206862
hold_minutes,"(240,720]m",308,64,-12.284677912790292,5.370541039359694,17.655218952149987,-0.03988531789866978,0.017436821556362645,0.05732213945503242,-0.6866130216232541,0.9230167418604305,0.5032467532467533,0.4269985801042606
hold_minutes,"(-inf,15]m",8,8,-8.831574439388463,-8.119471821868022,0.7121026175204412,-1.103946804923558,-1.0149339777335027,0.08901282719005515,-103.68837113941653,0.0,0.0,0.3069734324721428
hold_minutes,"(15,60]m",60,38,-8.108719525414934,-3.609053860207526,4.4996656652074085,-0.13514532542358224,-0.06015089767012543,0.07499442775345681,-1.0248814200607983,0.7607628133400112,0.4666666666666667,0.2818479856285815
hold_minutes,"(60,240]m",245,62,-1.0783414655955177,14.632692415388085,15.711033880983603,-0.004401393737124562,0.05972527516484933,0.0641266689019739,-0.06755752350316796,0.9912107885854492,0.5346938775510204,0.03748167253106668
hold_minutes,"(720,1440]m",129,52,-0.2662174746892313,6.133467349209644,6.399684823898875,-0.0020637013541800874,0.04754625852100499,0.04960995987518508,-0.022801126604948534,0.995895846910704,0.5116279069767442,0.009253354829343193
hold_minutes,"(1440,inf)m",73,43,1.7996976493682975,4.931284713567276,3.1315870641989783,0.024653392457099965,0.06755184539133255,0.04289845293423258,0.21593267161730664,1.0536877566778826,0.5342465753424658,-0.06255502556539487
htf,unknown,823,64,-28.769833168510143,19.33945983544915,48.109293003959294,-0.034957269949587054,0.0234987361305579,0.05845600608014495,-0.9870512350289755,0.9320468971706092,0.5091130012150669,1.0
