ts,o,h,l,c,v
1614211200,1803.2100000000,1803.7700000000,1803.0550000000,1803.6400000000,0.29
1614211500,1803.6500000000,1804.3385000000,1803.2350000000,1803.4800000000,0.22
1614211800,1803.4850000000,1803.6135000000,1802.8500000000,1803.0285000000,0.23
1614212100,1803.0035000000,1803.3885000000,1802.8635000000,1803.3735000000,0.19
1614212400,1803.3700000000,1803.4785000000,1802.3500000000,1802.3900000000,0.15
1614212700,1802.3850000000,1802.3850000000,1801.5275000000,1802.0485000000,0.17
1614213000,1802.0535000000,1802.2600000000,1801.6285000000,1802.1700000000,0.21
1614213300,1802.1450000000,1802.2600000000,1802.0200000000,1802.1100000000,0.19
1614213600,1802.1200000000,1802.3950000000,1801.7465000000,1802.2385000000,0.20
1614213900,1802.2535000000,1802.4285000000,1801.7200000000,1801.8435000000,0.17
1614214200,1801.8535000000,1801.9235000000,1800.5025000000,1800.5025000000,0.29
1614214500,1800.4525000000,1800.5125000000,1798.3915000000,1798.3915000000,0.57
1614214800,1798.5260000000,1801.5285000000,1798.5260000000,1801.0900000000,1.03
1614215100,1801.0615000000,1801.0615000000,1798.6200000000,1799.9085000000,0.78
1614215400,1799.9135000000,1801.6025000000,1799.8885000000,1801.2500000000,0.73
1614215700,1801.2400000000,1801.9335000000,1800.9865000000,1801.3150000000,0.71
1614216000,1801.3200000000,1801.5835000000,1800.6150000000,1801.5135000000,0.46
1614216300,1801.5185000000,1802.0635000000,1800.5450000000,1801.6935000000,0.65
1614216600,1801.6885000000,1802.9535000000,1801.5900000000,1802.7550000000,0.55
1614216900,1802.7850000000,1802.9085000000,1800.7545000000,1800.8925000000,0.61
1614217200,1800.8900000000,1801.1525000000,1798.6575000000,1798.8175000000,0.95
1614217500,1798.8225000000,1799.9950000000,1798.7275000000,1799.8335000000,0.65
1614217800,1799.8435000000,1799.8435000000,1797.2150000000,1797.2150000000,0.61
1614218100,1797.2100000000,1798.0700000000,1796.9550000000,1797.0900000000,0.39
1614218400,1797.0750000000,1797.8750000000,1796.7300000000,1797.5950000000,0.56
1614218700,1797.6150000000,1798.4750000000,1797.0015000000,1798.2825000000,0.50
1614219000,1798.2875000000,1798.8585000000,1798.1665000000,1798.4300000000,0.60
1614219300,1798.4550000000,1799.1650000000,1798.4500000000,1798.9800000000,0.34
1614219600,1798.9650000000,1799.7800000000,1798.9450000000,1799.6450000000,0.23
1614219900,1799.6650000000,1800.0300000000,1799.5650000000,1800.0100000000,0.27
1614220200,1800.0400000000,1800.3235000000,1798.9165000000,1799.5250000000,0.64
1614220500,1799.5400000000,1799.6700000000,1798.3315000000,1798.7600000000,0.51
1614220800,1798.7800000000,1799.0265000000,1797.6000000000,1798.0515000000,0.61
1614221100,1798.0565000000,1798.1635000000,1797.5115000000,1797.5265000000,0.47
1614221400,1797.5275000000,1797.6065000000,1795.2450000000,1795.3415000000,0.60
1614221700,1795.3515000000,1796.7000000000,1794.6465000000,1796.4775000000,0.46
1614222000,1796.5000000000,1797.5285000000,1796.4725000000,1797.2585000000,0.45
1614222300,1797.2635000000,1797.7250000000,1797.0600000000,1797.1800000000,0.29
1614222600,1797.1950000000,1797.5500000000,1796.5950000000,1796.8300000000,0.47
1614222900,1796.8100000000,1797.1250000000,1795.4100000000,1795.6850000000,0.52
1614223200,1795.6650000000,1796.0600000000,1794.0525000000,1795.1750000000,0.55
1614223500,1795.1800000000,1796.3300000000,1795.1800000000,1796.2350000000,0.42
1614223800,1796.2550000000,1796.2950000000,1795.4050000000,1796.0700000000,0.33
1614224100,1796.1125000000,1796.2650000000,1795.3000000000,1795.7050000000,0.25
1614224400,1795.7200000000,1796.6050000000,1795.6500000000,1796.1335000000,0.21
1614224700,1796.1385000000,1796.3135000000,1795.4850000000,1795.6100000000,0.16
1614225000,1795.6175000000,1795.9800000000,1795.2535000000,1795.9800000000,0.17
1614225300,1795.9900000000,1796.8000000000,1795.7750000000,1796.8000000000,0.21
1614225600,1796.7890000000,1797.1025000000,1796.6000000000,1796.7150000000,0.19
1614225900,1796.7250000000,1796.8835000000,1796.1300000000,1796.8685000000,0.14
1614226200,1796.8585000000,1797.4450000000,1796.8250000000,1797.3750000000,0.10
1614226500,1797.3800000000,1799.2100000000,1797.3700000000,1799.0900000000,0.25
1614226800,1799.0850000000,1799.1300000000,1797.7675000000,1798.0525000000,0.53
1614227100,1798.0975000000,1798.6625000000,1797.7350000000,1797.7900000000,0.51
1614227400,1797.7865000000,1798.0325000000,1797.6125000000,1797.8275000000,0.31
1614227700,1797.8325000000,1798.4225000000,1797.6215000000,1798.2300000000,0.24
1614228000,1798.2250000000,1798.8450000000,1798.0250000000,1798.7650000000,0.17
1614228300,1798.7600000000,1799.1635000000,1798.6450000000,1798.7100000000,0.18
1614228600,1798.7000000000,1798.8075000000,1798.1715000000,1798.6000000000,0.31
1614228900,1798.6200000000,1798.7000000000,1797.9775000000,1798.0950000000,0.32
1614229200,1798.0800000000,1798.4335000000,1797.4950000000,1797.6450000000,0.32
1614229500,1797.6300000000,1797.9200000000,1797.4265000000,1797.4950000000,0.20
1614229800,1797.4850000000,1797.5100000000,1796.7815000000,1796.8115000000,0.52
1614230100,1796.8125000000,1797.4915000000,1796.6815000000,1797.4800000000,0.50
1614230400,1797.4750000000,1797.7875000000,1797.1165000000,1797.4550000000,0.46
1614230700,1797.4900000000,1797.9500000000,1797.3215000000,1797.4175000000,0.35
1614231000,1797.4165000000,1799.3085000000,1796.2615000000,1798.6750000000,0.94
1614231300,1798.6700000000,1798.9300000000,1797.7400000000,1797.8600000000,0.46
1614231600,1797.8700000000,1799.1635000000,1797.8050000000,1799.1635000000,0.38
1614231900,1799.1735000000,1800.2050000000,1798.5250000000,1800.1900000000,0.52
1614232200,1800.2050000000,1800.3100000000,1799.5960000000,1799.7565000000,0.58
1614232500,1799.7415000000,1801.1325000000,1799.7415000000,1800.7800000000,0.58
1614232800,1800.8200000000,1801.3335000000,1800.1015000000,1800.2615000000,0.57
1614233100,1800.2450000000,1800.2450000000,1795.9815000000,1796.8215000000,1.04
1614233400,1796.8165000000,1796.8165000000,1794.1400000000,1794.9200000000,0.89
1614233700,1794.9050000000,1796.2200000000,1794.9050000000,1795.8415000000,0.66
1614234000,1795.8465000000,1796.6765000000,1795.5415000000,1796.3750000000,0.55
1614234300,1796.4700000000,1796.4700000000,1795.4815000000,1796.1865000000,0.48
1614234600,1796.1815000000,1796.7000000000,1794.6715000000,1794.8665000000,0.65
1614234900,1794.8765000000,1795.4875000000,1794.2125000000,1795.4050000000,0.61
1614235200,1795.4200000000,1795.6875000000,1794.8215000000,1795.4315000000,0.49
1614235500,1795.4365000000,1795.5115000000,1793.3850000000,1794.1465000000,0.58
1614235800,1794.1750000000,1796.3050000000,1794.1500000000,1796.0950000000,0.49
1614236100,1796.1350000000,1797.0350000000,1796.1200000000,1796.7850000000,0.38
1614236400,1796.7900000000,1796.7950000000,1794.3550000000,1794.8650000000,0.64
1614236700,1794.8500000000,1795.0050000000,1792.6315000000,1792.6565000000,0.58
1614237000,1792.6465000000,1793.4550000000,1790.5075000000,1793.2350000000,0.66
1614237300,1793.2400000000,1794.1665000000,1792.6165000000,1793.1200000000,0.52
1614237600,1793.1200000000,1793.3600000000,1791.6450000000,1792.4500000000,0.60
1614237900,1792.4600000000,1792.8890000000,1790.8700000000,1791.8800000000,0.66
1614238200,1791.8900000000,1793.4785000000,1791.5250000000,1792.5800000000,0.65
1614238500,1792.5825000000,1793.0575000000,1791.9650000000,1792.6975000000,0.65
1614238800,1792.6875000000,1793.4535000000,1792.2015000000,1793.2135000000,0.49
1614239100,1793.1935000000,1793.5800000000,1792.4650000000,1792.5975000000,0.49
1614239400,1792.5965000000,1792.9035000000,1791.9450000000,1792.7200000000,0.62
1614239700,1792.7150000000,1794.8735000000,1792.1975000000,1794.6400000000,0.73
1614240000,1794.6500000000,1794.6525000000,1792.0700000000,1792.5435000000,0.80
1614240300,1792.5600000000,1792.5600000000,1789.4150000000,1791.8885000000,0.82
1614240600,1791.8785000000,1793.4750000000,1791.2885000000,1792.3300000000,0.74
1614240900,1792.3150000000,1792.3150000000,1789.0700000000,1789.0850000000,0.82
1614241200,1789.0700000000,1790.3435000000,1788.9615000000,1789.9665000000,0.77
1614241500,1789.9215000000,1790.9150000000,1789.2725000000,1789.4885000000,0.76
1614241800,1789.4750000000,1790.4335000000,1789.0400000000,1790.3400000000,0.72
1614242100,1790.3550000000,1791.5235000000,1789.4750000000,1790.0035000000,0.67
1614242400,1789.9950000000,1790.2325000000,1788.4925000000,1789.4400000000,0.80
1614242700,1789.4500000000,1791.0300000000,1788.9700000000,1789.6300000000,0.66
1614243000,1789.6200000000,1790.2675000000,1788.2800000000,1788.6100000000,0.82
1614243300,1788.5950000000,1790.6635000000,1788.0050000000,1790.5435000000,0.70
1614243600,1790.5725000000,1790.9385000000,1788.3615000000,1788.5550000000,1.00
1614243900,1788.5650000000,1790.1185000000,1788.4500000000,1789.9935000000,0.68
1614244200,1789.9885000000,1792.0585000000,1789.8435000000,1792.0200000000,0.66
1614244500,1792.0250000000,1792.6735000000,1790.9000000000,1790.9300000000,0.74
1614244800,1790.9200000000,1791.3450000000,1787.3365000000,1787.9550000000,0.76
1614245100,1787.9600000000,1789.9900000000,1787.4750000000,1789.9500000000,0.85
1614245400,1789.9650000000,1791.1485000000,1789.0900000000,1790.9235000000,0.93
1614245700,1790.9125000000,1792.1635000000,1790.9125000000,1791.9675000000,0.57
1614246000,1791.9725000000,1793.6600000000,1791.8800000000,1793.2350000000,0.62
1614246300,1793.2300000000,1793.2300000000,1792.1450000000,1792.4135000000,0.53
1614246600,1792.3800000000,1792.9635000000,1791.7085000000,1792.1800000000,0.46
1614246900,1792.1900000000,1794.7925000000,1792.1900000000,1794.5100000000,0.69
1614247200,1794.5125000000,1794.9235000000,1793.8135000000,1794.4300000000,0.51
1614247500,1794.4250000000,1794.8700000000,1793.9685000000,1794.2235000000,0.50
1614247800,1794.2635000000,1795.1500000000,1793.6900000000,1793.7985000000,0.59
1614248100,1793.8150000000,1795.3635000000,1793.6085000000,1793.6950000000,0.52
1614248400,1793.6900000000,1794.7700000000,1793.3250000000,1793.3950000000,0.56
1614248700,1793.3850000000,1793.5500000000,1791.8800000000,1792.0050000000,0.73
1614249000,1792.0100000000,1793.8880000000,1791.8450000000,1793.5980000000,0.78
1614249300,1793.5830000000,1794.1600000000,1792.9550000000,1793.8850000000,0.64
1614249600,1793.9000000000,1794.1550000000,1792.0750000000,1792.0750000000,0.69
1614249900,1792.0665000000,1794.3230000000,1792.0565000000,1793.5400000000,0.99
1614250200,1793.5250000000,1794.4230000000,1792.5700000000,1793.4650000000,0.87
1614250500,1793.4200000000,1794.8650000000,1793.3200000000,1794.8650000000,0.64
1614250800,1794.8850000000,1795.2900000000,1794.0050000000,1794.2465000000,0.62
1614251100,1794.2650000000,1794.4865000000,1792.9875000000,1793.2065000000,0.46
1614251400,1793.2115000000,1793.5665000000,1792.7500000000,1792.8115000000,0.56
1614251700,1792.8150000000,1793.2150000000,1790.6280000000,1790.9150000000,0.87
1614252000,1790.9000000000,1791.3500000000,1788.4800000000,1788.7165000000,0.92
1614252300,1788.7115000000,1789.9300000000,1788.3065000000,1789.4850000000,0.91
1614252600,1789.5125000000,1789.6335000000,1787.1300000000,1787.1750000000,0.80
1614252900,1787.1500000000,1787.9700000000,1786.2600000000,1786.4150000000,0.78
1614253200,1786.4150000000,1786.9650000000,1783.4000000000,1785.5550000000,1.19
1614253500,1785.5450000000,1785.9450000000,1781.5850000000,1782.8120000000,1.26
1614253800,1782.8085000000,1785.0820000000,1782.8085000000,1784.9735000000,1.00
1614254100,1784.9585000000,1787.3850000000,1784.8650000000,1786.7765000000,0.86
