ts,o,h,l,c,v
1611532800,1857.0035000000,1857.5020000000,1856.3190000000,1856.5450000000,0.26
1611533100,1856.5350000000,1857.0150000000,1856.3400000000,1856.4650000000,0.16
1611533400,1856.4600000000,1856.4760000000,1855.4265000000,1855.8535000000,0.24
1611533700,1855.8405000000,1856.6115000000,1855.7785000000,1856.4835000000,0.18
1611534000,1856.4315000000,1857.2100000000,1856.3885000000,1857.1300000000,0.27
1611534300,1857.1185000000,1857.4050000000,1857.0050000000,1857.1100000000,0.16
1611534600,1857.1250000000,1858.9845000000,1857.0750000000,1858.9265000000,0.30
1611534900,1858.9115000000,1859.8035000000,1858.8500000000,1859.3935000000,0.26
1611535200,1859.3885000000,1860.0400000000,1858.9615000000,1859.9735000000,0.21
1611535500,1859.9965000000,1860.0540000000,1858.6100000000,1858.9250000000,0.28
1611535800,1858.9335000000,1859.2650000000,1858.5000000000,1858.7500000000,0.23
1611536100,1858.7400000000,1858.8750000000,1857.8815000000,1858.4100000000,0.24
1611536400,1858.3950000000,1860.0650000000,1856.2415000000,1857.4450000000,0.86
1611536700,1857.4515000000,1858.7090000000,1857.4515000000,1858.6235000000,0.45
1611537000,1858.6600000000,1859.2185000000,1858.1650000000,1858.3565000000,0.60
1611537300,1858.4150000000,1859.1615000000,1856.3650000000,1856.4785000000,0.58
1611537600,1856.4300000000,1856.4300000000,1855.2365000000,1855.6165000000,0.89
1611537900,1855.6450000000,1856.4390000000,1854.4590000000,1854.8965000000,0.82
1611538200,1854.8915000000,1856.3540000000,1854.4760000000,1854.4785000000,0.87
1611538500,1854.4815000000,1855.4615000000,1853.6115000000,1853.8365000000,0.85
1611538800,1853.8265000000,1854.8450000000,1853.4355000000,1853.4400000000,0.55
1611539100,1853.4595000000,1854.8415000000,1852.8700000000,1854.6650000000,0.68
1611539400,1854.6700000000,1854.7250000000,1853.3765000000,1854.2765000000,0.80
1611539700,1854.2715000000,1855.1900000000,1853.5520000000,1855.0100000000,0.44
1611540000,1855.0000000000,1855.2650000000,1854.1700000000,1854.8700000000,0.34
1611540300,1854.8800000000,1855.8450000000,1854.8200000000,1855.3300000000,0.44
1611540600,1855.3165000000,1855.3165000000,1854.0015000000,1854.1265000000,0.48
1611540900,1854.1215000000,1855.7285000000,1854.0565000000,1855.6890000000,0.25
1611541200,1855.6715000000,1855.8890000000,1855.3515000000,1855.7165000000,0.20
1611541500,1855.7215000000,1855.8735000000,1855.0865000000,1855.1115000000,0.21
1611541800,1855.1215000000,1856.0865000000,1855.0015000000,1856.0215000000,0.45
1611542100,1856.0465000000,1856.1515000000,1855.4315000000,1855.8175000000,0.43
