ts,o,h,l,c,v
1613952000,1783.4205000000,1784.1805000000,1782.5200000000,1783.2600000000,0.44
1613952300,1783.2650000000,1785.5400000000,1783.2100000000,1785.4250000000,0.38
1613952600,1785.4400000000,1785.9600000000,1784.6050000000,1785.8900000000,0.37
1613952900,1785.8800000000,1786.0400000000,1785.1400000000,1785.6700000000,0.35
1613953200,1785.7050000000,1785.9350000000,1785.2400000000,1785.2900000000,0.25
1613953500,1785.2350000000,1785.2350000000,1784.1285000000,1784.3250000000,0.29
1613953800,1784.4150000000,1786.3680000000,1784.3000000000,1785.7115000000,0.50
1613954100,1785.7215000000,1785.9050000000,1785.1850000000,1785.8050000000,0.35
1613954400,1785.7950000000,1786.2915000000,1785.0515000000,1786.1275000000,0.21
1613954700,1786.0755000000,1786.2055000000,1784.6315000000,1784.7930000000,0.37
1613955000,1784.8315000000,1785.5150000000,1784.8315000000,1784.9450000000,0.27
1613955300,1784.9400000000,1785.6385000000,1784.9030000000,1785.4250000000,0.32
1613955600,1785.4400000000,1788.3805000000,1785.0750000000,1786.8195000000,1.07
1613955900,1786.8145000000,1789.1535000000,1786.1445000000,1788.2600000000,0.83
1613956200,1788.2500000000,1788.3700000000,1786.9750000000,1787.4800000000,0.58
1613956500,1787.4700000000,1789.6700000000,1787.2250000000,1789.5935000000,0.79
1613956800,1789.6035000000,1789.6535000000,1787.3500000000,1788.3300000000,0.82
1613957100,1788.2900000000,1789.6250000000,1787.7950000000,1789.3800000000,0.51
1613957400,1789.3670000000,1789.4850000000,1787.9545000000,1788.3695000000,0.71
1613957700,1788.3715000000,1789.7085000000,1788.1915000000,1788.8700000000,0.83
1613958000,1788.8400000000,1789.3550000000,1787.1150000000,1787.4350000000,0.72
1613958300,1787.4370000000,1787.4465000000,1786.1140000000,1786.2210000000,1.07
1613958600,1786.2175000000,1787.0235000000,1785.7170000000,1786.7150000000,1.05
1613958900,1786.7270000000,1787.7145000000,1785.7025000000,1786.8300000000,0.75
1613959200,1786.8450000000,1787.3350000000,1786.1915000000,1786.9120000000,0.59
1613959500,1786.9320000000,1786.9320000000,1783.9000000000,1784.2150000000,0.78
1613959800,1784.2250000000,1785.3770000000,1783.8950000000,1785.1600000000,0.60
1613960100,1785.1550000000,1785.3000000000,1784.5550000000,1784.9050000000,0.74
1613960400,1784.8950000000,1785.4435000000,1784.7100000000,1785.3300000000,0.40
1613960700,1785.3550000000,1786.0295000000,1785.0450000000,1785.9750000000,0.33
1613961000,1785.9720000000,1787.3935000000,1785.5920000000,1787.3170000000,1.05
1613961300,1787.3270000000,1788.1045000000,1787.2635000000,1787.5200000000,0.68
1613961600,1787.5100000000,1787.5330000000,1785.7800000000,1785.9730000000,0.63
1613961900,1785.9830000000,1786.7100000000,1785.1880000000,1786.2900000000,0.74
1613962200,1786.2350000000,1786.6750000000,1785.1800000000,1785.2850000000,0.61
1613962500,1785.3200000000,1785.3850000000,1783.5935000000,1783.6695000000,0.75
1613962800,1783.6595000000,1784.4320000000,1782.7795000000,1784.4250000000,0.81
1613963100,1784.4400000000,1784.9795000000,1784.4250000000,1784.4305000000,0.65
1613963400,1784.4365000000,1784.9250000000,1784.1195000000,1784.6660000000,1.17
1613963700,1784.6645000000,1786.2770000000,1784.6170000000,1785.2355000000,0.77
1613964000,1785.2315000000,1785.5985000000,1784.4605000000,1785.5045000000,0.95
1613964300,1785.5095000000,1786.0550000000,1785.3985000000,1785.4950000000,0.69
1613964600,1785.4720000000,1785.7145000000,1784.8150000000,1785.1000000000,0.51
1613964900,1785.0900000000,1785.3370000000,1784.8895000000,1785.2400000000,0.22
1613965200,1785.2450000000,1785.2450000000,1781.8945000000,1781.9545000000,0.38
1613965500,1781.9895000000,1782.7485000000,1780.7745000000,1782.7435000000,0.43
1613965800,1782.7485000000,1783.4120000000,1782.7485000000,1782.9745000000,0.28
1613966100,1782.9495000000,1784.0285000000,1782.8485000000,1783.8920000000,0.17
1613966400,1783.8900000000,1784.5770000000,1783.7195000000,1784.2940000000,0.70
1613966700,1784.2955000000,1784.3615000000,1783.8020000000,1783.9170000000,0.54
1613967000,1783.9120000000,1784.7035000000,1783.8370000000,1784.4145000000,0.21
1613967300,1784.4045000000,1784.9035000000,1784.0270000000,1784.8635000000,0.17
1613967600,1784.8685000000,1785.2850000000,1784.4170000000,1784.4600000000,0.16
1613967900,1784.4650000000,1785.0120000000,1784.3250000000,1784.9920000000,0.28
1613968200,1784.9795000000,1785.1970000000,1784.0100000000,1784.2450000000,0.38
1613968500,1784.1850000000,1784.6135000000,1784.0850000000,1784.1045000000,0.27
1613968800,1784.1095000000,1784.4145000000,1783.9200000000,1783.9950000000,0.23
1613969100,1783.9400000000,1784.7300000000,1783.6720000000,1784.3520000000,0.21
1613969400,1784.3495000000,1784.7570000000,1784.2135000000,1784.6385000000,0.18
1613969700,1784.6535000000,1785.4000000000,1784.6535000000,1784.9200000000,0.24
1613970000,1784.9050000000,1786.6620000000,1784.8950000000,1786.5300000000,0.43
1613970300,1786.5550000000,1786.7050000000,1785.8030000000,1786.3350000000,0.32
1613970600,1786.2705000000,1786.8230000000,1786.1580000000,1786.4880000000,0.32
1613970900,1786.4930000000,1786.5830000000,1785.7780000000,1785.9385000000,0.27
1613971200,1785.9485000000,1787.4270000000,1785.6800000000,1787.3720000000,0.42
1613971500,1787.3770000000,1787.5970000000,1786.1480000000,1786.5685000000,0.49
1613971800,1786.5785000000,1787.9770000000,1786.5685000000,1787.6120000000,0.72
1613972100,1787.6220000000,1788.7400000000,1787.5320000000,1787.8430000000,0.55
1613972400,1787.8440000000,1788.4350000000,1787.4955000000,1787.9000000000,0.68
1613972700,1787.8900000000,1789.4450000000,1787.7450000000,1789.2005000000,0.55
1613973000,1789.2020000000,1790.2645000000,1788.5820000000,1790.1495000000,0.69
1613973300,1790.1445000000,1790.5385000000,1789.2820000000,1789.4900000000,0.54
1613973600,1789.4930000000,1790.6935000000,1788.8905000000,1790.6535000000,0.77
1613973900,1790.6735000000,1791.5370000000,1790.1120000000,1790.8865000000,0.59
1613974200,1790.8915000000,1795.0970000000,1790.8105000000,1793.5920000000,0.92
1613974500,1793.5670000000,1793.6670000000,1791.7900000000,1793.0150000000,0.71
1613974800,1793.0050000000,1793.3450000000,1792.1245000000,1793.1170000000,0.51
1613975100,1793.1120000000,1793.8120000000,1792.9545000000,1793.4720000000,0.46
1613975400,1793.4670000000,1793.6330000000,1791.9930000000,1792.3230000000,0.51
1613975700,1792.3280000000,1792.9400000000,1791.4600000000,1792.9400000000,0.61
