ts,o,h,l,c,v
1609718400,1913.2785000000,1913.6165000000,1911.5650000000,1911.5650000000,0.52
1609718700,1911.5600000000,1912.2065000000,1911.1250000000,1911.3550000000,0.28
1609719000,1911.3400000000,1911.4600000000,1910.5500000000,1910.5900000000,0.37
1609719300,1910.6150000000,1910.9650000000,1910.0315000000,1910.1500000000,0.32
1609719600,1910.2000000000,1911.1365000000,1910.2000000000,1910.8215000000,0.14
1609719900,1910.8015000000,1911.3115000000,1910.3715000000,1911.1265000000,0.13
1609720200,1911.0665000000,1912.1105000000,1910.8315000000,1911.8765000000,0.15
1609720500,1911.9015000000,1912.4135000000,1910.5050000000,1911.5920000000,0.17
1609720800,1911.5420000000,1912.2065000000,1911.1050000000,1911.7165000000,0.14
1609721100,1911.6415000000,1912.0200000000,1911.4165000000,1911.8215000000,0.12
1609721400,1911.8765000000,1912.8885000000,1911.4215000000,1912.8335000000,0.23
1609721700,1912.8235000000,1913.7350000000,1911.5800000000,1913.5115000000,0.27
1609722000,1913.5015000000,1915.5300000000,1912.3680000000,1914.5100000000,0.72
1609722300,1914.4580000000,1917.0750000000,1914.4100000000,1916.6820000000,0.77
1609722600,1916.6870000000,1917.0200000000,1915.8955000000,1916.5550000000,0.57
1609722900,1916.4100000000,1916.7735000000,1914.0250000000,1914.1985000000,0.42
1609723200,1914.2135000000,1915.1935000000,1914.0615000000,1914.4100000000,0.34
1609723500,1914.4230000000,1915.3935000000,1914.4230000000,1915.0485000000,0.38
1609723800,1915.0535000000,1915.4685000000,1913.3830000000,1913.6335000000,0.48
1609724100,1913.6885000000,1915.4785000000,1913.6885000000,1915.3735000000,0.27
1609724400,1915.4085000000,1918.1800000000,1915.1985000000,1917.2035000000,0.43
1609724700,1917.2100000000,1918.3620000000,1915.2830000000,1917.5300000000,0.41
1609725000,1917.5715000000,1918.8735000000,1917.2950000000,1917.4765000000,0.32
1609725300,1917.5115000000,1917.8215000000,1916.7545000000,1916.7645000000,0.29
1609725600,1916.7815000000,1917.1845000000,1915.6330000000,1915.7330000000,0.38
1609725900,1915.7235000000,1917.7885000000,1915.6935000000,1917.7335000000,0.35
