ts,o,h,l,c,v
1613692800,1771.7200000000,1771.7200000000,1769.7615000000,1770.0355000000,0.75
1613693100,1769.9925000000,1772.2355000000,1769.8665000000,1772.0550000000,0.61
1613693400,1772.0800000000,1772.1500000000,1770.3200000000,1770.5500000000,0.39
1613693700,1770.5600000000,1773.0150000000,1770.4100000000,1771.7750000000,0.56
1613694000,1771.8105000000,1772.3450000000,1770.4800000000,1770.6725000000,0.40
1613694300,1770.7250000000,1770.9600000000,1767.9625000000,1769.1950000000,0.60
1613694600,1769.2155000000,1769.8545000000,1768.6950000000,1769.7995000000,0.45
1613694900,1769.7945000000,1769.9345000000,1768.0395000000,1768.2770000000,0.47
1613695200,1768.2885000000,1768.5035000000,1766.5625000000,1767.1200000000,0.48
1613695500,1767.1850000000,1767.8700000000,1766.9080000000,1767.2575000000,0.32
1613695800,1767.2650000000,1769.5950000000,1767.2650000000,1769.5300000000,0.39
1613696100,1769.5500000000,1770.5000000000,1769.2435000000,1769.6450000000,0.50
1613696400,1769.6350000000,1770.8395000000,1768.1600000000,1768.3450000000,1.05
1613696700,1768.3400000000,1768.3550000000,1763.0675000000,1764.7950000000,1.27
1613697000,1764.6800000000,1764.6800000000,1761.4115000000,1761.6400000000,0.94
1613697300,1761.6450000000,1765.1500000000,1761.4100000000,1764.8930000000,0.88
1613697600,1764.8915000000,1765.6450000000,1763.0075000000,1764.7200000000,0.72
1613697900,1764.7250000000,1765.0200000000,1760.7405000000,1761.9000000000,0.81
1613698200,1761.9100000000,1763.3385000000,1760.7945000000,1762.2200000000,1.14
1613698500,1762.2035000000,1765.3350000000,1761.9595000000,1764.9350000000,0.73
1613698800,1764.9300000000,1766.6380000000,1764.5095000000,1765.1900000000,0.75
1613699100,1765.1100000000,1767.2195000000,1765.0550000000,1766.8045000000,0.63
1613699400,1766.8145000000,1767.9450000000,1766.4195000000,1767.4350000000,0.59
1613699700,1767.4345000000,1768.0100000000,1766.3000000000,1767.3395000000,0.54
1613700000,1767.3195000000,1767.4635000000,1765.5695000000,1765.5735000000,0.70
1613700300,1765.5635000000,1766.1795000000,1764.1495000000,1765.4970000000,0.63
1613700600,1765.4920000000,1766.3825000000,1765.3545000000,1765.7145000000,0.45
1613700900,1765.7025000000,1767.9835000000,1765.4695000000,1767.7395000000,0.50
1613701200,1767.7295000000,1767.9335000000,1766.2700000000,1767.0580000000,0.45
1613701500,1767.0330000000,1768.2950000000,1766.5430000000,1767.9250000000,0.67
1613701800,1767.8880000000,1767.8880000000,1765.6800000000,1767.2285000000,0.79
1613702100,1767.2235000000,1767.4450000000,1766.1000000000,1766.6650000000,0.82
1613702400,1766.6600000000,1769.6385000000,1766.5200000000,1769.4995000000,0.85
1613702700,1769.5000000000,1770.8200000000,1769.5000000000,1769.8950000000,0.65
1613703000,1769.9050000000,1769.9550000000,1768.7370000000,1769.0470000000,0.45
1613703300,1769.0570000000,1770.1585000000,1768.9070000000,1770.1480000000,0.44
1613703600,1770.1080000000,1770.1615000000,1768.7755000000,1769.6155000000,0.36
1613703900,1769.6005000000,1769.8755000000,1768.6055000000,1768.6755000000,0.25
1613704200,1768.6655000000,1769.7250000000,1768.3480000000,1769.7220000000,0.24
1613704500,1769.7270000000,1769.9785000000,1769.2405000000,1769.3705000000,0.37
1613704800,1769.3755000000,1769.5605000000,1768.4620000000,1769.1620000000,0.48
