ts,o,h,l,c,v
1613520000,1788.5085000000,1789.3235000000,1787.6385000000,1788.8535000000,0.49
1613520300,1788.8585000000,1789.5775000000,1788.4105000000,1788.6135000000,0.38
1613520600,1788.6235000000,1789.2205000000,1788.4335000000,1788.8235000000,0.24
1613520900,1788.8435000000,1789.2100000000,1788.3935000000,1788.7650000000,0.36
1613521200,1788.7800000000,1789.1535000000,1788.3035000000,1788.8435000000,0.24
1613521500,1788.8485000000,1789.3535000000,1788.4085000000,1789.0105000000,0.30
1613521800,1789.0055000000,1789.4985000000,1788.6835000000,1788.9985000000,0.25
1613522100,1788.9935000000,1789.2885000000,1788.0335000000,1788.2635000000,0.29
1613522400,1788.2485000000,1788.5435000000,1786.6855000000,1787.8355000000,0.41
1613522700,1787.8200000000,1788.8135000000,1787.0850000000,1788.6435000000,0.31
1613523000,1788.6385000000,1789.1735000000,1788.2050000000,1788.6650000000,0.34
1613523300,1788.6600000000,1789.3550000000,1788.1450000000,1789.1900000000,0.29
1613523600,1789.1600000000,1789.6285000000,1788.2985000000,1788.2985000000,0.39
1613523900,1788.2935000000,1789.3800000000,1787.9000000000,1788.0775000000,0.28
1613524200,1788.0725000000,1790.1650000000,1788.0000000000,1790.1650000000,0.24
1613524500,1790.1885000000,1792.5675000000,1790.1885000000,1791.3270000000,0.49
1613524800,1791.3420000000,1791.5270000000,1789.8800000000,1790.7035000000,0.33
1613525100,1790.6900000000,1791.9385000000,1790.6300000000,1791.4350000000,0.29
1613525400,1791.4300000000,1792.1385000000,1791.3700000000,1791.8385000000,0.24
1613525700,1791.8285000000,1791.9085000000,1790.0530000000,1790.5665000000,0.27
1613526000,1790.5715000000,1791.0400000000,1790.2700000000,1791.0400000000,0.25
1613526300,1791.0300000000,1791.1615000000,1789.9650000000,1789.9650000000,0.25
1613526600,1789.9335000000,1791.5100000000,1789.7550000000,1790.4250000000,0.33
1613526900,1790.4100000000,1791.3200000000,1790.4050000000,1791.1250000000,0.26
1613527200,1791.1050000000,1792.7135000000,1791.1050000000,1792.2435000000,0.31
1613527500,1792.2335000000,1793.2020000000,1791.7385000000,1791.7550000000,0.46
1613527800,1791.7450000000,1792.2385000000,1791.4200000000,1792.2335000000,0.31
1613528100,1792.1885000000,1793.2435000000,1791.9685000000,1793.0700000000,0.22
1613528400,1793.0850000000,1793.8785000000,1792.9850000000,1793.1500000000,0.40
1613528700,1793.1250000000,1793.2980000000,1792.6265000000,1792.6915000000,0.19
1613529000,1792.6965000000,1792.8950000000,1792.1065000000,1792.5050000000,0.24
1613529300,1792.5150000000,1793.0500000000,1792.5150000000,1793.0250000000,0.21
1613529600,1793.0100000000,1793.0800000000,1792.3750000000,1793.0800000000,0.26
1613529900,1793.0650000000,1793.7570000000,1792.9750000000,1793.5585000000,0.27
1613530200,1793.5535000000,1794.2385000000,1793.5535000000,1794.1685000000,0.26
1613530500,1794.1585000000,1794.2535000000,1793.8135000000,1794.2000000000,0.24
1613530800,1794.1900000000,1794.7885000000,1794.1300000000,1794.5535000000,0.23
1613531100,1794.5485000000,1795.1935000000,1793.8365000000,1794.1200000000,0.29
1613531400,1794.1435000000,1794.3785000000,1793.8515000000,1794.2800000000,0.14
1613531700,1794.2950000000,1794.4000000000,1793.6080000000,1794.3285000000,0.23
1613532000,1794.3185000000,1794.4100000000,1793.5765000000,1793.7200000000,0.20
1613532300,1793.7300000000,1794.0885000000,1793.0450000000,1793.0800000000,0.20
1613532600,1793.0500000000,1793.1700000000,1792.5570000000,1792.9235000000,0.29
1613532900,1792.9335000000,1792.9585000000,1791.8715000000,1792.6765000000,0.20
1613533200,1792.6815000000,1792.8100000000,1792.1615000000,1792.2000000000,0.20
1613533500,1792.2050000000,1792.7835000000,1792.1750000000,1792.6650000000,0.22
1613533800,1792.6615000000,1792.8085000000,1792.5100000000,1792.7750000000,0.14
1613534100,1792.7600000000,1793.4435000000,1792.7600000000,1793.4435000000,0.08
1613534400,1793.4385000000,1793.8300000000,1793.2900000000,1793.3200000000,0.14
1613534700,1793.3350000000,1793.7135000000,1792.8550000000,1793.7085000000,0.16
1613535000,1793.7035000000,1793.7335000000,1793.2350000000,1793.5965000000,0.15
1613535300,1793.6015000000,1793.6150000000,1792.9950000000,1793.0035000000,0.22
1613535600,1792.9935000000,1793.0875000000,1792.3135000000,1792.4025000000,0.15
1613535900,1792.3925000000,1792.5975000000,1792.0550000000,1792.2475000000,0.10
1613536200,1792.2425000000,1792.4850000000,1792.1325000000,1792.3785000000,0.09
1613536500,1792.3835000000,1792.7625000000,1791.8680000000,1791.8830000000,0.15
1613536800,1791.8880000000,1792.7150000000,1791.8880000000,1792.5300000000,0.20
1613537100,1792.5150000000,1793.7075000000,1792.4750000000,1793.4785000000,0.18
1613537400,1793.4685000000,1793.8875000000,1793.4525000000,1793.4525000000,0.16
1613537700,1793.4400000000,1793.6550000000,1793.0500000000,1793.0735000000,0.12
1613538000,1793.0500000000,1793.3675000000,1792.5950000000,1792.9515000000,0.16
1613538300,1792.9465000000,1793.5900000000,1792.8050000000,1793.4025000000,0.21
1613538600,1793.4505000000,1793.4700000000,1792.9215000000,1793.2025000000,0.15
1613538900,1793.1975000000,1793.5975000000,1792.4875000000,1792.7335000000,0.10
1613539200,1792.7435000000,1793.4385000000,1792.7435000000,1793.0935000000,0.16
1613539500,1793.0835000000,1793.0985000000,1792.2000000000,1792.3400000000,0.16
1613539800,1792.3300000000,1792.7525000000,1792.1455000000,1792.5225000000,0.21
1613540100,1792.5275000000,1792.8125000000,1791.4650000000,1791.6150000000,0.25
1613540400,1791.6000000000,1791.7535000000,1790.7000000000,1790.7050000000,0.28
1613540700,1790.7000000000,1790.8550000000,1789.3900000000,1790.7850000000,0.33
1613541000,1790.7700000000,1791.2350000000,1790.3150000000,1791.2100000000,0.20
1613541300,1791.2350000000,1791.9050000000,1791.2100000000,1791.9050000000,0.27
1613541600,1791.9150000000,1792.3335000000,1791.0600000000,1791.4050000000,0.39
1613541900,1791.4200000000,1791.5750000000,1790.8500000000,1791.2050000000,0.25
1613542200,1791.1550000000,1791.4200000000,1788.9625000000,1789.9200000000,0.37
1613542500,1789.9150000000,1790.0100000000,1788.8200000000,1789.8350000000,0.32
1613542800,1789.8250000000,1790.2850000000,1788.8450000000,1789.3950000000,0.24
1613543100,1789.4100000000,1789.9050000000,1788.9950000000,1789.7000000000,0.38
1613543400,1789.7050000000,1790.6785000000,1789.3200000000,1790.5500000000,0.25
1613543700,1790.5550000000,1790.7380000000,1790.2930000000,1790.6180000000,0.19
1613544000,1790.6130000000,1792.1385000000,1789.6115000000,1792.0300000000,0.40
1613544300,1792.0335000000,1793.0985000000,1791.7300000000,1793.0375000000,0.32
1613544600,1793.0225000000,1794.0000000000,1792.9000000000,1793.5900000000,0.32
1613544900,1793.5650000000,1793.9800000000,1792.7115000000,1792.7815000000,0.29
1613545200,1792.7830000000,1793.4650000000,1791.9965000000,1793.2800000000,0.56
1613545500,1793.2140000000,1793.2965000000,1792.8180000000,1792.9330000000,0.35
1613545800,1792.9530000000,1793.5980000000,1792.4300000000,1793.1450000000,0.42
1613546100,1793.0850000000,1793.3250000000,1791.6200000000,1791.9300000000,0.42
1613546400,1791.9150000000,1791.9650000000,1789.7750000000,1789.7750000000,0.55
1613546700,1789.7415000000,1790.1535000000,1788.7150000000,1789.4700000000,0.60
1613547000,1789.4850000000,1789.6080000000,1788.5050000000,1788.6250000000,0.62
1613547300,1788.7140000000,1789.7750000000,1788.5130000000,1788.6600000000,0.51
1613547600,1788.6450000000,1791.9185000000,1788.5675000000,1791.7950000000,0.54
1613547900,1791.8450000000,1791.8800000000,1790.3050000000,1790.5450000000,0.48
1613548200,1790.5550000000,1790.5700000000,1789.6600000000,1790.0100000000,0.33
1613548500,1790.0250000000,1790.6635000000,1789.4415000000,1790.0115000000,0.40
1613548800,1790.0165000000,1790.8950000000,1784.9795000000,1785.2370000000,0.94
1613549100,1785.2550000000,1787.3200000000,1784.8050000000,1785.0885000000,0.99
1613549400,1785.1000000000,1787.4000000000,1784.7450000000,1787.0900000000,0.72
1613549700,1787.0735000000,1787.5600000000,1784.5215000000,1784.9400000000,0.67
1613550000,1784.9350000000,1785.3050000000,1783.9450000000,1784.7800000000,0.73
1613550300,1784.7750000000,1787.0100000000,1784.4650000000,1786.8900000000,0.56
1613550600,1786.9100000000,1789.0985000000,1786.8950000000,1788.8750000000,0.63
1613550900,1788.8600000000,1789.5000000000,1788.1750000000,1789.2600000000,0.60
1613551200,1789.2300000000,1789.8500000000,1788.5565000000,1789.0650000000,0.56
1613551500,1789.1150000000,1789.7800000000,1788.6800000000,1788.8400000000,0.47
1613551800,1788.8250000000,1789.1000000000,1786.6500000000,1786.8900000000,0.67
1613552100,1786.8800000000,1789.0385000000,1786.8450000000,1787.6765000000,0.53
1613552400,1787.6965000000,1789.4150000000,1786.9835000000,1789.2100000000,0.62
1613552700,1789.2250000000,1789.4850000000,1788.1645000000,1788.2000000000,0.39
1613553000,1788.1975000000,1788.2625000000,1786.7000000000,1787.7800000000,0.67
1613553300,1787.7850000000,1787.8100000000,1785.8415000000,1786.0750000000,0.69
1613553600,1786.0535000000,1786.4550000000,1785.0350000000,1786.4350000000,0.73
1613553900,1786.5050000000,1787.3750000000,1786.4345000000,1786.7150000000,0.59
1613554200,1786.6950000000,1786.6950000000,1785.4465000000,1786.2435000000,0.69
1613554500,1786.2335000000,1786.7535000000,1785.3785000000,1785.8135000000,0.58
1613554800,1785.8185000000,1786.2785000000,1784.6900000000,1785.1300000000,0.62
1613555100,1785.1200000000,1785.3800000000,1784.0400000000,1784.3650000000,0.62
1613555400,1784.3620000000,1785.7550000000,1783.7800000000,1785.6950000000,0.68
1613555700,1785.6850000000,1786.1600000000,1785.1575000000,1786.1335000000,0.56
1613556000,1786.1285000000,1787.8635000000,1785.5085000000,1787.8635000000,0.57
1613556300,1787.8735000000,1787.8835000000,1786.1550000000,1786.6100000000,0.47
1613556600,1786.6400000000,1787.3750000000,1785.7245000000,1787.1465000000,0.72
1613556900,1787.1400000000,1788.1350000000,1786.6400000000,1787.0885000000,0.45
1613557200,1787.0835000000,1787.5135000000,1786.2215000000,1786.7230000000,0.48
1613557500,1786.7405000000,1787.8835000000,1785.4115000000,1785.4215000000,0.57
1613557800,1785.4115000000,1789.0500000000,1785.3900000000,1787.9300000000,0.86
1613558100,1787.9100000000,1788.6950000000,1787.5350000000,1788.3200000000,0.45
1613558400,1788.3100000000,1789.4500000000,1787.7250000000,1788.5150000000,0.57
1613558700,1788.5000000000,1788.5650000000,1788.0200000000,1788.2500000000,0.31
1613559000,1788.2600000000,1788.9780000000,1788.0485000000,1788.4190000000,0.48
1613559300,1788.4160000000,1789.6900000000,1788.1360000000,1789.5245000000,0.46
1613559600,1789.5285000000,1789.8700000000,1789.1300000000,1789.5735000000,0.43
1613559900,1789.5635000000,1789.6150000000,1788.4735000000,1788.5500000000,0.41
1613560200,1788.5400000000,1788.8500000000,1787.7750000000,1788.6000000000,0.46
1613560500,1788.4785000000,1788.9380000000,1788.0225000000,1788.0315000000,0.57
1613560800,1788.0215000000,1788.3800000000,1787.7465000000,1788.2150000000,0.42
1613561100,1788.2350000000,1788.6600000000,1787.9650000000,1788.6100000000,0.36
1613561400,1788.6300000000,1788.6650000000,1787.8000000000,1788.0950000000,0.26
1613561700,1788.1000000000,1788.3950000000,1787.3235000000,1787.9900000000,0.41
1613562000,1788.0025000000,1788.0575000000,1786.8380000000,1786.9700000000,0.41
1613562300,1786.9600000000,1788.1620000000,1786.8250000000,1787.7835000000,0.43
1613562600,1787.7985000000,1789.8950000000,1787.6485000000,1789.8200000000,0.48
1613562900,1789.8300000000,1791.2000000000,1789.5550000000,1790.8500000000,0.69
1613563200,1790.9870000000,1791.8785000000,1790.0700000000,1791.0860000000,0.74
1613563500,1791.0885000000,1791.7490000000,1790.5785000000,1790.6035000000,0.58
1613563800,1790.5835000000,1791.5800000000,1790.0000000000,1791.5800000000,0.46
1613564100,1791.5950000000,1791.5950000000,1789.8550000000,1789.8750000000,0.43
1613564400,1789.8600000000,1789.8850000000,1788.9950000000,1789.8550000000,0.52
1613564700,1789.8450000000,1790.8885000000,1789.4500000000,1790.8835000000,0.48
1613565000,1790.8885000000,1791.2435000000,1789.7350000000,1791.0700000000,0.54
1613565300,1791.0200000000,1792.2350000000,1790.0400000000,1791.1870000000,0.73
1613565600,1791.1750000000,1792.5500000000,1791.1550000000,1792.5450000000,0.47
1613565900,1792.5415000000,1793.2800000000,1792.0150000000,1792.2500000000,0.55
1613566200,1792.2350000000,1792.4200000000,1791.6575000000,1791.8535000000,0.37
1613566500,1791.8485000000,1793.0635000000,1791.3350000000,1792.2650000000,0.51
1613566800,1792.2850000000,1793.5250000000,1789.5900000000,1789.9435000000,0.95
1613567100,1789.9335000000,1790.3250000000,1788.3535000000,1788.7000000000,0.80
1613567400,1788.6950000000,1789.2335000000,1786.6100000000,1786.8900000000,0.92
1613567700,1786.8950000000,1787.2500000000,1784.1275000000,1784.3800000000,0.89
1613568000,1784.1185000000,1784.9050000000,1779.4850000000,1779.7150000000,1.48
1613568300,1779.7250000000,1779.8550000000,1777.9125000000,1778.5955000000,1.19
1613568600,1778.6200000000,1780.1550000000,1774.6350000000,1779.0850000000,2.01
1613568900,1779.0700000000,1780.0650000000,1775.7450000000,1777.6235000000,1.55
1613569200,1777.6035000000,1779.8235000000,1774.1300000000,1778.4200000000,1.68
1613569500,1778.4435000000,1778.9035000000,1774.8930000000,1775.8750000000,1.44
1613569800,1775.8950000000,1781.4305000000,1775.4100000000,1780.9835000000,1.48
1613570100,1781.1250000000,1782.0200000000,1778.5550000000,1779.0950000000,1.37
1613570400,1779.0500000000,1780.0950000000,1777.7825000000,1778.0500000000,1.26
1613570700,1778.0150000000,1778.2350000000,1775.7950000000,1776.5885000000,1.25
1613571000,1776.6350000000,1780.3100000000,1776.4400000000,1778.8570000000,1.16
1613571300,1778.9400000000,1780.5740000000,1777.2000000000,1779.3300000000,1.22
1613571600,1779.3200000000,1781.3235000000,1776.8950000000,1781.0100000000,1.19
1613571900,1781.0000000000,1783.2035000000,1780.5305000000,1781.1600000000,1.37
1613572200,1781.1050000000,1783.5135000000,1779.4725000000,1779.5985000000,1.69
1613572500,1779.6085000000,1783.3500000000,1779.4335000000,1782.3300000000,1.77
1613572800,1782.3385000000,1785.1725000000,1781.7485000000,1783.8950000000,1.57
1613573100,1783.8565000000,1783.9845000000,1782.0235000000,1782.5700000000,1.20
1613573400,1782.5750000000,1785.1265000000,1782.1400000000,1782.4150000000,1.32
1613573700,1782.4300000000,1783.0250000000,1781.5880000000,1781.6650000000,0.93
1613574000,1781.6850000000,1782.5940000000,1779.9915000000,1781.6650000000,1.31
1613574300,1781.6750000000,1781.6800000000,1778.4685000000,1779.0400000000,1.06
1613574600,1779.0250000000,1780.6265000000,1778.9050000000,1779.6700000000,0.96
1613574900,1779.6450000000,1779.6600000000,1777.3800000000,1778.8550000000,1.05
1613575200,1778.8595000000,1779.5735000000,1777.5900000000,1777.7430000000,1.20
1613575500,1777.7480000000,1779.7700000000,1777.5115000000,1778.9000000000,1.13
1613575800,1778.8800000000,1779.1850000000,1776.4050000000,1777.0485000000,1.08
1613576100,1777.0550000000,1778.0100000000,1776.7400000000,1777.5800000000,0.91
1613576400,1777.5950000000,1777.9470000000,1776.9900000000,1777.1985000000,0.86
1613576700,1777.2035000000,1777.4185000000,1775.6200000000,1776.6550000000,0.87
1613577000,1776.6650000000,1776.9700000000,1773.3300000000,1774.0850000000,1.13
1613577300,1774.0935000000,1775.0635000000,1770.9950000000,1773.7750000000,1.25
1613577600,1773.7850000000,1776.0700000000,1772.4815000000,1774.8850000000,1.16
1613577900,1774.9050000000,1775.7000000000,1773.4250000000,1773.5675000000,0.83
1613578200,1773.6735000000,1774.1000000000,1769.8500000000,1770.0750000000,1.06
1613578500,1770.0600000000,1773.2050000000,1769.5560000000,1772.8400000000,1.18
1613578800,1772.8250000000,1774.9500000000,1772.0600000000,1772.7835000000,1.00
1613579100,1772.7735000000,1773.6050000000,1771.8835000000,1773.1375000000,0.94
1613579400,1773.1450000000,1774.8950000000,1772.9300000000,1774.4300000000,0.94
1613579700,1774.4000000000,1776.2820000000,1774.2100000000,1775.5065000000,0.76
1613580000,1775.5550000000,1775.9600000000,1774.2200000000,1775.3650000000,0.75
1613580300,1775.2965000000,1776.2735000000,1774.4600000000,1775.1000000000,0.81
1613580600,1775.1300000000,1780.2100000000,1774.8000000000,1779.1950000000,1.00
1613580900,1779.2050000000,1779.5300000000,1777.6100000000,1778.0850000000,0.78
1613581200,1778.0400000000,1778.8415000000,1777.2850000000,1778.8265000000,0.88
1613581500,1778.8315000000,1778.9330000000,1776.5850000000,1777.7000000000,0.60
1613581800,1777.7050000000,1779.7770000000,1777.5000000000,1779.5535000000,0.61
1613582100,1779.5300000000,1779.6685000000,1778.3950000000,1778.5150000000,0.53
1613582400,1778.4900000000,1779.8400000000,1778.4700000000,1779.5050000000,0.55
1613582700,1779.4950000000,1779.7050000000,1778.9020000000,1779.0600000000,0.52
1613583000,1779.0620000000,1779.9035000000,1778.5350000000,1779.1900000000,0.62
1613583300,1779.2220000000,1780.2815000000,1778.9150000000,1779.8150000000,0.48
1613583600,1779.8365000000,1779.8365000000,1778.6900000000,1779.2900000000,0.33
1613583900,1779.1600000000,1779.9700000000,1778.1100000000,1778.2700000000,0.57
1613584200,1778.2800000000,1778.3800000000,1776.6670000000,1776.6770000000,0.48
1613584500,1776.6670000000,1777.1545000000,1775.4770000000,1775.8420000000,0.82
