ts,o,h,l,c,v
1613606400,1778.3100000000,1778.6635000000,1777.6450000000,1778.2485000000,0.32
1613606700,1778.2535000000,1778.4050000000,1777.1485000000,1777.3185000000,0.26
1613607000,1777.3235000000,1778.1785000000,1777.1720000000,1778.1400000000,0.21
1613607300,1778.1550000000,1778.8785000000,1777.8300000000,1778.7735000000,0.26
1613607600,1778.7685000000,1779.5735000000,1778.6300000000,1779.0450000000,0.33
1613607900,1779.0100000000,1779.8175000000,1778.9835000000,1779.4850000000,0.18
1613608200,1779.5000000000,1779.6150000000,1778.9500000000,1779.3250000000,0.24
1613608500,1779.3350000000,1779.3400000000,1778.5900000000,1779.1485000000,0.20
1613608800,1779.1350000000,1779.9235000000,1779.0785000000,1779.8485000000,0.17
1613609100,1779.9220000000,1780.6425000000,1779.7685000000,1779.9050000000,0.29
1613609400,1779.9000000000,1779.9535000000,1779.3335000000,1779.3575000000,0.42
1613609700,1779.3625000000,1781.1070000000,1779.1335000000,1781.0785000000,0.37
1613610000,1781.0795000000,1782.4785000000,1778.8535000000,1782.4635000000,1.03
1613610300,1782.4735000000,1782.4735000000,1781.5495000000,1782.4185000000,0.53
1613610600,1782.4285000000,1783.0685000000,1782.2995000000,1782.7395000000,0.50
1613610900,1782.7345000000,1782.7845000000,1781.1705000000,1781.4750000000,0.49
1613611200,1781.4400000000,1781.4400000000,1780.4055000000,1780.7745000000,0.38
1613611500,1780.7795000000,1781.0485000000,1779.1705000000,1779.6005000000,0.57
1613611800,1779.6855000000,1779.6905000000,1778.1035000000,1778.9450000000,0.78
1613612100,1778.9365000000,1779.2735000000,1777.8750000000,1778.2050000000,0.56
1613612400,1778.2235000000,1779.7135000000,1777.8645000000,1779.0350000000,0.60
1613612700,1778.9995000000,1780.1035000000,1778.9760000000,1779.9635000000,0.42
1613613000,1779.9685000000,1780.7685000000,1779.7885000000,1780.7600000000,0.36
1613613300,1780.7650000000,1780.9185000000,1779.9330000000,1780.9085000000,0.44
1613613600,1780.9045000000,1780.9135000000,1779.2595000000,1779.2595000000,0.50
1613613900,1779.2645000000,1779.4945000000,1778.4685000000,1778.8135000000,0.53
1613614200,1778.7985000000,1779.3735000000,1778.5845000000,1779.3535000000,0.46
1613614500,1779.3635000000,1781.0400000000,1779.3635000000,1780.9200000000,0.34
1613614800,1780.9050000000,1781.6330000000,1780.8250000000,1781.5980000000,0.31
1613615100,1781.5965000000,1781.7785000000,1781.1050000000,1781.7485000000,0.21
1613615400,1781.8945000000,1782.7300000000,1781.8945000000,1782.7300000000,0.41
1613615700,1782.6950000000,1783.4335000000,1782.5715000000,1782.6415000000,0.40
1613616000,1782.6515000000,1783.2020000000,1782.3315000000,1783.0805000000,0.42
1613616300,1783.0905000000,1783.1505000000,1782.0315000000,1782.3615000000,0.41
