symbol,side,entry_ts,exit_ts,entry,exit,level,respect,touches,net_r,gross_r,fees_r,reason
1000PEPEUSDT,short,1762826400000,1762891200000,0.006174,0.005878557714285714,0.006324,0.8333,3,1.546502444760785,1.6,0.05349755523921524,tp
ETHUSDT,long,1763096400000,1763121600000,3161.92,3100.393485714286,3151.57,0.8333,3,-1.082225883567967,-1.0,0.08222588356796703,sl
BNBUSDT,long,1763125200000,1763193600000,906.1,937.6309714285716,897.8,0.75,4,1.5264337286513783,1.6000000000000023,0.07356627134862395,tp
AVAXUSDT,long,1763164800000,1763179200000,15.114,15.621108571428572,15.063,0.75,4,1.523701072748578,1.5999999999999979,0.07629892725141982,tp
XLMUSDT,long,1763164800000,1763172000000,0.2592,0.2649523199999999,0.25711,0.75,4,1.4846461949265615,1.5999999999999939,0.11535380507343236,tp
XLMUSDT,long,1763258400000,1763262000000,0.25755,0.26229688,0.25602,0.8,5,1.4611028717810506,1.6000000000000074,0.13889712821895683,tp
DOGEUSDT,long,1763316000000,1763334000000,0.15538,0.15876806857142853,0.1546,0.75,4,1.4825960007555963,1.6000000000000052,0.11740399924440882,tp
ONDOUSDT,long,1763334000000,1763384400000,0.5566,0.5433011428571429,0.5469,0.8333,3,-1.0669651527521167,-1.0,0.06696515275211662,sl
DOGEUSDT,long,1763427600000,1763460000000,0.15229,0.1575948685714286,0.15053,0.8333,3,1.5265085657164559,1.6000000000000034,0.07349143428354753,tp
XRPUSDT,long,1763564400000,1763564400000,2.1225,2.09498,2.1055,0.75,4,-1.1234011627906977,-1.0,0.12340116279069772,sl
1000PEPEUSDT,short,1763643600000,1763643600000,0.004945,0.004904853714285714,0.004948,0.75,4,1.2846731951719392,1.599999999999993,0.31532680482805364,tp
TAOUSDT,short,1764108000000,1764111600000,303.36,308.2186285714286,305.13,1.0,3,-1.099899795356714,-1.0,0.09989979535671391,sl
HYPEUSDT,short,1764140400000,1764158400000,34.488,33.52493714285714,34.785,1.0,3,1.508324488536574,1.6,0.09167551146342606,tp
ETHUSDT,short,1764212400000,1764316800000,3035.57,3072.7808,3056.73,0.75,6,-1.1305242563986806,-1.0,0.13052425639868054,sl
ETHUSDT,short,1764338400000,1764338400000,3072.57,3088.9222285714286,3076.78,1.0,4,-1.3006386547574142,-1.0,0.3006386547574143,sl
ATOMUSDT,long,1764414000000,1764424800000,2.416,2.397582857142857,2.405,0.8333,6,-1.2098914055228043,-1.0,0.20989140552280425,sl
BNBUSDT,long,1764424800000,1764435600000,877.5,874.2234285714286,875.1,0.8,5,-1.4284966864318138,-1.0,0.4284966864318139,sl
ATOMUSDT,long,1764439200000,1764439200000,2.397,2.3915942857142856,2.396,0.8,5,-1.709471458773791,-1.0,0.7094714587737909,sl
ONDOUSDT,long,1764604800000,1764637200000,0.4546,0.46930079999999996,0.4519,0.8333,6,1.5208358728776663,1.6,0.0791641271223337,tp
1000PEPEUSDT,long,1764612000000,1764612000000,0.003977,0.004021891428571428,0.003963,0.875,4,1.3732057026476674,1.6000000000000123,0.22679429735234488,tp
ETHUSDT,short,1764745200000,1764766800000,3065.31,3086.6330857142857,3069.45,0.875,4,-1.2300087363394199,-1.0,0.23000873633941976,sl
AVAXUSDT,short,1764802800000,1764871200000,14.846,14.460875428571429,14.907,0.75,4,1.5013156707736879,1.6000000000000014,0.09868432922631352,tp
HYPEUSDT,long,1765450800000,1765450800000,27.516,27.21657142857143,27.446,0.8333,3,-1.1470320610687044,-1.0,0.14703206106870428,sl
ONDOUSDT,long,1765746000000,1765746000000,0.4459,0.4438708571428571,0.4452,0.875,4,-1.3515967333145527,-1.0,0.3515967333145526,sl
DOGEUSDT,long,1765756800000,1765760400000,0.13399,0.13657413714285715,0.13325,0.75,6,1.4672615341069857,1.5999999999999932,0.13273846589300747,tp
HYPEUSDT,long,1765821600000,1765821600000,27.38,27.21361142857143,27.328,0.9,5,-1.2632873136891296,-1.0,0.2632873136891296,sl
XRPUSDT,long,1765825200000,1765846800000,1.8905,1.8668005714285716,1.8884,0.75,4,-1.1276317693012494,-1.0,0.12763176930124948,sl
1000PEPEUSDT,long,1765825200000,1765908000000,0.004005,0.0041441268571428555,0.003983,0.7857,7,1.5263061050141262,1.599999999999998,0.07369389498587177,tp
AVAXUSDT,short,1766163600000,1766293200000,12.298,12.136,12.405,0.8,5,0.8392546416416841,0.9552852377261944,0.11603059608451043,time
1000PEPEUSDT,long,1766358000000,1766430000000,0.004019,0.003937085714285715,0.003951,0.75,8,-1.0785015695849323,-1.0,0.07850156958493235,sl
AVAXUSDT,short,1766365200000,1766404800000,12.223,12.421091428571428,12.372,0.75,8,-1.098726129348642,-1.0,0.0987261293486421,sl
ONDOUSDT,short,1766408400000,1766430000000,0.4004,0.3945257142857142,0.4014,0.8571,7,1.4255066147859967,1.600000000000003,0.17449338521400629,tp
XLMUSDT,short,1766415600000,1766415600000,0.22461,0.22573617142857144,0.22505,0.75,4,-1.31911305053785,-1.0,0.3191130505378501,sl
ATOMUSDT,short,1766422800000,1766430000000,1.988,1.9682879999999994,1.996,0.8333,3,1.341818181818196,1.6000000000000072,0.25818181818181124,tp
ONDOUSDT,long,1766548800000,1766552400000,0.3826,0.3772822857142857,0.3798,0.75,4,-1.1151171287341495,-1.0,0.1151171287341494,sl
AVAXUSDT,short,1766718000000,1766757600000,12.514,12.337058285714285,12.549,0.8333,3,1.4189469332919906,1.5999999999999936,0.1810530667080031,tp
HYPEUSDT,short,1767027600000,1767031200000,26.258,25.93739657142857,26.327,0.75,4,1.3903313751211963,1.5999999999999965,0.20966862487880028,tp
HYPEUSDT,short,1767085200000,1767214800000,26.03,25.638,26.432,1.0,3,0.5033255892228247,0.5631582835986302,0.059832694375805566,time
BTCUSDT,short,1767646800000,1767715200000,94124.8,93046.61120000003,94482.4,0.8333,3,1.3765145696189631,1.5999999999999914,0.22348543038102828,tp
DOGEUSDT,short,1767711600000,1767715200000,0.15256,0.1458172342857143,0.15448,0.9,5,1.5420781298729487,1.6000000000000014,0.057921870127052764,tp
1000PEPEUSDT,long,1768147200000,1768147200000,0.005876,0.005962080000000001,0.00587,0.8333,3,1.4252490706319656,1.5999999999999936,0.17475092936802797,tp
ATOMUSDT,long,1768179600000,1768183200000,2.561,2.611148571428571,2.542,0.8333,3,1.4692652689152175,1.5999999999999943,0.13073473108477676,tp
ATOMUSDT,short,1768323600000,1768323600000,2.65,2.623970285714285,2.653,0.875,4,1.3393747804706813,1.6000000000000054,0.26062521952932405,tp
AVAXUSDT,short,1768410000000,1768410000000,14.833,14.649813714285715,14.865,1.0,3,1.3927111199840283,1.6,0.20728888001597187,tp
1000PEPEUSDT,long,1768579200000,1768582800000,0.005765,0.005837649142857142,0.005746,0.8,5,1.3968537628995632,1.5999999999999923,0.20314623710042914,tp
ATOMUSDT,long,1769367600000,1769367600000,2.2286,2.2164685714285715,2.2244,0.875,4,-1.2939274611398937,-1.0,0.2939274611398937,sl
ATOMUSDT,long,1769680800000,1769684400000,2.1747,2.165032,2.1708,1.0,3,-1.3599007033512616,-1.0,0.35990070335126156,sl
XLMUSDT,long,1769799600000,1769842800000,0.19455,0.1879417714285714,0.1907,1.0,3,-1.0471049081664416,-1.0,0.047104908166441695,sl
TAOUSDT,long,1769799600000,1769860800000,215.65,206.7521142857143,210.66,0.8,5,-1.0387777513759289,-1.0,0.03877775137592883,sl
XLMUSDT,short,1770048000000,1770062400000,0.18182,0.17888569142857147,0.18242,1.0,3,1.4413734654452555,1.600000000000003,0.15862653455474746,tp
BNBUSDT,short,1770105600000,1770105600000,781.6,778.0662857142858,782.3,0.8333,3,1.0337697283311744,1.6,0.5662302716688257,tp
ONDOUSDT,long,1770220800000,1770220800000,0.2694,0.2657714285714286,0.2679,0.75,4,-1.1187905511811043,-1.0,0.11879055118110428,sl
XRPUSDT,long,1770224400000,1770224400000,1.5303,1.5162628571428571,1.5264,0.8333,3,-1.174428658660696,-1.0,0.1744286586606961,sl
XLMUSDT,long,1770228000000,1770231600000,0.16923,0.17306177142857143,0.16769,0.875,4,1.4869377236936336,1.6000000000000045,0.1130622763063708,tp
AVAXUSDT,long,1770271200000,1770271200000,9.557,9.449062857142858,9.529,0.875,4,-1.1416676372491927,-1.0,0.14166763724919282,sl
TAOUSDT,long,1770271200000,1770285600000,184.4,181.29337142857142,183.3,0.75,4,-1.0949711216569176,-1.0,0.09497112165691746,sl
ETHUSDT,long,1770274800000,1770282000000,2086.7,2130.09968,2075.0,1.0,3,1.4769126408305282,1.5999999999999965,0.1230873591694683,tp
ATOMUSDT,long,1770310800000,1770310800000,1.9247,1.874892,1.8857,0.8,5,-1.0618278188242851,-1.0,0.06182781882428517,sl
ETHUSDT,short,1770483600000,1770613200000,2048.59,2094.74,2118.53,0.8333,3,-0.43487522391421096,-0.40603697355964347,0.02883825035456751,time
BTCUSDT,short,1770595200000,1770724800000,70289.8,68565.1,71719.9,0.875,4,0.7962251759354507,0.85176691772821,0.05554174179275927,time
TAOUSDT,long,1770732000000,1770746400000,156.6,154.26314285714287,155.13,0.8333,3,-1.1072209316542372,-1.0,0.10722093165423718,sl
BNBUSDT,long,1770735600000,1770742800000,616.9,623.9336,615.7,0.8333,3,1.375468607825304,1.6000000000000103,0.2245313921747064,tp
AVAXUSDT,long,1770750000000,1770775200000,8.709,8.79736571428571,8.696,0.8333,6,1.3476958096223286,1.5999999999999872,0.2523041903776585,tp
1000PEPEUSDT,long,1770750000000,1770775200000,0.003625,0.003684446857142857,0.003607,0.75,4,1.443894186404179,1.5999999999999954,0.15610581359581654,tp
HYPEUSDT,long,1770807600000,1770807600000,28.51,28.87444342857143,28.422,0.9,5,1.3997340759137942,1.5999999999999939,0.20026592408619973,tp
DOGEUSDT,long,1770818400000,1770818400000,0.09009,0.08911954285714287,0.08933,0.75,4,-1.1485320614732388,-1.0,0.14853206147323889,sl
ATOMUSDT,short,1770984000000,1770984000000,2.0245,2.0110216000000007,2.026,0.7857,7,1.215479582146217,1.599999999999979,0.384520417853762,tp
BCHUSDT,short,1771012800000,1771012800000,557.6,553.6219428571429,558.3,0.8333,3,1.2411675476901678,1.5999999999999817,0.3588324523098139,tp
XLMUSDT,short,1771034400000,1771056000000,0.16597,0.16732017142857142,0.16653,0.8,5,-1.1966802099204359,-1.0,0.19668020992043586,sl
ATOMUSDT,short,1771070400000,1771077600000,2.1377,2.147472571428571,2.1386,1.0,4,-1.3499918138229594,-1.0,0.3499918138229594,sl
ONDOUSDT,short,1771113600000,1771120800000,0.2942,0.2881812571428572,0.2963,1.0,3,1.474865562813309,1.600000000000003,0.12513443718669395,tp
HYPEUSDT,long,1771444800000,1771452000000,28.737,28.354697142857145,28.527,0.75,8,-1.1202690462311118,-1.0,0.12026904623111179,sl
