trades,net_r,pf,win_rate,avg_r,tag,symbols,positive_symbols,years,positive_years,months,positive_months,worst_month_r,top_symbol_frac
55,-11.087,0.6791668234129797,0.4182,-0.2016,choch_short_rr1.5_sl1.0_h6_b0.2_cd5,4,1,1,0,4,1,-8.5841,0.4182
59,-11.0874,0.7498793093335618,0.3729,-0.1879,choch_short_rr2.0_sl1.0_h12_b0.1_cd5,4,1,1,0,4,1,-11.3737,0.4237
55,-11.0949,0.7306069229424448,0.4,-0.2017,choch_short_rr2.0_sl0.8_h6_b0.2_cd5,4,1,1,0,4,1,-8.2193,0.4182
90,-11.1739,0.7660332715642243,0.5778,-0.1242,choch_short_rr1.0_sl1.0_h12_b0.1_cd0,4,1,1,0,4,0,-7.1796,0.4444
55,-11.1739,0.6700399239319167,0.4364,-0.2032,choch_short_rr1.5_sl1.0_h6_b0.1_cd10,4,1,1,0,4,0,-7.4338,0.4
106,-11.204,0.8664027473051606,0.434,-0.1057,bos_short_rr2.0_sl0.8_h12_b0.1_cd20,4,2,1,0,4,2,-7.8976,0.3113
90,-11.2335,0.7995442524777033,0.5,-0.1248,choch_short_rr1.5_sl0.8_h6_b0.1_cd0,4,1,1,0,4,1,-9.5542,0.4444
49,-11.2917,0.7232806281490776,0.3878,-0.2304,choch_short_rr2.0_sl0.8_h12_b0.2_cd20,4,1,1,0,4,1,-10.5181,0.3878
59,-11.3246,0.6975945567767915,0.3729,-0.1919,choch_short_rr2.0_sl1.0_h6_b0.1_cd5,4,1,1,0,4,1,-8.9294,0.4237
52,-11.5166,0.7125427756298096,0.4038,-0.2215,choch_short_rr2.0_sl0.8_h6_b0.2_cd10,4,1,1,0,4,1,-8.4363,0.3846
55,-11.6116,0.5905670622915212,0.5091,-0.2111,choch_short_rr1.0_sl1.0_h6_b0.1_cd10,4,1,1,0,4,0,-5.9344,0.4
49,-11.6334,0.6783047772849448,0.4286,-0.2374,choch_short_rr1.5_sl1.0_h12_b0.2_cd20,4,1,1,0,4,1,-11.2144,0.3878
52,-11.899,0.7241924417742175,0.3846,-0.2288,choch_short_rr2.0_sl0.8_h12_b0.2_cd10,4,1,1,0,4,1,-12.8549,0.3846
51,-11.9464,0.7044031226416262,0.3529,-0.2342,choch_short_rr2.0_sl1.0_h12_b0.1_cd20,4,1,1,0,4,2,-13.4626,0.4118
88,-12.1356,0.8017671013363521,0.4886,-0.1379,choch_short_rr1.5_sl0.8_h12_b0.1_cd0,4,1,1,0,4,1,-9.3237,0.4545
51,-12.2721,0.5457335129852824,0.4902,-0.2406,choch_short_rr1.0_sl1.0_h6_b0.1_cd20,4,1,1,0,4,0,-4.5894,0.4118
52,-12.2744,0.5683803361699135,0.5,-0.236,choch_short_rr1.0_sl1.0_h6_b0.2_cd10,4,1,1,0,4,0,-4.5684,0.3846
55,-12.5363,0.6061383886494163,0.5636,-0.2279,choch_short_rr1.0_sl0.8_h12_b0.2_cd5,4,1,1,0,4,0,-8.5003,0.4182
55,-12.5985,0.6220877040894379,0.5273,-0.2291,choch_short_rr1.0_sl1.0_h12_b0.1_cd10,4,1,1,0,4,0,-5.5896,0.4
55,-12.6267,0.6896572064798224,0.4545,-0.2296,choch_short_rr1.5_sl0.8_h12_b0.2_cd5,4,1,1,0,4,1,-8.2873,0.4182
49,-12.8261,0.6047231912821588,0.4082,-0.2618,choch_short_rr1.5_sl1.0_h6_b0.2_cd20,4,1,1,0,4,0,-9.1759,0.3878
51,-12.8344,0.6053309716661439,0.4118,-0.2517,choch_short_rr1.5_sl1.0_h6_b0.1_cd20,4,1,1,0,4,0,-9.1396,0.4118
59,-12.8595,0.6969979005803446,0.4407,-0.218,choch_short_rr1.5_sl1.0_h12_b0.1_cd5,4,1,1,0,4,1,-12.2021,0.4237
