trades,net_r,pf,win_rate,avg_r,tag,symbol
63,-38.8731,0.24702621348503953,0.381,-0.617,bos_long_rr1.0_sl0.8_h6_b0.2_cd0,GBPUSD
84,-48.6858,0.24842772150061904,0.4405,-0.5796,bos_long_rr1.0_sl0.8_h6_b0.2_cd0,USDJPY
21,-3.8415,0.679875,0.4762,-0.1829,bos_long_rr1.0_sl0.8_h6_b0.2_cd10,XAUUSD
27,-9.8977,0.4126307793649004,0.5185,-0.3666,bos_long_rr1.0_sl0.8_h6_b0.2_cd10,EURUSD
45,-24.7438,0.2581348284288006,0.4222,-0.5499,bos_long_rr1.0_sl0.8_h6_b0.2_cd10,USDJPY
33,-26.2304,0.16180469676198878,0.303,-0.7949,bos_long_rr1.0_sl0.8_h6_b0.2_cd10,GBPUSD
19,0.3699,1.0424854993395738,0.5789,0.0195,bos_long_rr1.0_sl0.8_h6_b0.2_cd20,XAUUSD
24,-9.1182,0.3934624697336562,0.5,-0.3799,bos_long_rr1.0_sl0.8_h6_b0.2_cd20,EURUSD
32,-11.4802,0.4062569497240798,0.5,-0.3588,bos_long_rr1.0_sl0.8_h6_b0.2_cd20,USDJPY
26,-16.0294,0.2313697283559903,0.3846,-0.6165,bos_long_rr1.0_sl0.8_h6_b0.2_cd20,GBPUSD
26,-3.2933,0.7677077602381255,0.5,-0.1267,bos_long_rr1.0_sl0.8_h6_b0.2_cd5,XAUUSD
32,-13.032,0.380896730610267,0.5,-0.4073,bos_long_rr1.0_sl0.8_h6_b0.2_cd5,EURUSD
36,-24.4371,0.21785011282346728,0.3611,-0.6788,bos_long_rr1.0_sl0.8_h6_b0.2_cd5,GBPUSD
52,-28.9128,0.25094820618043895,0.4423,-0.556,bos_long_rr1.0_sl0.8_h6_b0.2_cd5,USDJPY
46,-1.1363,0.9506912682363765,0.5217,-0.0247,bos_long_rr1.0_sl1.0_h12_b0.1_cd0,XAUUSD
59,-21.9704,0.4355782199329489,0.4746,-0.3724,bos_long_rr1.0_sl1.0_h12_b0.1_cd0,EURUSD
61,-26.9236,0.3862573772621894,0.4426,-0.4414,bos_long_rr1.0_sl1.0_h12_b0.1_cd0,GBPUSD
82,-39.7373,0.32725268846330957,0.4268,-0.4846,bos_long_rr1.0_sl1.0_h12_b0.1_cd0,USDJPY
22,-3.0089,0.7559137517035499,0.4545,-0.1368,bos_long_rr1.0_sl1.0_h12_b0.1_cd10,XAUUSD
30,-6.018,0.6175575284226315,0.5333,-0.2006,bos_long_rr1.0_sl1.0_h12_b0.1_cd10,EURUSD
34,-15.8613,0.3841276374338943,0.4412,-0.4665,bos_long_rr1.0_sl1.0_h12_b0.1_cd10,GBPUSD
43,-18.8345,0.3687302880087412,0.4419,-0.438,bos_long_rr1.0_sl1.0_h12_b0.1_cd10,USDJPY
19,2.2286,1.2775999302450145,0.5789,0.1173,bos_long_rr1.0_sl1.0_h12_b0.1_cd20,XAUUSD
25,-5.1697,0.6041395469929706,0.52,-0.2068,bos_long_rr1.0_sl1.0_h12_b0.1_cd20,EURUSD
32,-9.3171,0.49957568856614953,0.5,-0.2912,bos_long_rr1.0_sl1.0_h12_b0.1_cd20,USDJPY
27,-10.3655,0.44191693497151846,0.4815,-0.3839,bos_long_rr1.0_sl1.0_h12_b0.1_cd20,GBPUSD
33,-2.1559,0.8499491919430949,0.6061,-0.0653,bos_long_rr1.0_sl1.0_h12_b0.1_cd5,EURUSD
26,-3.2892,0.7727008873040881,0.4615,-0.1265,bos_long_rr1.0_sl1.0_h12_b0.1_cd5,XAUUSD
37,-13.8205,0.4640516539341529,0.4865,-0.3735,bos_long_rr1.0_sl1.0_h12_b0.1_cd5,GBPUSD
54,-28.8066,0.2936581107721883,0.4074,-0.5335,bos_long_rr1.0_sl1.0_h12_b0.1_cd5,USDJPY
46,-5.1473,0.7956406947890818,0.4783,-0.1119,bos_long_rr1.0_sl1.0_h12_b0.2_cd0,XAUUSD
53,-20.6902,0.4207476175011478,0.4717,-0.3904,bos_long_rr1.0_sl1.0_h12_b0.2_cd0,EURUSD
58,-24.7865,0.39577985632204926,0.4483,-0.4274,bos_long_rr1.0_sl1.0_h12_b0.2_cd0,GBPUSD
75,-36.8841,0.33106814076476093,0.44,-0.4918,bos_long_rr1.0_sl1.0_h12_b0.2_cd0,USDJPY
21,-3.9409,0.6803111792525534,0.4286,-0.1877,bos_long_rr1.0_sl1.0_h12_b0.2_cd10,XAUUSD
27,-6.7475,0.5552838669707236,0.5185,-0.2499,bos_long_rr1.0_sl1.0_h12_b0.2_cd10,EURUSD
39,-12.7005,0.47210584069030875,0.5128,-0.3257,bos_long_rr1.0_sl1.0_h12_b0.2_cd10,USDJPY
31,-13.4542,0.4056308286321407,0.4516,-0.434,bos_long_rr1.0_sl1.0_h12_b0.2_cd10,GBPUSD
19,2.2317,1.2779479898370947,0.5789,0.1175,bos_long_rr1.0_sl1.0_h12_b0.2_cd20,XAUUSD
22,-5.8089,0.5319592945025018,0.5,-0.264,bos_long_rr1.0_sl1.0_h12_b0.2_cd20,EURUSD
31,-5.9806,0.634781440453363,0.5806,-0.1929,bos_long_rr1.0_sl1.0_h12_b0.2_cd20,USDJPY
25,-9.4005,0.4488449812382739,0.48,-0.376,bos_long_rr1.0_sl1.0_h12_b0.2_cd20,GBPUSD
26,-3.3065,0.7714801094739169,0.4615,-0.1272,bos_long_rr1.0_sl1.0_h12_b0.2_cd5,XAUUSD
31,-6.1559,0.6235591240697368,0.5484,-0.1986,bos_long_rr1.0_sl1.0_h12_b0.2_cd5,EURUSD
34,-11.6717,0.49097894869972125,0.5,-0.3433,bos_long_rr1.0_sl1.0_h12_b0.2_cd5,GBPUSD
47,-21.924,0.3411725109909759,0.4468,-0.4665,bos_long_rr1.0_sl1.0_h12_b0.2_cd5,USDJPY
47,-2.0211,0.9112972951621893,0.5106,-0.043,bos_long_rr1.0_sl1.0_h6_b0.1_cd0,XAUUSD
59,-21.9782,0.42559725267688897,0.4576,-0.3725,bos_long_rr1.0_sl1.0_h6_b0.1_cd0,EURUSD
64,-23.9115,0.4284659180541811,0.4531,-0.3736,bos_long_rr1.0_sl1.0_h6_b0.1_cd0,GBPUSD
87,-41.8681,0.2979933132798798,0.3908,-0.4812,bos_long_rr1.0_sl1.0_h6_b0.1_cd0,USDJPY
22,-2.741,0.7677059586260668,0.5,-0.1246,bos_long_rr1.0_sl1.0_h6_b0.1_cd10,XAUUSD
30,-6.4545,0.5991665993901644,0.5333,-0.2152,bos_long_rr1.0_sl1.0_h6_b0.1_cd10,EURUSD
35,-13.3925,0.4421558173245139,0.4857,-0.3826,bos_long_rr1.0_sl1.0_h6_b0.1_cd10,GBPUSD
47,-20.8349,0.3430688464630859,0.4468,-0.4433,bos_long_rr1.0_sl1.0_h6_b0.1_cd10,USDJPY
19,2.4965,1.3328400394635094,0.6316,0.1314,bos_long_rr1.0_sl1.0_h6_b0.1_cd20,XAUUSD
25,-6.6752,0.5195727744470754,0.48,-0.267,bos_long_rr1.0_sl1.0_h6_b0.1_cd20,EURUSD
28,-7.8967,0.5307069674566762,0.5357,-0.282,bos_long_rr1.0_sl1.0_h6_b0.1_cd20,GBPUSD
34,-9.8479,0.4904378512071696,0.5,-0.2896,bos_long_rr1.0_sl1.0_h6_b0.1_cd20,USDJPY
26,-3.0213,0.7833152840432323,0.5,-0.1162,bos_long_rr1.0_sl1.0_h6_b0.1_cd5,XAUUSD
33,-3.6614,0.7591612016286581,0.5758,-0.111,bos_long_rr1.0_sl1.0_h6_b0.1_cd5,EURUSD
38,-10.1947,0.5514337382795141,0.5263,-0.2683,bos_long_rr1.0_sl1.0_h6_b0.1_cd5,GBPUSD
55,-30.2116,0.26354125023157854,0.3818,-0.5493,bos_long_rr1.0_sl1.0_h6_b0.1_cd5,USDJPY
47,-7.0601,0.7279973801818462,0.4681,-0.1502,bos_long_rr1.0_sl1.0_h6_b0.2_cd0,XAUUSD
53,-21.0573,0.405417997306249,0.4528,-0.3973,bos_long_rr1.0_sl1.0_h6_b0.2_cd0,EURUSD
61,-21.9823,0.44302498524094625,0.459,-0.3604,bos_long_rr1.0_sl1.0_h6_b0.2_cd0,GBPUSD
77,-39.4877,0.27776883598599716,0.3766,-0.5128,bos_long_rr1.0_sl1.0_h6_b0.2_cd0,USDJPY
21,-3.673,0.6887235376870794,0.4762,-0.1749,bos_long_rr1.0_sl1.0_h6_b0.2_cd10,XAUUSD
