trades,net_r,pf,win_rate,avg_r,tag,month
25,-8.883,0.4898433865715615,0.48,-0.3553,bos_short_rr1.0_sl1.0_h12_b0.2_cd10,2026-04
54,-18.1607,0.49623159138633605,0.4815,-0.3363,bos_short_rr1.0_sl1.0_h12_b0.2_cd10,2026-05
47,-11.4217,0.6074922764465124,0.5106,-0.243,bos_short_rr1.0_sl1.0_h12_b0.2_cd10,2026-06
2,-0.7873,0.4121117084826762,0.5,-0.3936,bos_short_rr1.0_sl1.0_h12_b0.2_cd10,2026-07
20,-4.3981,0.631794854621715,0.55,-0.2199,bos_short_rr1.0_sl1.0_h12_b0.2_cd20,2026-04
43,-12.3129,0.5511679279121648,0.5116,-0.2863,bos_short_rr1.0_sl1.0_h12_b0.2_cd20,2026-05
39,-10.6953,0.5746313177110677,0.5128,-0.2742,bos_short_rr1.0_sl1.0_h12_b0.2_cd20,2026-06
2,-0.7873,0.4121117084826762,0.5,-0.3936,bos_short_rr1.0_sl1.0_h12_b0.2_cd20,2026-07
31,-15.1181,0.3734105339942638,0.4194,-0.4877,bos_short_rr1.0_sl1.0_h12_b0.2_cd5,2026-04
64,-20.9232,0.5042494864364733,0.4844,-0.3269,bos_short_rr1.0_sl1.0_h12_b0.2_cd5,2026-05
62,-16.8586,0.5804314498466929,0.5,-0.2719,bos_short_rr1.0_sl1.0_h12_b0.2_cd5,2026-06
2,-0.7873,0.4121117084826762,0.5,-0.3936,bos_short_rr1.0_sl1.0_h12_b0.2_cd5,2026-07
61,-24.2019,0.43449012304715795,0.459,-0.3968,bos_short_rr1.0_sl1.0_h6_b0.1_cd0,2026-04
105,-34.8488,0.4979296990932168,0.4762,-0.3319,bos_short_rr1.0_sl1.0_h6_b0.1_cd0,2026-05
109,-32.4959,0.5437269991842214,0.4771,-0.2981,bos_short_rr1.0_sl1.0_h6_b0.1_cd0,2026-06
7,0.608,1.224926935740446,0.7143,0.0869,bos_short_rr1.0_sl1.0_h6_b0.1_cd0,2026-07
28,-11.1278,0.4423189684118735,0.4643,-0.3974,bos_short_rr1.0_sl1.0_h6_b0.1_cd10,2026-04
54,-15.0642,0.5561533407385364,0.5,-0.279,bos_short_rr1.0_sl1.0_h6_b0.1_cd10,2026-05
52,-9.7341,0.6792158103392026,0.5385,-0.1872,bos_short_rr1.0_sl1.0_h6_b0.1_cd10,2026-06
3,-0.3037,0.7732228195937872,0.6667,-0.1012,bos_short_rr1.0_sl1.0_h6_b0.1_cd10,2026-07
22,-7.2873,0.4995811130033511,0.5,-0.3312,bos_short_rr1.0_sl1.0_h6_b0.1_cd20,2026-04
43,-11.7554,0.5634879670854019,0.5116,-0.2734,bos_short_rr1.0_sl1.0_h6_b0.1_cd20,2026-05
40,-3.8704,0.8184027663737325,0.6,-0.0968,bos_short_rr1.0_sl1.0_h6_b0.1_cd20,2026-06
2,-0.7873,0.4121117084826762,0.5,-0.3936,bos_short_rr1.0_sl1.0_h6_b0.1_cd20,2026-07
34,-16.177,0.36518712401552406,0.4118,-0.4758,bos_short_rr1.0_sl1.0_h6_b0.1_cd5,2026-04
65,-19.5039,0.5259439121494509,0.4769,-0.3001,bos_short_rr1.0_sl1.0_h6_b0.1_cd5,2026-05
67,-11.4399,0.703405166602715,0.5373,-0.1707,bos_short_rr1.0_sl1.0_h6_b0.1_cd5,2026-06
3,-0.2883,0.7847222222222222,0.6667,-0.0961,bos_short_rr1.0_sl1.0_h6_b0.1_cd5,2026-07
57,-21.4724,0.44940022872850544,0.4737,-0.3767,bos_short_rr1.0_sl1.0_h6_b0.2_cd0,2026-04
103,-37.9005,0.4608249695917831,0.4563,-0.368,bos_short_rr1.0_sl1.0_h6_b0.2_cd0,2026-05
102,-36.9166,0.4765288339782793,0.4412,-0.3619,bos_short_rr1.0_sl1.0_h6_b0.2_cd0,2026-06
7,0.5926,1.2192297732233361,0.7143,0.0847,bos_short_rr1.0_sl1.0_h6_b0.2_cd0,2026-07
25,-9.6553,0.4454896825807044,0.48,-0.3862,bos_short_rr1.0_sl1.0_h6_b0.2_cd10,2026-04
54,-17.7909,0.49992551262771767,0.4815,-0.3295,bos_short_rr1.0_sl1.0_h6_b0.2_cd10,2026-05
48,-12.978,0.576651574263756,0.5,-0.2704,bos_short_rr1.0_sl1.0_h6_b0.2_cd10,2026-06
3,-0.3037,0.7732228195937872,0.6667,-0.1012,bos_short_rr1.0_sl1.0_h6_b0.2_cd10,2026-07
20,-5.1704,0.5671385635470124,0.55,-0.2585,bos_short_rr1.0_sl1.0_h6_b0.2_cd20,2026-04
43,-11.9431,0.5570066765578635,0.5116,-0.2777,bos_short_rr1.0_sl1.0_h6_b0.2_cd20,2026-05
39,-10.6953,0.5746313177110677,0.5128,-0.2742,bos_short_rr1.0_sl1.0_h6_b0.2_cd20,2026-06
2,-0.7873,0.4121117084826762,0.5,-0.3936,bos_short_rr1.0_sl1.0_h6_b0.2_cd20,2026-07
31,-14.725,0.35872869324367873,0.4194,-0.475,bos_short_rr1.0_sl1.0_h6_b0.2_cd5,2026-04
64,-21.0089,0.4941405356467804,0.4688,-0.3283,bos_short_rr1.0_sl1.0_h6_b0.2_cd5,2026-05
63,-19.8613,0.5256617850762808,0.4603,-0.3153,bos_short_rr1.0_sl1.0_h6_b0.2_cd5,2026-06
3,-0.3037,0.7732228195937872,0.6667,-0.1012,bos_short_rr1.0_sl1.0_h6_b0.2_cd5,2026-07
59,-24.0677,0.5159926718269554,0.3898,-0.4079,bos_short_rr1.5_sl0.8_h12_b0.1_cd0,2026-04
104,-51.6486,0.4401084040217892,0.3462,-0.4966,bos_short_rr1.5_sl0.8_h12_b0.1_cd0,2026-05
107,-36.1562,0.583990224583745,0.3925,-0.3379,bos_short_rr1.5_sl0.8_h12_b0.1_cd0,2026-06
4,-0.4205,0.83238330609479,0.5,-0.1051,bos_short_rr1.5_sl0.8_h12_b0.1_cd0,2026-07
28,-11.4476,0.5164055272284861,0.3929,-0.4088,bos_short_rr1.5_sl0.8_h12_b0.1_cd10,2026-04
53,-17.3576,0.5904236492258031,0.4151,-0.3275,bos_short_rr1.5_sl0.8_h12_b0.1_cd10,2026-05
53,-6.5973,0.8253305515988795,0.4906,-0.1245,bos_short_rr1.5_sl0.8_h12_b0.1_cd10,2026-06
2,-0.4842,0.6599719101123596,0.5,-0.2421,bos_short_rr1.5_sl0.8_h12_b0.1_cd10,2026-07
22,-10.6816,0.4493850325267792,0.3636,-0.4855,bos_short_rr1.5_sl0.8_h12_b0.1_cd20,2026-04
43,-14.4065,0.5880031457782227,0.4186,-0.335,bos_short_rr1.5_sl0.8_h12_b0.1_cd20,2026-05
40,0.1587,1.0061575351235583,0.55,0.004,bos_short_rr1.5_sl0.8_h12_b0.1_cd20,2026-06
2,-0.4842,0.6599719101123596,0.5,-0.2421,bos_short_rr1.5_sl0.8_h12_b0.1_cd20,2026-07
33,-19.8449,0.3573605178706165,0.303,-0.6014,bos_short_rr1.5_sl0.8_h12_b0.1_cd5,2026-04
65,-21.1102,0.5916054532053154,0.4154,-0.3248,bos_short_rr1.5_sl0.8_h12_b0.1_cd5,2026-05
65,-9.5196,0.7958078797446633,0.4769,-0.1465,bos_short_rr1.5_sl0.8_h12_b0.1_cd5,2026-06
2,-0.4842,0.6599719101123596,0.5,-0.2421,bos_short_rr1.5_sl0.8_h12_b0.1_cd5,2026-07
55,-21.9806,0.5193185794261721,0.4,-0.3996,bos_short_rr1.5_sl0.8_h12_b0.2_cd0,2026-04
102,-49.5602,0.4490960587628499,0.3529,-0.4859,bos_short_rr1.5_sl0.8_h12_b0.2_cd0,2026-05
100,-41.7701,0.5113539452488438,0.36,-0.4177,bos_short_rr1.5_sl0.8_h12_b0.2_cd0,2026-06
4,-0.4205,0.83238330609479,0.5,-0.1051,bos_short_rr1.5_sl0.8_h12_b0.2_cd0,2026-07
25,-10.6816,0.4912336688084362,0.4,-0.4273,bos_short_rr1.5_sl0.8_h12_b0.2_cd10,2026-04
53,-17.6515,0.5844339600431304,0.4151,-0.333,bos_short_rr1.5_sl0.8_h12_b0.2_cd10,2026-05
49,-8.9084,0.7556872564318449,0.4694,-0.1818,bos_short_rr1.5_sl0.8_h12_b0.2_cd10,2026-06
2,-0.4842,0.6599719101123596,0.5,-0.2421,bos_short_rr1.5_sl0.8_h12_b0.2_cd10,2026-07
20,-8.8601,0.4671321689761355,0.4,-0.443,bos_short_rr1.5_sl0.8_h12_b0.2_cd20,2026-04
43,-14.6412,0.5817361668575933,0.4186,-0.3405,bos_short_rr1.5_sl0.8_h12_b0.2_cd20,2026-05
39,-8.6192,0.7117555781475735,0.4615,-0.221,bos_short_rr1.5_sl0.8_h12_b0.2_cd20,2026-06
2,-0.4842,0.6599719101123596,0.5,-0.2421,bos_short_rr1.5_sl0.8_h12_b0.2_cd20,2026-07
30,-16.6523,0.37718143396790965,0.3333,-0.5551,bos_short_rr1.5_sl0.8_h12_b0.2_cd5,2026-04
64,-20.134,0.6011829420235598,0.4219,-0.3146,bos_short_rr1.5_sl0.8_h12_b0.2_cd5,2026-05
