variant,raw_signals,filled_trades,fill_rate,net_r,pf,winrate,avg_r,symbols_raw,symbols_filled,top_raw_symbol,top_raw_symbol_frac,top_reasons
failed_breakout,177,177,1.0,6.021081995859137,1.0532563554150172,0.423728813559322,0.03401741240598382,17,17,AVAXUSDT,0.14689265536723164,failed_breakout:no_failed_break:58584;cooldown:6355;regime_history_short:3495;failed_breakout:failed_break_below:2609;no_rejection:516;no_res_touch:294;wick_weak_0.00:76;wick_weak_0.03:52
failed_breakout_range,0,0,0.0,0,0.0,0.0,0.0,0,0,,0.0,failed_breakout:no_failed_break:64350;regime_history_short:3495;failed_breakout:failed_break_below:2800;range_filter:not_short:measures_say_trending:2392;range_filter:not_short:ok:66;support_not_found:35;regime_score_low_0.39:24;regime_score_low_0.40:24
failed_breakout_level,276,136,0.4927536231884058,-65.57728654175965,0.5318988708311998,0.25735294117647056,-0.48218593045411506,17,16,AVAXUSDT,0.14492753623188406,failed_breakout:no_failed_break:55414;cooldown:9901;regime_history_short:3495;failed_breakout:failed_break_below:2494;no_rejection:449;no_res_touch:239;wick_weak_0.00:64;wick_weak_0.01:47
failed_breakout_volfade,149,149,1.0,4.2400165571789925,1.0454898294509405,0.436241610738255,0.02845648696093284,17,17,BCHUSDT,0.1476510067114094,failed_breakout:no_failed_break:60513;cooldown:5347;regime_history_short:3495;failed_breakout:failed_break_below:2159;no_rejection:445;no_res_touch:274;wick_weak_0.00:49;wick_weak_0.03:38
