symbol,coverage_ok,coverage,actual_bars,expected_bars,n_gaps,max_gap_bars,flat_frac,dup_bars,coverage_reasons
EURUSD,False,0.995732,17266,17340,11,13,0.007413,0,gap_over_13_bars
GBPUSD,False,0.99579,17267,17340,10,19,0.00805,0,gap_over_19_bars
USDJPY,False,0.996109,17153,17220,7,20,0.002274,0,gap_over_20_bars
XAUUSD,False,0.933627,13757,14735,494,35,0.000145,0,coverage_below_0.9336;gap_over_35_bars
