symbol,passed,coverage,rows,expected_rows,max_gap_bars,first_ts,last_ts
XRPUSDT,True,1.0,103680,103680,0,1752019200000,1783122900000
DOGEUSDT,True,1.0,103680,103680,0,1752019200000,1783122900000
BCHUSDT,True,1.0,103680,103680,0,1752019200000,1783122900000
XLMUSDT,True,1.0,103680,103680,0,1752019200000,1783122900000
1000PEPEUSDT,True,1.0,103680,103680,0,1752019200000,1783122900000
HYPEUSDT,True,1.0,103680,103680,0,1752019200000,1783122900000
TAOUSDT,True,1.0,103680,103680,0,1752019200000,1783122900000
ONDOUSDT,True,1.0,103680,103680,0,1752019200000,1783122900000
