IRV4_LEVEL_ENTRY_MAX_CHASE_ATR,IRV4_LEVEL_ENTRY_VALIDITY_BARS,IRV4_RETEST_MIN_QUALITY,IRV4_TP_RR,avg_loss,avg_win,combo,days,end_date_utc,ending_equity,entry_execution,fee_bps_per_side,fold,max_drawdown,net_pnl,news_blocked_signals,phase,profit_factor,score,slippage_bps_per_side,starting_equity,strategies,summary_path,symbols,tag,trades,winrate
0.4,4,0.55,2.0,-0.2882,0.1751,11,120,2025-11-02,99.78,next_open,6.0000,1,0.8340,-0.22,0,train,0.851,-1000000000.000000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_075308_irv4_wide_gate_20260702_f01_train_c011_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c011_20260702_044439,12,0.583
0.6,4,0.55,2.0,-0.2882,0.1751,12,120,2025-11-02,99.78,next_open,6.0000,1,0.8340,-0.22,0,train,0.851,-1000000000.000000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_075357_irv4_wide_gate_20260702_f01_train_c012_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c012_20260702_044439,12,0.583
0.4,2,0.35,2.5,-0.2717,0.2571,13,120,2025-11-02,103.15,next_open,6.0000,1,1.4289,3.15,0,train,1.892,13.007875,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_075446_irv4_wide_gate_20260702_f01_train_c013_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c013_20260702_044439,39,0.667
0.6,2,0.35,2.5,-0.2717,0.2571,14,120,2025-11-02,103.15,next_open,6.0000,1,1.4289,3.15,0,train,1.892,13.007875,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_075535_irv4_wide_gate_20260702_f01_train_c014_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c014_20260702_044439,39,0.667
0.4,4,0.35,2.5,-0.2820,0.2397,15,120,2025-11-02,101.07,next_open,6.0000,1,1.6045,1.07,0,train,1.190,5.184375,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_075626_irv4_wide_gate_20260702_f01_train_c015_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c015_20260702_044439,48,0.583
0.6,4,0.35,2.5,-0.2820,0.2397,16,120,2025-11-02,101.07,next_open,6.0000,1,1.6045,1.07,0,train,1.190,5.184375,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_075716_irv4_wide_gate_20260702_f01_train_c016_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c016_20260702_044439,48,0.583
0.4,2,0.45,2.5,-0.2586,0.2435,17,120,2025-11-02,101.80,next_open,6.0000,1,1.1445,1.80,0,train,1.695,8.479375,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_075806_irv4_wide_gate_20260702_f01_train_c017_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c017_20260702_044439,28,0.643
0.6,2,0.45,2.5,-0.2586,0.2435,18,120,2025-11-02,101.80,next_open,6.0000,1,1.1445,1.80,0,train,1.695,8.479375,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_075855_irv4_wide_gate_20260702_f01_train_c018_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c018_20260702_044439,28,0.643
0.4,4,0.45,2.5,-0.2649,0.2321,19,120,2025-11-02,101.23,next_open,6.0000,1,1.1472,1.23,0,train,1.388,6.272000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_075944_irv4_wide_gate_20260702_f01_train_c019_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c019_20260702_044439,31,0.613
0.6,4,0.45,2.5,-0.2649,0.2321,20,120,2025-11-02,101.23,next_open,6.0000,1,1.1472,1.23,0,train,1.388,6.272000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_080033_irv4_wide_gate_20260702_f01_train_c020_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c020_20260702_044439,31,0.613
