market,event,side,tp_rr,sl_atr,max_hold,buffer_atr,trades,net_r,pf,win_rate,symbols,preflight_go,preflight_reasons
fx,choch,long,1.0,0.8,6,0.2,87,-49.9969,0.2931851757604032,0.3908,4,False,low_quality_pf_0.29<0.80
fx,choch,long,1.0,0.8,12,0.1,95,-52.2347,0.3241384932089988,0.4105,4,False,low_quality_pf_0.32<0.80
fx,choch,long,1.0,0.8,12,0.2,87,-51.7084,0.2906756143164225,0.3908,4,False,low_quality_pf_0.29<0.80
fx,choch,long,1.0,1.0,6,0.1,90,-42.0109,0.35520018909220397,0.3889,4,False,low_quality_pf_0.36<0.80
fx,choch,long,1.0,1.0,6,0.2,83,-42.8878,0.30808607986215863,0.3614,4,False,low_quality_pf_0.31<0.80
fx,choch,long,1.0,1.0,12,0.1,90,-41.4453,0.38645003700962255,0.4111,4,False,low_quality_pf_0.39<0.80
fx,choch,long,1.0,1.0,12,0.2,83,-42.7185,0.34036790604236183,0.3855,4,False,low_quality_pf_0.34<0.80
fx,choch,long,1.5,0.8,6,0.1,88,-60.6681,0.274703243075871,0.2614,4,False,low_quality_pf_0.27<0.80
fx,choch,long,1.5,0.8,6,0.2,80,-55.7371,0.27402018886356233,0.2625,4,False,low_quality_pf_0.27<0.80
fx,choch,long,1.5,0.8,12,0.1,88,-58.441,0.3225535722979693,0.2841,4,False,low_quality_pf_0.32<0.80
fx,choch,long,1.5,0.8,12,0.2,80,-55.3618,0.3015218153786371,0.275,4,False,low_quality_pf_0.30<0.80
fx,choch,long,1.5,1.0,6,0.1,84,-42.3103,0.3624558310542534,0.3095,4,False,low_quality_pf_0.36<0.80
fx,choch,long,1.5,1.0,6,0.2,77,-41.8148,0.3339258976074421,0.2857,4,False,low_quality_pf_0.33<0.80
fx,choch,long,1.5,1.0,12,0.1,83,-39.4125,0.43787733353110736,0.3373,4,False,low_quality_pf_0.44<0.80
fx,choch,long,1.5,1.0,12,0.2,76,-39.4477,0.4041969934737265,0.3158,4,False,low_quality_pf_0.40<0.80
fx,choch,long,2.0,0.8,6,0.1,86,-51.3019,0.3558541647571108,0.2674,4,False,low_quality_pf_0.36<0.80
fx,choch,long,2.0,0.8,6,0.2,78,-43.0637,0.4042108408815151,0.2821,4,False,low_quality_pf_0.40<0.80
fx,choch,long,2.0,0.8,12,0.1,85,-47.7403,0.42408918237825305,0.2824,4,False,low_quality_pf_0.42<0.80
fx,choch,long,2.0,0.8,12,0.2,77,-41.4886,0.4450851125582988,0.2857,4,False,low_quality_pf_0.45<0.80
fx,choch,long,2.0,1.0,6,0.1,82,-29.8108,0.519265161447423,0.3171,4,False,low_quality_pf_0.52<0.80
fx,choch,long,2.0,1.0,6,0.2,75,-28.0204,0.5171444031252478,0.3067,4,False,low_quality_pf_0.52<0.80
fx,choch,long,2.0,1.0,12,0.1,81,-29.5409,0.563363564878591,0.321,4,False,low_quality_pf_0.56<0.80
fx,choch,long,2.0,1.0,12,0.2,74,-26.9795,0.569377341294733,0.3108,4,False,low_quality_pf_0.57<0.80
fx,choch,short,1.0,0.8,6,0.1,95,-18.5467,0.6339411714782526,0.5579,4,False,low_quality_pf_0.63<0.80
fx,choch,short,1.0,0.8,6,0.2,87,-14.6451,0.6710954501660794,0.5747,4,False,low_quality_pf_0.67<0.80
fx,choch,short,1.0,0.8,12,0.1,93,-22.4067,0.5927135705794462,0.5591,4,False,low_quality_pf_0.59<0.80
fx,choch,short,1.0,0.8,12,0.2,85,-17.663,0.6322774730136259,0.5765,4,False,low_quality_pf_0.63<0.80
fx,choch,short,1.0,1.0,6,0.1,91,-5.9856,0.8474396127877903,0.5714,4,True,ready_for_gate
fx,choch,short,1.0,1.0,6,0.2,87,-5.1529,0.8645132452507724,0.5747,4,True,ready_for_gate
fx,choch,short,1.0,1.0,12,0.1,90,-11.1739,0.7660332715642243,0.5778,4,False,low_quality_pf_0.77<0.80
fx,choch,short,1.0,1.0,12,0.2,86,-8.1548,0.8157727680396885,0.593,4,True,ready_for_gate
fx,choch,short,1.5,0.8,6,0.1,90,-11.2335,0.7995442524777033,0.5,4,False,low_quality_pf_0.80<0.80
fx,choch,short,1.5,0.8,6,0.2,86,-7.1343,0.8630965288158752,0.5116,4,True,ready_for_gate
fx,choch,short,1.5,0.8,12,0.1,88,-12.1356,0.8017671013363521,0.4886,4,True,ready_for_gate
fx,choch,short,1.5,0.8,12,0.2,84,-6.8618,0.8774343704619298,0.5119,4,True,ready_for_gate
fx,choch,short,1.5,1.0,6,0.1,85,-3.4487,0.9226032177778974,0.4824,4,True,ready_for_gate
fx,choch,short,1.5,1.0,6,0.2,81,-0.8564,0.9796565075896144,0.4938,4,True,ready_for_gate
fx,choch,short,1.5,1.0,12,0.1,83,-10.2707,0.816967897608805,0.4699,4,True,ready_for_gate
fx,choch,short,1.5,1.0,12,0.2,79,-5.2385,0.8974997651994241,0.4937,4,True,ready_for_gate
fx,choch,short,2.0,0.8,6,0.1,82,-8.5947,0.8453673351157042,0.439,4,True,ready_for_gate
fx,choch,short,2.0,0.8,6,0.2,78,-4.7959,0.9076749227078995,0.4487,4,True,ready_for_gate
fx,choch,short,2.0,0.8,12,0.1,80,-9.3844,0.85051117773183,0.425,4,True,ready_for_gate
fx,choch,short,2.0,0.8,12,0.2,76,-4.0943,0.9288170659619597,0.4474,4,True,ready_for_gate
fx,choch,short,2.0,1.0,6,0.1,80,-6.4802,0.8606681273127195,0.425,4,True,ready_for_gate
fx,choch,short,2.0,1.0,6,0.2,75,-5.1795,0.8807468088633476,0.4267,4,True,ready_for_gate
fx,choch,short,2.0,1.0,12,0.1,77,-7.9866,0.8552318183301251,0.4026,4,True,ready_for_gate
fx,choch,short,2.0,1.0,12,0.2,72,-4.6325,0.9076092484488526,0.4167,4,True,ready_for_gate
