market,event,side,tp_rr,sl_atr,max_hold,buffer_atr,cooldown_bars,trades,net_r,pf,win_rate,symbols,positive_symbols,top_symbol_frac,preflight_go,preflight_reasons
fx,bos,long,1.5,0.8,12,0.1,10,129,-58.6337,0.45687007202987906,0.3566,4,1,0.3411,False,low_quality_pf_0.46<0.80
fx,bos,long,1.5,0.8,12,0.1,20,101,-36.6569,0.5312500799218428,0.3861,4,1,0.3069,False,low_quality_pf_0.53<0.80
fx,bos,long,1.5,0.8,12,0.2,0,224,-118.6608,0.4042342961115329,0.3393,4,0,0.3348,False,low_quality_pf_0.40<0.80
fx,bos,long,1.5,0.8,12,0.2,5,140,-61.7006,0.47120404040750313,0.3714,4,1,0.35,False,low_quality_pf_0.47<0.80
fx,bos,long,1.5,0.8,12,0.2,10,120,-51.0506,0.4795593076232197,0.375,4,1,0.35,False,low_quality_pf_0.48<0.80
fx,bos,long,1.5,0.8,12,0.2,20,96,-31.9365,0.5660506827909504,0.4062,4,1,0.3229,False,low_quality_pf_0.57<0.80
fx,bos,long,1.5,1.0,6,0.1,0,224,-88.782,0.45847562920750023,0.3616,4,0,0.3482,False,low_quality_pf_0.46<0.80
fx,bos,long,1.5,1.0,6,0.1,5,150,-39.3982,0.6051572427892806,0.42,4,1,0.36,False,low_quality_pf_0.61<0.80
fx,bos,long,1.5,1.0,6,0.1,10,130,-30.3657,0.6404481476964464,0.4538,4,0,0.3462,False,low_quality_pf_0.64<0.80
fx,bos,long,1.5,1.0,6,0.1,20,104,-25.2274,0.6263332597673636,0.4423,4,0,0.3269,False,low_quality_pf_0.63<0.80
fx,bos,long,1.5,1.0,6,0.2,0,211,-85.9086,0.4463296425671234,0.3507,4,0,0.3318,False,low_quality_pf_0.45<0.80
fx,bos,long,1.5,1.0,6,0.2,5,140,-39.415,0.5786961224864999,0.4,4,0,0.3571,False,low_quality_pf_0.58<0.80
fx,bos,long,1.5,1.0,6,0.2,10,122,-35.555,0.5725694281650962,0.4098,4,0,0.3443,False,low_quality_pf_0.57<0.80
fx,bos,long,1.5,1.0,6,0.2,20,97,-31.1903,0.5309863327213207,0.3918,4,0,0.3196,False,low_quality_pf_0.53<0.80
fx,bos,long,1.5,1.0,12,0.1,0,214,-91.3257,0.4708342531736664,0.3505,4,1,0.3364,False,low_quality_pf_0.47<0.80
fx,bos,long,1.5,1.0,12,0.1,5,146,-44.4476,0.5898396550960445,0.3973,4,1,0.3562,False,low_quality_pf_0.59<0.80
fx,bos,long,1.5,1.0,12,0.1,10,124,-33.5255,0.6177835997692485,0.4032,4,0,0.3306,False,low_quality_pf_0.62<0.80
fx,bos,long,1.5,1.0,12,0.1,20,99,-28.5528,0.5942936713177414,0.3939,4,0,0.3131,False,low_quality_pf_0.59<0.80
fx,bos,long,1.5,1.0,12,0.2,0,201,-89.833,0.4531248097597799,0.3433,4,0,0.3234,False,low_quality_pf_0.45<0.80
