symbol,status,trades,net_pnl,profit_factor,winrate,max_drawdown,run_dir,error
ONDOUSDT,ok,18,4.96,2.349,0.333,1.3828,backtest_runs/portfolio_20260704_083830_ars1_symbol_matrix_smoke_20260704_ONDOUSDT_20260704_053829,
ATOMUSDT,ok,3,3.27,13.464,0.667,0.2807,backtest_runs/portfolio_20260704_083837_ars1_symbol_matrix_smoke_20260704_ATOMUSDT_20260704_053829,
