run_id,tag,run_dir,passed,fail_reasons,score,trades,net_pnl,profit_factor,winrate,max_drawdown,negative_months,positive_months,max_negative_streak,worst_month_pnl,overrides_json
297,elder_ema50_force_canonical_v1_r297,/root/by-bot/backtest_runs/portfolio_20260618_165030_elder_ema50_force_canonical_v1_r297,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2326.75290086,3014,-90.48,0.722,0.483,90.5075,12,0,12,-26.544214899999997,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.3"", ""ETS2_ENTRY_RETEST_BARS"": ""5"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""1.0"", ""ETS2_TP1_ATR_MULT"": ""1.0"", ""ETS2_TP_ATR_MULT"": ""2.0"", ""ETS2_WAVE_LOOKBACK"": ""1""}"
298,elder_ema50_force_canonical_v1_r298,/root/by-bot/backtest_runs/portfolio_20260618_165214_elder_ema50_force_canonical_v1_r298,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2318.167591158,3360,-89.73,0.759,0.493,89.7725,12,0,12,-22.104707969999993,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.3"", ""ETS2_ENTRY_RETEST_BARS"": ""5"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""1.0"", ""ETS2_TP1_ATR_MULT"": ""1.0"", ""ETS2_TP_ATR_MULT"": ""2.0"", ""ETS2_WAVE_LOOKBACK"": ""3""}"
299,elder_ema50_force_canonical_v1_r299,/root/by-bot/backtest_runs/portfolio_20260618_165333_elder_ema50_force_canonical_v1_r299,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2321.390727306,2853,-90.16,0.709,0.482,90.2549,12,0,12,-23.34923379,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.3"", ""ETS2_ENTRY_RETEST_BARS"": ""5"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""1.0"", ""ETS2_TP1_ATR_MULT"": ""1.0"", ""ETS2_TP_ATR_MULT"": ""2.5"", ""ETS2_WAVE_LOOKBACK"": ""1""}"
300,elder_ema50_force_canonical_v1_r300,/root/by-bot/backtest_runs/portfolio_20260618_165455_elder_ema50_force_canonical_v1_r300,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2309.47077253,3123,-88.06,0.751,0.495,88.1959,12,0,12,-19.57640895000001,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.3"", ""ETS2_ENTRY_RETEST_BARS"": ""5"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""1.0"", ""ETS2_TP1_ATR_MULT"": ""1.0"", ""ETS2_TP_ATR_MULT"": ""2.5"", ""ETS2_WAVE_LOOKBACK"": ""3""}"
301,elder_ema50_force_canonical_v1_r301,/root/by-bot/backtest_runs/portfolio_20260618_165641_elder_ema50_force_canonical_v1_r301,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2334.8670946439997,3229,-92.03,0.731,0.414,92.0813,12,0,12,-28.763210459999986,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.3"", ""ETS2_ENTRY_RETEST_BARS"": ""5"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""1.0"", ""ETS2_TP1_ATR_MULT"": ""1.25"", ""ETS2_TP_ATR_MULT"": ""1.5"", ""ETS2_WAVE_LOOKBACK"": ""1""}"
302,elder_ema50_force_canonical_v1_r302,/root/by-bot/backtest_runs/portfolio_20260618_165828_elder_ema50_force_canonical_v1_r302,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2334.679512958,3648,-92.45,0.757,0.424,92.5366,12,0,12,-27.618794970000003,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.3"", ""ETS2_ENTRY_RETEST_BARS"": ""5"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""1.0"", ""ETS2_TP1_ATR_MULT"": ""1.25"", ""ETS2_TP_ATR_MULT"": ""1.5"", ""ETS2_WAVE_LOOKBACK"": ""3""}"
303,elder_ema50_force_canonical_v1_r303,/root/by-bot/backtest_runs/portfolio_20260618_170006_elder_ema50_force_canonical_v1_r303,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2326.863635302,3019,-90.41,0.726,0.411,90.4515,12,0,12,-26.76331093000001,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.3"", ""ETS2_ENTRY_RETEST_BARS"": ""5"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""1.0"", ""ETS2_TP1_ATR_MULT"": ""1.25"", ""ETS2_TP_ATR_MULT"": ""2.0"", ""ETS2_WAVE_LOOKBACK"": ""1""}"
304,elder_ema50_force_canonical_v1_r304,/root/by-bot/backtest_runs/portfolio_20260618_170228_elder_ema50_force_canonical_v1_r304,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2320.349822522,3361,-89.57,0.765,0.421,89.6365,12,0,12,-23.994873230000035,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.3"", ""ETS2_ENTRY_RETEST_BARS"": ""5"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""1.0"", ""ETS2_TP1_ATR_MULT"": ""1.25"", ""ETS2_TP_ATR_MULT"": ""2.0"", ""ETS2_WAVE_LOOKBACK"": ""3""}"
305,elder_ema50_force_canonical_v1_r305,/root/by-bot/backtest_runs/portfolio_20260618_170346_elder_ema50_force_canonical_v1_r305,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2323.655173874,2857,-90.14,0.711,0.41,90.258,12,0,12,-24.979409909999994,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.3"", ""ETS2_ENTRY_RETEST_BARS"": ""5"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""1.0"", ""ETS2_TP1_ATR_MULT"": ""1.25"", ""ETS2_TP_ATR_MULT"": ""2.5"", ""ETS2_WAVE_LOOKBACK"": ""1""}"
306,elder_ema50_force_canonical_v1_r306,/root/by-bot/backtest_runs/portfolio_20260618_170530_elder_ema50_force_canonical_v1_r306,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2313.1312228979996,3127,-88.33,0.754,0.422,88.5279,12,0,12,-21.48530206999999,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.3"", ""ETS2_ENTRY_RETEST_BARS"": ""5"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""1.0"", ""ETS2_TP1_ATR_MULT"": ""1.25"", ""ETS2_TP_ATR_MULT"": ""2.5"", ""ETS2_WAVE_LOOKBACK"": ""3""}"
307,elder_ema50_force_canonical_v1_r307,/root/by-bot/backtest_runs/portfolio_20260618_170652_elder_ema50_force_canonical_v1_r307,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2288.918277822,2802,-81.87,0.735,0.496,82.1751,12,0,12,-18.802912730000003,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.3"", ""ETS2_ENTRY_RETEST_BARS"": ""5"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""1.25"", ""ETS2_TP1_ATR_MULT"": ""0.75"", ""ETS2_TP_ATR_MULT"": ""1.5"", ""ETS2_WAVE_LOOKBACK"": ""1""}"
308,elder_ema50_force_canonical_v1_r308,/root/by-bot/backtest_runs/portfolio_20260618_170829_elder_ema50_force_canonical_v1_r308,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2296.4485953939998,3165,-82.99,0.75,0.505,83.4218,12,0,12,-21.454996710000014,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.3"", ""ETS2_ENTRY_RETEST_BARS"": ""5"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""1.25"", ""ETS2_TP1_ATR_MULT"": ""0.75"", ""ETS2_TP_ATR_MULT"": ""1.5"", ""ETS2_WAVE_LOOKBACK"": ""3""}"
309,elder_ema50_force_canonical_v1_r309,/root/by-bot/backtest_runs/portfolio_20260618_170957_elder_ema50_force_canonical_v1_r309,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2281.527916024,2586,-80.28,0.724,0.491,80.4691,11,1,9,-18.60979715999999,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.3"", ""ETS2_ENTRY_RETEST_BARS"": ""5"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""1.25"", ""ETS2_TP1_ATR_MULT"": ""0.75"", ""ETS2_TP_ATR_MULT"": ""2.0"", ""ETS2_WAVE_LOOKBACK"": ""1""}"
310,elder_ema50_force_canonical_v1_r310,/root/by-bot/backtest_runs/portfolio_20260618_171150_elder_ema50_force_canonical_v1_r310,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2271.127623968,2859,-78.04,0.767,0.503,78.3697,12,0,12,-14.823017119999985,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.3"", ""ETS2_ENTRY_RETEST_BARS"": ""5"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""1.25"", ""ETS2_TP1_ATR_MULT"": ""0.75"", ""ETS2_TP_ATR_MULT"": ""2.0"", ""ETS2_WAVE_LOOKBACK"": ""3""}"
311,elder_ema50_force_canonical_v1_r311,/root/by-bot/backtest_runs/portfolio_20260618_171321_elder_ema50_force_canonical_v1_r311,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2268.832749166,2436,-77.85,0.722,0.493,78.0854,11,1,9,-15.029963690000004,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.3"", ""ETS2_ENTRY_RETEST_BARS"": ""5"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""1.25"", ""ETS2_TP1_ATR_MULT"": ""0.75"", ""ETS2_TP_ATR_MULT"": ""2.5"", ""ETS2_WAVE_LOOKBACK"": ""1""}"
312,elder_ema50_force_canonical_v1_r312,/root/by-bot/backtest_runs/portfolio_20260618_171447_elder_ema50_force_canonical_v1_r312,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2283.5126116359997,2693,-80.58,0.719,0.494,80.733,12,0,12,-18.10757974000001,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.3"", ""ETS2_ENTRY_RETEST_BARS"": ""5"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""1.25"", ""ETS2_TP1_ATR_MULT"": ""0.75"", ""ETS2_TP_ATR_MULT"": ""2.5"", ""ETS2_WAVE_LOOKBACK"": ""3""}"
313,elder_ema50_force_canonical_v1_r313,/root/by-bot/backtest_runs/portfolio_20260618_171622_elder_ema50_force_canonical_v1_r313,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2286.2117971700004,2801,-81.75,0.758,0.495,82.0868,11,1,9,-18.384426550000004,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.3"", ""ETS2_ENTRY_RETEST_BARS"": ""5"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""1.25"", ""ETS2_TP1_ATR_MULT"": ""1.0"", ""ETS2_TP_ATR_MULT"": ""1.5"", ""ETS2_WAVE_LOOKBACK"": ""1""}"
314,elder_ema50_force_canonical_v1_r314,/root/by-bot/backtest_runs/portfolio_20260618_171747_elder_ema50_force_canonical_v1_r314,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2294.471769416,3175,-82.48,0.772,0.501,82.8464,12,0,12,-21.290692440000004,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.3"", ""ETS2_ENTRY_RETEST_BARS"": ""5"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""1.25"", ""ETS2_TP1_ATR_MULT"": ""1.0"", ""ETS2_TP_ATR_MULT"": ""1.5"", ""ETS2_WAVE_LOOKBACK"": ""3""}"
315,elder_ema50_force_canonical_v1_r315,/root/by-bot/backtest_runs/portfolio_20260618_171906_elder_ema50_force_canonical_v1_r315,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2277.6877063740003,2581,-79.43,0.751,0.492,79.6506,11,1,9,-17.764647409999988,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.3"", ""ETS2_ENTRY_RETEST_BARS"": ""5"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""1.25"", ""ETS2_TP1_ATR_MULT"": ""1.0"", ""ETS2_TP_ATR_MULT"": ""2.0"", ""ETS2_WAVE_LOOKBACK"": ""1""}"
316,elder_ema50_force_canonical_v1_r316,/root/by-bot/backtest_runs/portfolio_20260618_172047_elder_ema50_force_canonical_v1_r316,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2258.7013796319998,2849,-74.84,0.803,0.503,75.3061,12,0,12,-13.066556880000006,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.3"", ""ETS2_ENTRY_RETEST_BARS"": ""5"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""1.25"", ""ETS2_TP1_ATR_MULT"": ""1.0"", ""ETS2_TP_ATR_MULT"": ""2.0"", ""ETS2_WAVE_LOOKBACK"": ""3""}"
