run_id,tag,run_dir,passed,fail_reasons,score,trades,net_pnl,profit_factor,winrate,max_drawdown,negative_months,positive_months,max_negative_streak,worst_month_pnl,overrides_json
1,inplay_retest_v3_level_retest_repair_v2_r001,/root/by-bot/backtest_runs/portfolio_20260619_040309_inplay_retest_v3_level_retest_repair_v2_r001,False,pf<1.15;dd>8.0;net<5.0;wr<0.45;neg_months>3;neg_streak>2,-2315.58475178,1077,-78.84,0.517,0.211,79.2195,12,0,12,-10.268875889999999,"{""IRV3_ALLOW_LONG"": ""1"", ""IRV3_ALLOW_SHORT"": ""1"", ""IRV3_ENTRY_TF"": ""15"", ""IRV3_LEVEL_TOL_ATR"": ""0.35"", ""IRV3_MAX_PIERCE_ATR"": ""0.35"", ""IRV3_MIN_RR_TP1"": ""1.15"", ""IRV3_MIN_TOUCHES"": ""3"", ""IRV3_REJECT_FRAC"": ""0.5"", ""IRV3_RETEST_BAND_ATR"": ""0.45"", ""IRV3_RR_RUNNER"": ""2.0"", ""IRV3_STOP_BUFFER_ATR"": ""0.25"", ""IRV3_STRUCTURE_TF"": ""240"", ""IRV3_TOUCH_INTO_ATR"": ""0.2"", ""IRV3_TP_BEFORE_LEVEL_ATR"": ""0.15"", ""IRV3_VOL_MULT"": ""1.15"", ""MAX_POSITIONS"": ""2"", ""SYMBOLS"": ""BTCUSDT,ETHUSDT,SOLUSDT,LINKUSDT""}"
2,inplay_retest_v3_level_retest_repair_v2_r002,/root/by-bot/backtest_runs/portfolio_20260619_043034_inplay_retest_v3_level_retest_repair_v2_r002,False,pf<1.15;dd>8.0;net<5.0;wr<0.45;neg_months>3;neg_streak>2,-2310.59699734,1050,-77.76,0.511,0.211,78.1158,12,0,12,-9.526698669999995,"{""IRV3_ALLOW_LONG"": ""1"", ""IRV3_ALLOW_SHORT"": ""1"", ""IRV3_ENTRY_TF"": ""15"", ""IRV3_LEVEL_TOL_ATR"": ""0.35"", ""IRV3_MAX_PIERCE_ATR"": ""0.35"", ""IRV3_MIN_RR_TP1"": ""1.15"", ""IRV3_MIN_TOUCHES"": ""3"", ""IRV3_REJECT_FRAC"": ""0.5"", ""IRV3_RETEST_BAND_ATR"": ""0.45"", ""IRV3_RR_RUNNER"": ""3.0"", ""IRV3_STOP_BUFFER_ATR"": ""0.25"", ""IRV3_STRUCTURE_TF"": ""240"", ""IRV3_TOUCH_INTO_ATR"": ""0.2"", ""IRV3_TP_BEFORE_LEVEL_ATR"": ""0.15"", ""IRV3_VOL_MULT"": ""1.15"", ""MAX_POSITIONS"": ""2"", ""SYMBOLS"": ""BTCUSDT,ETHUSDT,SOLUSDT,LINKUSDT""}"
