run_id,tag,run_dir,passed,fail_reasons,score,trades,net_pnl,profit_factor,winrate,max_drawdown,negative_months,positive_months,max_negative_streak,worst_month_pnl,overrides_json
96,range_live_side_exit_repair_v1_r096,/root/by-bot/backtest_runs/portfolio_20260618_210207_range_live_side_exit_repair_v1_r096,False,pf<1.15;dd>8.0;net<1.0,-1017.68231986,146,-3.57,0.848,0.253,8.4099,3,2,2,-5.399013240000001,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.02"", ""RANGE_SL_ATR_MULT"": ""1.0"", ""RANGE_SL_WIDTH_FRAC"": ""0.11"", ""RANGE_WICK_FRAC_MIN"": ""0.35""}"
81,range_live_side_exit_repair_v1_r081,/root/by-bot/backtest_runs/portfolio_20260618_202555_range_live_side_exit_repair_v1_r081,False,pf<1.15;dd>8.0;net<1.0,-1017.8195505799999,170,-4.45,0.833,0.247,8.6669,3,2,2,-5.563833720000001,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.015"", ""RANGE_SL_ATR_MULT"": ""1.0"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.45""}"
106,range_live_side_exit_repair_v1_r106,/root/by-bot/backtest_runs/portfolio_20260618_212252_range_live_side_exit_repair_v1_r106,False,pf<1.15;dd>8.0;net<1.0,-1018.58731889,137,-4.8,0.782,0.241,8.1119,3,2,2,-4.6956792599999995,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.02"", ""RANGE_SL_ATR_MULT"": ""0.8"", ""RANGE_SL_WIDTH_FRAC"": ""0.11"", ""RANGE_WICK_FRAC_MIN"": ""0.55""}"
75,range_live_side_exit_repair_v1_r075,/root/by-bot/backtest_runs/portfolio_20260618_201220_range_live_side_exit_repair_v1_r075,False,pf<1.15;dd>8.0;net<1.0,-1018.610016415,174,-4.93,0.819,0.241,9.2595,3,2,2,-4.91667761,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.015"", ""RANGE_SL_ATR_MULT"": ""1.0"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.35""}"
82,range_live_side_exit_repair_v1_r082,/root/by-bot/backtest_runs/portfolio_20260618_202757_range_live_side_exit_repair_v1_r082,False,pf<1.15;dd>8.0;net<1.0,-1018.725699205,157,-3.97,0.842,0.248,8.9769,3,2,2,-5.89859947,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.015"", ""RANGE_SL_ATR_MULT"": ""0.8"", ""RANGE_SL_WIDTH_FRAC"": ""0.11"", ""RANGE_WICK_FRAC_MIN"": ""0.45""}"
70,range_live_side_exit_repair_v1_r070,/root/by-bot/backtest_runs/portfolio_20260618_195953_range_live_side_exit_repair_v1_r070,False,pf<1.15;dd>8.0;net<1.0,-1019.081001635,177,-4.63,0.837,0.237,8.9862,2,3,1,-7.168401089999999,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.01"", ""RANGE_SL_ATR_MULT"": ""0.8"", ""RANGE_SL_WIDTH_FRAC"": ""0.11"", ""RANGE_WICK_FRAC_MIN"": ""0.55""}"
97,range_live_side_exit_repair_v1_r097,/root/by-bot/backtest_runs/portfolio_20260618_210417_range_live_side_exit_repair_v1_r097,False,pf<1.15;dd>8.0;net<1.0,-1019.1116930850001,169,-6.51,0.763,0.237,8.2345,3,2,2,-5.353795389999998,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.02"", ""RANGE_SL_ATR_MULT"": ""0.8"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.45""}"
85,range_live_side_exit_repair_v1_r085,/root/by-bot/backtest_runs/portfolio_20260618_203544_range_live_side_exit_repair_v1_r085,False,pf<1.15;dd>8.0;net<1.0,-1019.13583327,180,-6.32,0.778,0.233,8.6619,3,2,2,-4.952022179999999,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.015"", ""RANGE_SL_ATR_MULT"": ""0.8"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.55""}"
186,range_live_side_exit_repair_v1_r186,/root/by-bot/backtest_runs/portfolio_20260619_003651_range_live_side_exit_repair_v1_r186,False,pf<1.15;dd>8.0;net<1.0,-1020.355982865,342,-6.59,0.879,0.257,9.0742,3,2,2,-4.99972191,"{""RANGE_ALLOW_LONG"": ""1"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.015"", ""RANGE_SL_ATR_MULT"": ""1.0"", ""RANGE_SL_WIDTH_FRAC"": ""0.11"", ""RANGE_WICK_FRAC_MIN"": ""0.35""}"
68,range_live_side_exit_repair_v1_r068,/root/by-bot/backtest_runs/portfolio_20260618_195515_range_live_side_exit_repair_v1_r068,False,pf<1.15;dd>8.0;net<1.0,-1020.635002665,192,-8.01,0.74,0.219,8.7712,3,2,2,-4.45373511,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.01"", ""RANGE_SL_ATR_MULT"": ""0.88"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.55""}"
